# Detected language: en (p=1.00)

[0.00s -> 8.88s]  Thanks everyone for coming.
[643.56s -> 648.76s]  of like maybe millions of neurons, which is if you think about like analogy is that
[648.76s -> 655.40s]  if you are trying to see, hear what people are saying in the room next to us, but we
[655.40s -> 660.52s]  can only try to figure out like what they are saying in this room, what we are hearing
[660.52s -> 662.28s]  is kind of the mumbling of a lot of things.
[662.28s -> 666.28s]  We can probably just tell maybe they are in this kind of like a happy mood or maybe
[666.28s -> 670.40s]  they have reached a conclusion but not exactly what they are trying to say.
[670.40s -> 676.84s]  So the limitation here is that this kind of EEG device can only give us very low precision
[676.84s -> 678.62s]  or like low resolution signal.
[678.62s -> 680.54s]  We want to get better signal.
[680.54s -> 681.80s]  So how?
[681.80s -> 688.20s]  I think the answer is trying to go inside the brain and then putting this kind of electrodes
[688.20s -> 696.44s]  next to a neuron and then trying to directly measure the neural activities of these neurons.
[696.44s -> 705.32s]  And for the purpose of this talk, we're mostly going to focus on the neurons in this region
[705.32s -> 706.92s]  of the brain called motor cortex.
[706.92s -> 712.16s]  So this brain, as some of you may already know, that brain has different regions that's
[712.16s -> 713.82s]  doing different tasks.
[713.82s -> 717.46s]  So in the center of the brain is called motor cortex.
[717.46s -> 721.32s]  It's basically controlling all your muscles, all your body muscles.
[721.32s -> 726.16s]  So the hope here that if we can understand the neuron, the coding of like the information
[726.16s -> 731.42s]  of the neuron that's encoded here, then perhaps we can decode this information and
[731.42s -> 738.06s]  then use this information to help people like Howard to be able to control a external
[738.06s -> 744.20s]  arm or be able to speak again.
[744.20s -> 750.86s]  So here's some very basic neuroscience.
[750.86s -> 754.42s]  So we know that there's this kind of cell called neurons, right?
[754.42s -> 760.86s]  So each one of this thing is called neuron, and this is the body of a neuron called soma,
[760.86s -> 762.52s]  and then this is the axon.
[762.52s -> 764.44s]  So this is another neuron.
[764.44s -> 769.30s]  So neuron connects through this tiny thing called synapse.
[769.30s -> 773.60s]  So if neuron has want to transfer some information to another neuron, just like in artificial
[773.60s -> 779.08s]  neural network, you have some neurons and then you want to send information to the
[779.08s -> 784.16s]  next layer, you can basically, this neuron will generate some action potential, which
[784.16s -> 790.88s]  is just some like electricity here to signal that another neuron that there is some information
[790.88s -> 792.32s]  there.
[792.32s -> 799.08s]  So if you put tiny electrodes, say, on the axon of this neuron here and then measure
[799.08s -> 803.60s]  the membrane potential, what you will get is something like this.
[803.60s -> 808.24s]  So you will have like on the x-axis is the time, and on the y-axis is the measure
[808.24s -> 811.30s]  the electric potential.
[811.30s -> 818.56s]  And then you will see this kind of like a very sharp spikes, and then if you zoom into
[818.56s -> 824.20s]  the spikes, you will see this kind of like a typical firing signature of the neuron,
[824.20s -> 829.62s]  which is like the electric, like if the voltage suddenly goes up and then goes down.
[829.62s -> 834.44s]  So basically, what you can measure at the neuron is that it's kind of very sharp spikes.
[834.44s -> 838.28s]  That's what you will get by putting electrodes next to a neuron.
[838.28s -> 845.12s]  OK, so how do we figure out what kind of information is encoded in this what we call
[845.12s -> 848.60s]  a spike train?
[848.60s -> 852.14s]  We can perform some behavior tasks here.
[852.14s -> 858.88s]  So for example, here, suppose I was still listening to a single neuron, and this neuron
[858.88s -> 861.98s]  is, let's say, we are using a monkey for this experiment, right?
[861.98s -> 866.16s]  So we are instructing, training the monkey to do two things.
[866.16s -> 871.28s]  One thing is basically we are trying to instruct the monkey to move his hands either to
[871.28s -> 879.10s]  the left or to the right, and then we measure the firing of the spikes of that single neuron,
[879.10s -> 883.78s]  and then see, trying to get what kind of information is encoded by that neuron.
[883.78s -> 890.36s]  So what you see here is that each row here is basically a spike train of that neuron,
[890.36s -> 891.36s]  as you just saw.
[891.36s -> 896.40s]  Here, each vertical line is just a spike of that neuron.
[896.40s -> 897.40s]  Each row is a trial.
[897.52s -> 907.44s]  A trial means that the monkey is just trying to move his hand in one direction.
[907.44s -> 914.80s]  Then the vertical, if you see here that because you can see here that the neuron seems to
[914.80s -> 918.58s]  fire slightly different across trials.
[918.58s -> 922.92s]  So I think that's the one fundamental properties of a neuron is that it's very noisy.
[922.92s -> 925.30s]  It's not like an artificial neural network.
[925.30s -> 931.54s]  If you put something in, you always get something out, whereas in a real neural network, things
[931.54s -> 932.54s]  are really noisy.
[932.54s -> 936.28s]  So sometimes they fire a little bit faster, but sometimes they fire a little bit slower
[936.28s -> 939.90s]  under the same experimental conditions.
[939.90s -> 947.76s]  So here, what we are trying to measure is that what kind of information is this
[947.76s -> 954.36s]  neural encoding when the monkey has moved his limb to the left or limb to the right,
[954.36s -> 961.60s]  and then we can also split this information encoding into two phases.
[961.60s -> 964.82s]  One is a preparation and the other is execution.
[964.82s -> 974.20s]  So for execution, execution means that the monkey is actually moving his arms, whereas
[974.20s -> 979.48s]  the preparation means that the monkey is preparing to move by holding his arm fixed.
[979.48s -> 985.94s]  So he will actually move his arm at this go time here.
[985.94s -> 992.66s]  So what we can see here is that it seems like this neuron likes to fire a lot during
[992.66s -> 997.00s]  the execution when the monkey's hand is moving to the right.
[997.00s -> 1004.38s]  And it also fires a little bit more when the monkey is preparing to move to the left.
[1004.38s -> 1011.22s]  So this means that maybe the neuron is encoding some movement direction here.
[1011.22s -> 1016.62s]  So basically, if you can repeat this experiment for many different neurons and for a lot of
[1016.62s -> 1022.78s]  different directions, eventually what scientists find is that the neurons, like if you fit,
[1022.78s -> 1028.10s]  like say for a single neuron, if you fit the firing rates of that neuron, basically
[1028.10s -> 1033.94s]  how many spikes it's generating every second to different movement directions, you can
[1033.98s -> 1037.38s]  fit this kind of like a cosine tuning curve to it.
[1037.38s -> 1041.82s]  So what this tuning curve means that on the y-axis is the firing rate and on the horizontal
[1041.82s -> 1044.12s]  axis is the movement direction.
[1044.12s -> 1051.18s]  So this neuron prefers to fire the most when the movement is, say, 180 degrees to some
[1051.18s -> 1056.26s]  reference, and then the firing gradually goes down.
[1056.26s -> 1060.70s]  So that's like one of the first things scientists find, like how the single neuron
[1060.70s -> 1065.34s]  is encoding like movement information.
[1065.34s -> 1068.54s]  And now if you measure multiple neurons, like you will find that each neuron could
[1068.54s -> 1070.38s]  encode very different information.
[1070.38s -> 1074.46s]  For example, this green neuron here, its tuning curve is slightly shifted to the right
[1074.46s -> 1076.60s]  and then the magnitude is shifted down.
[1076.60s -> 1081.70s]  So its preferred direction is around maybe 250.
[1081.70s -> 1088.82s]  Now with two neurons, you can actually decode out more, actually decode out what the intended
[1088.82s -> 1090.58s]  movement direction is.
[1090.58s -> 1094.70s]  So for example, with a single neuron, suppose right now I measure the firing rate is around
[1094.70s -> 1100.82s]  like 30 spikes per second, then there could be two movement direction with 120 and then
[1100.82s -> 1101.82s]  240.
[1101.82s -> 1106.34s]  However, with second neurons here, you can see that we can basically eliminate
[1106.34s -> 1112.22s]  the, like suppose we measure the second neuron fires around five spikes per second, then
[1112.22s -> 1118.18s]  we can exactly pinpoint that it's actually the movement direction is 120 instead of
[1118.18s -> 1120.82s]  the other one.
[1120.82s -> 1132.22s]  However, we know that neurons has some noises, so we actually cannot really exactly tell
[1132.22s -> 1135.18s]  the movement direction by using two neurons here.
[1135.18s -> 1140.92s]  So for example, in the third part here, right, due to the noise, the actual, suppose
[1140.92s -> 1149.36s]  the ground shoots like the actual fire rate is those gray lines, but due to the noise,
[1149.36s -> 1153.14s]  the firing rate is slightly shifted to those dashed lines.
[1153.14s -> 1157.76s]  And you can see that originally if we can decode the movement direction is 120, but
[1157.76s -> 1163.04s]  in this case, the possibility becomes like there's four possibilities we cannot exactly,
[1163.04s -> 1165.80s]  we cannot uniquely define.
[1166.80s -> 1171.88s]  However, you can see that maybe it's still more likely that the direction that monkey
[1171.88s -> 1178.80s]  tries to move is like around 120 rather than the one to that which is around 50
[1178.80s -> 1182.36s]  and then the other one is greater than 240, right?
[1182.36s -> 1185.96s]  So how do we deal with this kind of like a noisy neuron?
[1185.96s -> 1191.12s]  Like how can we still uniquely more accurate, like how can we still accurately decide
[1191.12s -> 1198.36s]  decoding this intended movements from this kind of like a multiple neuron recordings?
[1198.36s -> 1202.60s]  I think we can basically use machine learning here, right?
[1202.60s -> 1207.12s]  So we can treat this as a kind of like a classification problem.
[1207.12s -> 1212.36s]  So here we're plotting each dot here is basically a firing the combinations of two
[1212.36s -> 1220.48s]  neurons and the color here basically represents the intended movement direction.
[1220.48s -> 1225.16s]  And now if you like somehow train a machine learning classifier here, now you can basically
[1225.16s -> 1230.40s]  see we can draw some like decision boundaries where I say on the right side where those
[1230.40s -> 1236.36s]  if like on new measurement that we get that the firing rate is somehow drops falls
[1236.36s -> 1241.28s]  onto this here, then we probably know that it's going to be the monkey is trying
[1241.28s -> 1245.40s]  to move to the left direction, right?
[1245.40s -> 1252.80s]  So okay, so I guess here like we know that, okay, we can do this kind of single neuron
[1252.80s -> 1257.52s]  measurement, we can measure firing rates of multiple neurons and then by training
[1257.52s -> 1263.80s]  a machine learning models, we can use this machine learning models with the neural
[1263.80s -> 1267.84s]  data to infer like what's the likely movement directions.
[1267.84s -> 1273.40s]  So this is how we are going to build up to actually build a brain computer interface.
[1273.40s -> 1274.40s]  Questions?
[1274.40s -> 1279.68s]  Yes, for all of these, you've mentioned a neuron one as a very specific number, how do you
[1279.68s -> 1283.04s]  pinpoint which neurons can submit?
[1283.04s -> 1287.08s]  So here, neuron one is basically like we are taking, so we are here making an assumption
[1287.08s -> 1294.60s]  that each tiny electrode here, you see, is measuring like exactly one neuron and
[1294.60s -> 1299.36s]  then that electrode will be fixed, always be fixed, always measuring the firing rates
[1299.36s -> 1303.12s]  of that neurons, yeah.
[1303.16s -> 1308.08s]  But in the real case, it's not always the case because like you think about it, the
[1308.08s -> 1312.80s]  brain is this kind of like a soft structure, so if you put electrodes there, it could
[1312.80s -> 1315.00s]  move a little bit and measure different neurons.
[1315.00s -> 1321.16s]  So that's one of the challenging problems of BCI, is that how you can deal with this
[1321.16s -> 1324.80s]  kind of neural change, recording change, yeah.
[1324.80s -> 1327.16s]  All right, let's go back to here.
[1327.16s -> 1332.52s]  So now we can basically know that we can put some electrodes into the brain, into
[1332.56s -> 1337.96s]  a motor cortex, measure some signals, and then we know how the neuron encodes those
[1337.96s -> 1343.16s]  signals and then we can also build a machine learning decoder to decode those signals.
[1343.16s -> 1348.88s]  So basically have some like methods to be able to build a brain-computer interface
[1348.88s -> 1357.24s]  so that we can interpret what a still functioning, fully functioning brain trying to do.
[1357.24s -> 1367.72s]  One more thing is that, so how we can record these signals, yeah, this is a very complicated
[1367.72s -> 1370.72s]  figure, but don't worry about all the details.
[1370.72s -> 1375.24s]  What I'm trying to show here that basically there's a lot of different technologies
[1375.24s -> 1380.82s]  that you can use to record brain signals, but when you think about these technologies,
[1380.82s -> 1385.20s]  you can think about it as in this kind of two-dimensional way.
[1385.20s -> 1391.66s]  So on the y-axis, just think about it as a spatial resolution.
[1391.66s -> 1400.84s]  So the higher up you go on the y-axis, that means that you can basically measure,
[1400.84s -> 1410.56s]  you can basically measure like very, like the basic shows like what's the region,
[1410.56s -> 1413.32s]  like what's the size of the region of the brain that you can measure.
[1413.32s -> 1417.72s]  So if you go really high up there, then that means that you can only measure, say, a very
[1417.72s -> 1424.92s]  large, like the average brain activity is of a very large brain area, whereas if you
[1424.92s -> 1429.04s]  go down the y-axis, that means that you can actually measure two very fine-grained
[1429.04s -> 1432.36s]  scales like such as a single neurons.
[1432.36s -> 1438.88s]  Whereas the horizontal axis here means like the temporal resolution, that means that
[1439.08s -> 1444.28s]  for technologies such as this kind of like a single neuron recordings, you can basically
[1444.28s -> 1450.60s]  measure like exactly at each time point, for example, like one millisecond what's
[1450.60s -> 1454.52s]  the electric potential is for that single neuron.
[1454.52s -> 1459.92s]  Whereas for technology, recording technology such as MRI, which basically measures like
[1459.92s -> 1465.12s]  the blood flow in a small brain region, you can only measure on average like around
[1465.32s -> 1470.20s]  say 0.5 seconds or one second what's the blood flow changes in that small brain area.
[1470.20s -> 1474.64s]  So that's really like average of a lot of information because we know that the neuron
[1474.64s -> 1477.36s]  fires at this really fast speed, right?
[1477.36s -> 1482.88s]  The firing, the electric potential change of neuron is usually around order of one
[1482.88s -> 1483.72s]  millisecond, right?
[1483.72s -> 1488.96s]  If you can only measure things around like say one second, you are basically like
[1488.96s -> 1492.36s]  averaging smoothing out a lot of information.
[1492.36s -> 1500.20s]  So ideally, we want to have something both have like a high spatial resolution and also
[1500.20s -> 1504.48s]  temporal resolution here.
[1504.48s -> 1511.84s]  So what we will use in most of this right now in a lot of like clinical trial in our
[1511.84s -> 1516.04s]  lab is this kind of like a motor electrode arrays.
[1516.16s -> 1525.16s]  So each electrode here is like a tiny needle that can measure maybe a signal of a few neurons
[1525.16s -> 1530.44s]  and then you put these needles into a small tiny like a square on the size of like a
[1530.44s -> 1535.36s]  fingernail and then you can measure maybe on order of hundreds of neurons.
[1535.36s -> 1542.00s]  All right, so now we can have these devices to measure neurons.
[1542.08s -> 1548.08s]  So let's go into more like examples of how we do this here.
[1553.68s -> 1558.68s]  So here's a, let's take an example here.
[1558.68s -> 1565.60s]  Suppose someone has have like say spinal cord injury and then lost the connection to his
[1565.60s -> 1569.48s]  body, so his body is still fully functioning.
[1569.52s -> 1573.64s]  The question here is that whether we can still, what kind of information we can still decode
[1573.64s -> 1580.36s]  from his motor cortex such that we can decode those informations and then use those informations
[1580.36s -> 1585.96s]  to either control his arm or like his own arm or like artificial arm.
[1585.96s -> 1593.04s]  What we are going to do is trying to put this kind of tiny electrodes, microelectrode
[1593.04s -> 1604.60s]  arrays into his motor cortex, really penetrating into the surface of his motor cortex.
[1604.60s -> 1610.60s]  And each electrode here, as you see here, is this kind of tiny needle and those query
[1610.60s -> 1613.80s]  triangle is the size of a neuron.
[1613.80s -> 1619.84s]  So each electrode maybe is measuring the firing potential of multiple, local field potential
[1619.84s -> 1626.56s]  of multiple neurons around it.
[1626.56s -> 1632.60s]  And we can pass all this information in real time to a computer through this kind
[1632.60s -> 1644.12s]  of a wire right now.
[1644.12s -> 1649.00s]  And then this is what we get on the computer here is that, for example, here each block
[1649.04s -> 1653.80s]  is basically the measurement of that one electrode.
[1653.80s -> 1660.96s]  And if we do some behavior experiments, as we just showed now, we can probably figure
[1660.96s -> 1663.24s]  out the tuning curve for each electrode.
[1663.24s -> 1672.40s]  For example, this one is probably its preferred direction is to the left.
[1672.40s -> 1680.44s]  So we can repeat the experiments, behavior experiments for other channels here and probably
[1680.44s -> 1685.72s]  train an ML decoder to figure out what each channel is encoding, the preferred direction
[1685.72s -> 1686.80s]  for each channel.
[1686.80s -> 1694.32s]  So once we have the decoder trained, and then at test time, we can basically ask our
[1694.32s -> 1700.12s]  participants who has the thing implying his brain to trying to imagine to move his
[1700.12s -> 1702.04s]  hand to some directions.
[1702.04s -> 1706.16s]  And then the decoder we're trying to figure out the direction he's trying to move.
[1706.16s -> 1708.40s]  So that's the basic idea here.
[1708.40s -> 1713.16s]  Let me go to a demo here.
[1713.16s -> 1719.74s]  So this is one of the research coming out of our lab in 2017.
[1719.74s -> 1727.76s]  So here you see a participant is typing on virtual keyboard with her mind.
[1727.76s -> 1736.20s]  And that on the bottom shows the typing speed measured as the correct characters per minute.
[1736.20s -> 1746.68s]  So it peaks around 40 and then on average, maybe it's around like 20.
[1746.68s -> 1756.96s]  I think this is really amazing.
[1756.96s -> 1763.44s]  Think about four people like Howard who used to have to using this kind of a letterboard
[1763.44s -> 1765.16s]  to communicate.
[1765.16s -> 1773.20s]  Now with this green computer interface, he can fully communicate by himself through
[1773.20s -> 1774.88s]  like say a computer.
[1774.88s -> 1781.44s]  So that's a huge improvement over a letterboard.
[1781.44s -> 1785.44s]  He still opens his eyes and she still opens her eyes.
[1785.44s -> 1788.00s]  So is there anything with the eye tracking?
[1788.00s -> 1789.00s]  Not for this experiment.
[1789.00s -> 1795.00s]  So even if she closed the eye, it would still work?
[1795.00s -> 1798.36s]  Yeah, it would still work, but she won't have the visual feedback.
[1798.36s -> 1800.36s]  She won't know where she's typing.
[1800.36s -> 1809.44s]  How about if she came up with a character in the mind without looking at the keyboard?
[1809.44s -> 1810.52s]  Okay.
[1810.52s -> 1812.52s]  That's something I'm going to show next.
[1813.52s -> 1820.52s]  How do you know whether it's the person who mistyped or whether it's the machine that's
[1820.52s -> 1824.52s]  not capturing the correct character?
[1824.52s -> 1828.52s]  Like I'm confused by what you mean by character.
[1828.52s -> 1829.52s]  Okay.
[1829.52s -> 1830.52s]  Oh, here.
[1830.52s -> 1832.52s]  So yeah, that's a good question.
[1832.52s -> 1834.52s]  So let me clarify here.
[1834.52s -> 1840.52s]  I think the task here is, maybe it's not readable, but I think the task here is basically
[1841.52s -> 1844.52s]  she is copying a sentence.
[1844.52s -> 1849.52s]  So we know the ground truth and we can measure the error rate.
[1849.52s -> 1851.52s]  And yeah.
[1851.52s -> 1857.52s]  I was going to ask how do you capture the clicking motion or the selection motion?
[1857.52s -> 1862.52s]  Is that easy to distinguish or is there a certain way of knowing that the user is
[1862.52s -> 1868.52s]  pressing down or does she visualize like a mouse or actually clicking?
[1868.52s -> 1869.52s]  That's really a good question.
[1869.52s -> 1875.52s]  So as I just mentioned, right, so we can decode movements and we can also decode like say
[1875.52s -> 1877.52s]  different gestures.
[1877.52s -> 1882.52s]  Like say you can use this kind of gestures or like move her elbows.
[1882.52s -> 1888.52s]  So you can just imagine different motor movements and then we can basically map, decode those
[1888.52s -> 1894.52s]  motor movements and map that to say a click signal or different signals.
[1895.52s -> 1902.52s]  So let's say if the person look at a keyboard and then remember the keyboard in her memory
[1902.52s -> 1904.52s]  and then she close the eye.
[1904.52s -> 1907.52s]  And then that's the same word.
[1909.52s -> 1913.52s]  I think that's really even like, that's even harder for me to do, right?
[1913.52s -> 1917.52s]  I can't even, like can you remember the keyboard and then just control like say
[1917.52s -> 1918.52s]  a mouse and.
[1918.52s -> 1923.52s]  I use the keyboard every day so I definitely remember the word nation in my mind
[1923.52s -> 1925.52s]  and then just close my eye.
[1925.52s -> 1928.52s]  This is like a virtual keyboard so it's not like a physical keyboard.
[1928.52s -> 1930.52s]  We can use your muscle memories.
[1930.52s -> 1936.52s]  Yeah, so maybe one thing I have to clarify here is that the mental image for her is
[1936.52s -> 1940.52s]  to say controlling like a, what's the word?
[1940.52s -> 1943.52s]  I mean it's just like controlling like a mouse, right?
[1943.52s -> 1949.52s]  So she's not actually doing the touch typing but she is actually moving like say a mouse.
[1956.52s -> 1962.52s]  All right, so this is basically just a showcase that building up on all the knowledge
[1962.52s -> 1970.52s]  we have learned about the brain so we can basically decode some attempted movements
[1970.52s -> 1978.52s]  from people like this, I forgot her name but I think it's T6, a codename T6
[1978.52s -> 1983.52s]  that we can really help these kind of people to regain communication
[1983.52s -> 1985.52s]  through this kind of BCI.
[1985.52s -> 1991.52s]  And I think, as I mentioned earlier, you can also use BCI to control robotic arms.
[1991.52s -> 1999.52s]  So for example in this case, this is the participants in Caltech.
[2000.52s -> 2002.52s]  There you go.
