# Detected language: en (p=1.00)

[0.00s -> 8.72s]  Okay, hi everyone.
[288.08s -> 292.88s]  they're gonna be different depending on what base you're using for things.
[292.88s -> 294.40s]  So you need to be aware of this.
[295.52s -> 299.68s]  So from a sort of a modern perspective,
[299.68s -> 306.40s]  it kind of makes no sense why perplexity is used.
[306.96s -> 310.72s]  The story of why perplexity was used was, you know,
[310.72s -> 316.80s]  in the bad old days of symbolic artificial intelligence when all of those famous people
[316.80s -> 322.80s]  like John McCarthy and Ed Feigenbaum were around doing logical based systems.
[323.92s -> 329.44s]  Some people then essentially at IBM, including Fred Jelinek,
[329.44s -> 335.12s]  started exploring probabilistic methods for speech recognition and other similar methods.
[336.32s -> 341.20s]  And the story Fred Jelinek used to tell was,
[341.20s -> 346.08s]  well, at that time, this was in the late 70s or early 80s,
[346.08s -> 353.12s]  that none of the AI people that he was trying to talk to understood how to do any real math
[353.12s -> 362.32s]  and didn't understand any information theory notions of doing things like cross entropy or
[362.32s -> 363.76s]  cross entropy rate.
[363.76s -> 366.72s]  So he had to come up with something simple they could understand.
[367.36s -> 371.44s]  And so what he came up with is by sort of doing this exponentiated
[372.00s -> 379.04s]  perplexity, you can think of a perplexity number as being equivalent to how many
[379.04s -> 381.52s]  uniform choices you're choosing between.
[381.52s -> 386.24s]  So if the perplexity of something is 64,
[386.24s -> 390.64s]  that's like having a 64-sided dice that you're rolling at each time.
[390.64s -> 396.08s]  And that's your chance of getting a one on that is your chance of guessing the right word.
[397.04s -> 400.00s]  So that was why perplexity got introduced.
[400.00s -> 401.52s]  But it's kind of stuck.
[401.52s -> 406.96s]  And so when you see scores for language models, you generally still see perplexities.
[406.96s -> 409.60s]  So a lower perplexity is better.
[411.44s -> 417.76s]  So here are the kind of numbers and where progress was made with neural language models.
[417.76s -> 425.04s]  So before that, people used n-gram language models and people used clever ways to smooth them
[425.12s -> 431.04s]  using methods I vaguely alluded to last time of this ad case smoothing and doing backoff.
[431.04s -> 433.68s]  Actually, people use cleverer methods.
[434.40s -> 441.36s]  Around the 2000s decade, the cleverest method known of smoothing n-gram language models
[441.36s -> 445.04s]  was this thing called interpolated Knesset-Nye smoothing.
[445.84s -> 452.16s]  And so for a big language model using that, the perplexity was about 67,
[452.96s -> 456.40s]  which in some sense means that you weren't very good at predicting the next word.
[457.04s -> 459.68s]  But that had actually been enormous progress.
[459.68s -> 466.08s]  When I was a young person doing NLP, perplexities were three-figure numbers.
[466.08s -> 470.96s]  You were commonly seeing perplexities of 150 or something like that.
[470.96s -> 473.20s]  So progress was made.
[474.08s -> 477.76s]  So when RNNs were first introduced,
[477.84s -> 484.40s]  people weren't really actually able to do better with a sort of a pure RNN.
[484.40s -> 489.36s]  But they could do better by combining an RNN with something else,
[489.36s -> 492.56s]  such as a symbolic maximum entropy model,
[492.56s -> 495.92s]  which I'm not going to explain, but those numbers like that 51.
[495.92s -> 499.76s]  But where progress really started to be made
[499.76s -> 503.52s]  was when LSTM started to be used as an improved RNN,
[503.52s -> 505.52s]  which is what I'm going to come to next.
[505.52s -> 508.32s]  So here are some LSTM models.
[508.32s -> 512.56s]  And now you're getting numbers like 43 and 30.
[512.56s -> 516.56s]  And so for 30, you've sort of halved the perplexity,
[516.56s -> 523.84s]  which in cross-entropy terms means you've reduced the cross-entropy by about one bit.
[524.88s -> 529.04s]  And so you've made real progress in your language modeling.
[529.04s -> 534.32s]  Now by modern standards, these numbers are still really high, right?
[534.32s -> 536.96s]  For the best language models that we have now,
[536.96s -> 539.28s]  you're getting perplexities in the single digits.
[539.28s -> 544.56s]  You're getting models that are very often able to guess exactly the right word,
[544.56s -> 547.20s]  though of course not always because no one can predict
[547.20s -> 551.12s]  what word's going to be said by someone next in a lot of circumstances.
[552.72s -> 557.52s]  Okay, so to motivate LSTMs,
[557.52s -> 562.80s]  then wanted to sort of say a bit about how there are problems with RNNs
[562.80s -> 565.12s]  and why that motivated fixing things.
[565.12s -> 568.88s]  And these are the problems of vanishing and exploding gradients.
[568.88s -> 571.44s]  So what we wanted to do was say,
[571.44s -> 576.32s]  okay, we've tried to predict a word at position four,
[576.96s -> 582.96s]  and often we're not going to predict it with 100% probability.
[582.96s -> 587.44s]  So we have a loss that's a negative log likelihood we give to that word.
[587.44s -> 589.92s]  And we're going to want to back propagate that loss
[590.40s -> 597.20s]  through the sequence and work out our gradients as we always do.
[597.20s -> 601.92s]  Now just one note about something someone asked me after class last time.
[601.92s -> 605.12s]  You know, I sort of showed a back propagating the whole sequence,
[605.12s -> 607.60s]  but we're doing this at every time step, right?
[607.60s -> 610.56s]  So we're going to back propagate a loss from time step two,
[610.56s -> 614.48s]  back propagate a loss from time step three, four, five, six, seven.
[614.48s -> 615.84s]  We're doing it for each one.
[615.84s -> 617.52s]  And then one of the slides last time,
[617.52s -> 621.36s]  we then discussed how we're going to sum all of those losses
[621.36s -> 622.96s]  or work out the average loss.
[624.00s -> 629.36s]  But for doing this one, when we back propagate this loss, what happens?
[629.92s -> 634.00s]  Well, what happens is we're going to do the same kind of chain rule
[634.00s -> 639.20s]  where we're multiplying these partial derivatives at every time step.
[639.20s -> 641.52s]  And well, here we've only got a few of them,
[641.52s -> 645.36s]  but maybe we're going to have a sequence 30 long.
[645.36s -> 648.88s]  And so we're going to be multiplying each time
[648.88s -> 655.60s]  the partial of HK with respect to the partial of HK minus one.
[655.60s -> 659.20s]  And so what kind of effect is that going to have?
[660.08s -> 664.80s]  In particular, you know, we might ask what happens if these are small
[665.36s -> 667.92s]  or what happens if these are large?
[667.92s -> 674.72s]  Well, if they're small, the gradient will gradually get smaller and smaller
[674.72s -> 679.44s]  and disappear as we back propagate it along the sequence.
[679.44s -> 679.68s]  Yeah?
[680.96s -> 684.64s]  So why we're taking partial J over partial H?
[684.64s -> 685.92s]  Should we take partial J?
[692.64s -> 693.60s]  Sure.
[693.60s -> 695.84s]  I mean, we're doing that as well.
[696.88s -> 702.48s]  But you know, in general, we have to walk the partials along.
[702.56s -> 706.08s]  And then, you know, we then have a W at the next step.
[708.24s -> 712.00s]  I mean, if we're thinking of the sort of computation graph
[712.00s -> 715.68s]  that we're sort of doing the chain rule backwards along,
[715.68s -> 720.72s]  we're going to be going through a W at each step and then arriving at another H, right?
[728.72s -> 728.96s]  Yeah.
[729.92s -> 737.60s]  So I mean, at this point, you can do some math and thinking about things.
[738.48s -> 742.32s]  And there's a couple of papers that are mentioned at the bottom here,
[742.32s -> 747.36s]  which I'm actually rushing ahead, not going to do very carefully.
[748.40s -> 756.48s]  But the point is that if you're taking the partial of HT with respect to HT minus one,
[757.04s -> 762.32s]  and if you make a simplifying assumption and say, suppose there isn't a non-linearity,
[762.32s -> 769.44s]  suppose sigma is just the identity, then what the partial will be is the matrix WH.
[770.08s -> 776.80s]  And so if you keep on back propagating along the recurrent neural network,
[776.80s -> 783.28s]  what you're going to be doing is ending up with powers of the matrix WH.
[784.24s -> 786.72s]  And then there's the question of what happens
[786.72s -> 790.80s]  when you raise that matrix to higher and higher powers?
[790.80s -> 798.16s]  Well, at that point, you can represent the matrix in terms of its eigenvectors and eigenvalues.
[798.16s -> 800.56s]  And then there are two possibilities.
[800.56s -> 803.84s]  Either all the eigenvalues are less than one,
[803.84s -> 810.72s]  and that means that that number will be getting smaller and smaller as you raise it to higher
[810.72s -> 816.72s]  power, or it can have eigenvalues that are larger than one,
[816.72s -> 819.92s]  and then things will get bigger and bigger as you go further back.
[819.92s -> 823.28s]  So essentially, as you back propagate the gradients backwards,
[823.28s -> 831.60s]  unless things are sort of just precisely corresponding to a largest eigenvector of
[833.04s -> 839.28s]  large eigenvalue of approximately one, you're either going to get a vanishing or an explosion.
[839.28s -> 842.08s]  And both of those will be kind of bad.
[843.52s -> 847.36s]  So why is vanishing gradient a problem?
[847.36s -> 852.64s]  I mean, in a sense, you could think it's not a problem.
[852.64s -> 857.04s]  It's what should be happening, because all else being equal,
[857.04s -> 860.00s]  you know, the closest words are the most relevant ones.
[860.00s -> 864.64s]  And so that's where you should be updating your parameters the most.
[864.64s -> 867.12s]  And to some extent, that that's true.
[867.12s -> 873.60s]  But nevertheless, this vanishing gradient in this model happens much too severely.
[873.60s -> 877.76s]  So that if you're looking at the loss from a later position
[877.76s -> 882.24s]  and comparing it to the loss from an earlier position,
[882.24s -> 885.68s]  and then you're seeing how things are updating,
[885.68s -> 889.68s]  it's sort of primarily the update is being determined
[889.68s -> 893.84s]  by the very nearby loss and not by the faraway loss.
[894.16s -> 899.28s]  That the gradient signal from far away is much, much smaller.
[899.28s -> 905.04s]  And well, that's bad, because, you know, overall for language modeling,
[905.04s -> 910.00s]  there are lots of cases where we want to be able to transmit signals along distance.
[910.00s -> 912.48s]  So here's my piece of text.
[913.12s -> 917.52s]  When she tried to print her ticket, she found that the printer was out of toner.
[917.52s -> 920.32s]  She went to the stationary store to buy more toner.
[920.32s -> 922.08s]  It was very overpriced.
[922.72s -> 926.56s]  After installing the toner into the printer, she finally printed her...
[928.00s -> 930.08s]  Yeah, so, you know, to a human being, you know,
[930.08s -> 934.16s]  it's obvious we can predict this with pretty much probability one, you know.
[934.16s -> 938.24s]  So really low perplexity for making this decision.
[939.36s -> 944.80s]  But, you know, that depends on getting back to the tickets,
[944.80s -> 947.52s]  which are sort of about 20-odd words back, right?
[947.52s -> 950.88s]  If you're just seeing installing the toner into the printer,
[950.88s -> 953.52s]  she finally printed her, could be anything.
[953.52s -> 957.44s]  It could be her paper, her invitation, her novel.
[958.24s -> 959.76s]  Lots of things it could be.
[959.76s -> 962.32s]  You're certainly not going to guess tickets.
[962.32s -> 968.80s]  So we sort of want to have these really long distance dependencies.
[968.80s -> 973.04s]  But we're only going to be able to learn these long distance dependencies
[973.04s -> 978.40s]  if we're actually getting sufficient signal between that position
[978.40s -> 981.28s]  and when the word tickets appears near the beginning,
[981.28s -> 985.84s]  that we can learn the fact that having that tickets 20 words back
[985.84s -> 989.36s]  is the good predictive thing for predicting tickets here.
[991.20s -> 998.16s]  And what we find is that, you know, when the gradient becomes very small,
[998.16s -> 1002.88s]  the RNN doesn't learn these kind of long distance dependencies.
[1002.88s -> 1007.84s]  And so it's unable to sort of make these predictions well at test time.
[1007.92s -> 1016.80s]  I mean, this is a very sort of just rough back of the envelope estimate.
[1016.80s -> 1021.12s]  But, you know, what people actually found is that, you know,
[1021.12s -> 1025.44s]  with the kind of simple RNN that we've introduced up until now,
[1025.44s -> 1031.60s]  that the amount of effective conditioning you could get was about seven tokens back.
[1032.48s -> 1036.96s]  That if things were further back than that, it just never learned to condition on them.
[1037.04s -> 1041.44s]  And so, you know, compared to when we were talking about n-grams,
[1041.44s -> 1045.44s]  and I said, ah, usually the maximum people did was five grams,
[1045.44s -> 1050.00s]  occasionally a bit bigger because of the fact that there was this exponential blowout.
[1050.00s -> 1053.52s]  Although in theory, we've now got a much better solution.
[1053.52s -> 1056.24s]  In practice, because of vanishing gradients,
[1056.24s -> 1059.60s]  well, we're only kind of getting the equivalent of eight grams.
[1059.60s -> 1063.36s]  So we haven't made that much progress, it feels like.
[1063.36s -> 1070.72s]  So there's a reverse problem which can also happen of exploding gradients.
[1070.72s -> 1078.16s]  So if the gradient becomes very large, because the eigenvalues of that matrix are large,
[1078.16s -> 1083.68s]  well, what we're doing for the parameter update is, you know, we've got a learning rate,
[1083.68s -> 1088.40s]  but essentially if the gradient is very large, we're going to make a very,
[1088.40s -> 1090.96s]  very large parameter update.
[1090.96s -> 1095.20s]  And that can cause very bad updates because, you know,
[1095.20s -> 1100.00s]  we're sort of assuming that we're taking a step in the direction of the gradient,
[1100.00s -> 1104.88s]  and well, we might overshoot a little, but we'll be in a roughly in the right zone.
[1104.88s -> 1109.36s]  But, you know, if we had an enormously exploded gradient,
[1109.36s -> 1112.80s]  well, we could kind of be sort of walking off anywhere.
[1112.80s -> 1115.04s]  And, you know, we think we're heading to the Sierras,
[1115.04s -> 1117.92s]  and we end up in Iowa or something like that, right?
[1118.48s -> 1121.76s]  That we could just go arbitrarily far,
[1121.76s -> 1126.24s]  and where we're ending up, it might not be making any progress whatsoever.
[1126.88s -> 1128.96s]  So exploding gradients are a problem.
[1130.96s -> 1133.92s]  They can also cause infinities and NaNs,
[1133.92s -> 1136.96s]  and they're always a problem when you're training models.
[1138.08s -> 1145.20s]  Now, for dealing with exploding gradients, this is the accepted wisdom.
[1146.00s -> 1151.28s]  This unfortunately doesn't, this isn't highfaluting math, really.
[1151.28s -> 1155.28s]  What people use for exploding gradients is a crude hack.
[1155.28s -> 1156.64s]  They clip gradients.
[1157.60s -> 1161.44s]  But, you know, it works really well, and you really want to know about this
[1162.08s -> 1168.40s]  because clipping gradients is often essential to having neural networks, not having problems.
[1168.40s -> 1174.48s]  So what we do for gradient clipping is we work out the norm of the gradient,
[1174.48s -> 1181.20s]  and if it seems too large, and that varies, but, you know, that's normally 5, 10, 20,
[1181.20s -> 1185.68s]  something like that for a norm of a gradient is seen as the limit of what's okay.
[1185.68s -> 1188.32s]  If the norm of your gradient is too large,
[1188.32s -> 1193.44s]  you just scale it down in every direction, and you apply a smaller gradient update.
[1195.36s -> 1195.92s]  It works.
[1196.00s -> 1200.24s]  Yes, so that problem is solvable,
[1201.28s -> 1207.36s]  but fixing the vanishing gradient seemed a more difficult problem, right?
[1207.36s -> 1212.40s]  That this was the problem that our RNNs effectively couldn't preserve
[1212.40s -> 1214.64s]  information over many time steps.
[1216.08s -> 1218.88s]  And, well, what seemed to be the problem there?
[1218.88s -> 1222.80s]  The problem seems to be really that we've got sort of
[1222.80s -> 1227.44s]  an architecture that makes it very hard to preserve information.
[1227.44s -> 1234.24s]  So if we look at sort of the hidden state from one time step to the next time step,
[1235.28s -> 1237.68s]  it's completely being rewritten, right?
[1237.68s -> 1243.36s]  So we're taking the previous time step's hidden vector,
[1243.36s -> 1248.40s]  we're multiplying it by a matrix which completely changes it in general,
[1248.40s -> 1250.72s]  adding in other stuff from the input.
[1250.72s -> 1256.08s]  So if we'd like to say we'd like you to carry forward information,
[1256.08s -> 1261.44s]  there's useful stuff in HT minus one, can you just kind of keep it around for a while?
[1261.44s -> 1266.40s]  It's not actually very easy to do in this formulation because trying to learn
[1268.72s -> 1275.12s]  W vectors that'll mostly preserve what was there before isn't a tall and obvious thing to do.
[1276.00s -> 1282.56s]  So the question was, could we design an RNN which had a sort of a memory
[1282.56s -> 1284.80s]  where it was easy to preserve information?
[1284.80s -> 1285.12s]  Yes?
[1285.12s -> 1288.16s]  So in one of the earlier slides, you mentioned the
[1289.28s -> 1293.76s]  exponentiation happened during our analysis, they removed linearity.
[1294.80s -> 1302.32s]  So what happened on linearity and sort of potentially prevent vanishing or exploding?
[1302.88s -> 1304.24s]  No, it actually doesn't.
[1304.24s -> 1308.80s]  I mean, you can make an argument that it should help because you've got,
[1308.80s -> 1312.24s]  effectively, if you've got something like tanh, you've got a flattening function.
[1313.12s -> 1317.12s]  So it should help somewhat, but it doesn't solve it,
[1317.12s -> 1319.84s]  even if you're using a tanh non-linearity.
[1319.84s -> 1324.56s]  Well, so I guess it should, sorry, it should help with exploding.
[1325.92s -> 1330.00s]  Actually, even that still happens, but it definitely doesn't help with the vanishing.
[1335.20s -> 1338.32s]  So you're always pushing the value between 0 and 1.
[1338.32s -> 1341.20s]  So it's not going up or going down, it's staying between 0 and 1.
[1342.64s -> 1343.52s]  But so, yeah.
[1354.00s -> 1356.24s]  Well, I guess, why don't it go up and down three layers,
[1356.24s -> 1360.08s]  then say if you have a really small value, that becomes 1 minus a really small value.
[1360.08s -> 1363.36s]  It's sigma times 1 minus sigma.
[1363.52s -> 1366.48s]  All the sigma times all the sigma, okay, that still vanishes, okay.
[1369.52s -> 1376.64s]  Yes, so can we have a different architecture, so we have a memory that you can add to?
[1378.00s -> 1385.52s]  And so that led into this new kind of neural network, the LSTM.
[1385.52s -> 1387.36s]  So this is going back a few years.
[1387.36s -> 1391.84s]  But at any rate, this was trying to improve Siri's suggestions,
[1391.84s -> 1395.92s]  and the big breakthrough that they were described, was being described,
[1395.92s -> 1401.04s]  was oh, we're now using an LSTM in the keyboard prediction,
[1401.04s -> 1407.04s]  and the whole advantage of that was it was going to be able to predict context further back.
[1407.04s -> 1410.48s]  So you could differentiate between the children are playing in the
[1410.48s -> 1413.76s]  park versus the Orioles are playing in the playoff.
[1414.32s -> 1423.68s]  Okay, so the sort of big thing that was seen as very successful was these LSTMs,
[1423.68s -> 1430.16s]  long short-term memory, just to say a little bit of the history here, right.
[1430.80s -> 1437.84s]  Just on how to parse this name, right, that I think people often don't even understand it, right.
[1437.84s -> 1442.64s]  So what you're wanting to do was model short-term memory, right,
[1443.28s -> 1448.16s]  because so for humans, people normally distinguish between the short-term memory
[1448.16s -> 1453.12s]  of stuff that you heard recently versus things that you permanently stored away.
[1454.16s -> 1461.20s]  And the suggestion was, well, in short-term memory, humans can remember stuff for quite
[1461.20s -> 1462.40s]  a while, right.
[1462.40s -> 1467.04s]  If you're having a conversation, you can still remember the thing that the person
[1467.04s -> 1469.68s]  said a few turns ago in the conversation.
[1469.76s -> 1475.92s]  So bring back up of, oh, didn't you say they took last weekend off or something, right.
[1475.92s -> 1481.92s]  And well, the problem was that the simple RNNs, their short-term memory was only about
[1481.92s -> 1485.52s]  seven tokens, and so we'd like to make it better than that.
[1485.52s -> 1491.84s]  And so we wanted long short-term memory, and that's where this name came about.
[1491.84s -> 1495.92s]  And so this was a type of recurrent neural network that was
[1496.24s -> 1504.72s]  proposed by Hochreit and Schmidhuber in 1997 as a solution to the problem.
[1504.72s -> 1509.36s]  I mean, there's actually a second relevant piece of work that came a few years later
[1509.36s -> 1513.28s]  that, you know, that first paper's the one that everybody cites,
[1513.28s -> 1518.48s]  but there's then a second paper by Ghez and Schmidhuber in 2000,
[1518.48s -> 1522.32s]  which actually introduces a crucial part of the LSTM,
[1522.32s -> 1527.28s]  as we've used in the 21st century that wasn't in the original paper.
[1529.20s -> 1535.68s]  And, you know, so there's sort of an interesting story of all of this.
[1535.68s -> 1543.76s]  So, you know, that Jurgen Schmidhuber and his students did a lot of really crucial
[1543.76s -> 1551.76s]  foundational work in neural networks in the sort of these years, in the later years of the 90s,
[1552.56s -> 1557.04s]  when just about everybody else had given up on neural networks.
[1558.24s -> 1564.00s]  So unlike these days where, you know, doing pioneering work in neural networks
[1564.00s -> 1570.88s]  is a really good way to get yourself hugely compensated jobs at Google, Meta, or OpenAI,
[1570.88s -> 1573.52s]  it really wasn't actually in these days.
[1573.52s -> 1578.88s]  So, you know, if you ask, gee, what happened to these students
[1579.36s -> 1586.72s]  of Hochreiter and Ghez, that both of them are still in academia,
[1586.72s -> 1592.48s]  but Ghez seemed to give up on AI and neural networks altogether
[1592.48s -> 1595.36s]  and does stuff in the area of multimedia.
[1596.64s -> 1601.28s]  And Sepp Hochreiter is still in machine learning,
[1601.28s -> 1606.40s]  but, you know, for quite a long time he sort of basically gave up on doing more general
[1606.40s -> 1609.36s]  neural network stuff and went into bioinformatics.
[1609.36s -> 1613.28s]  So if you look at his publications from about 2000, 2015,
[1614.16s -> 1618.72s]  they were all in bioinformatics and most of them weren't using neural networks at all.
[1620.16s -> 1624.96s]  Kind of nicely, I mean, he's actually gone back into neural networks more recently
[1624.96s -> 1627.20s]  and is publishing in neural networks again.
[1628.40s -> 1633.12s]  Yeah, so really not much attention was paid to this work at the time
[1633.12s -> 1637.92s]  and so it only sort of really kind of gradually seeped out further.
[1638.72s -> 1645.76s]  So Schmidt Huber had a later student in the mid-2000s decade, Alex Graves.
[1646.64s -> 1655.28s]  And Alex Graves did more stuff with LSTMs and for people who've seen speech recognition,
[1655.28s -> 1660.56s]  where people commonly do CTC loss and decoding, Alex Graves invented that.
[1660.56s -> 1669.76s]  But most crucially, Alex Graves then went to Toronto to be a postdoc for Jeff Hinton
[1669.76s -> 1674.56s]  and that sort of brought more attention to the fact that LSTMs were a good model.
[1675.52s -> 1684.00s]  And then Jeff Hinton went to Google in 2013 and that was then sort of the use of LSTMs at
[1684.00s -> 1691.92s]  Google in the 2014 to 2016 period was when they really sort of hit the world
[1691.92s -> 1696.80s]  and became for a while the completely dominant framework people use for neural networks.
[1699.04s -> 1705.76s]  In the world of, I guess, startups, this is what you call being too early for the first people.
[1707.12s -> 1711.52s]  Yeah, okay, long short-term memories, back to the science.
[1712.40s -> 1720.56s]  So let's see, there's a slide here that talks about long short-term memories,
[1720.56s -> 1725.76s]  but maybe I'll just sort of skip straight ahead and start to show the pictures.
[1725.76s -> 1733.76s]  So we've still got a sequence of inputs xt and the difference now is inside our neural network,
[1733.76s -> 1738.72s]  we're going to have two hidden things, one that's still called the hidden state
[1738.72s -> 1742.24s]  and the other one that's referred to as the cell state.
[1742.80s -> 1750.48s]  And so what we're going to do is we're going to modulate how these things get updated
[1750.48s -> 1758.64s]  by introducing the idea of gates. And so gates are calculated things, vectors,
[1758.64s -> 1764.72s]  whose values are probabilities between zero and one and they're things that we're going to use
[1764.72s -> 1770.40s]  to sort of turn things on or shut them off in a probabilistic way. So we're going to control
[1770.40s -> 1777.92s]  the movement of information by having gating. And so we're going to calculate three gating
[1777.92s -> 1785.76s]  vectors, so these vectors are the same length as our hidden states. And so the way we
[1785.76s -> 1793.28s]  calculate these gating vectors is with an equation that looks basically exactly the same
[1793.28s -> 1799.12s]  as what we were using for a current neural networks. Apart from the sigma there is definitely
[1799.12s -> 1804.08s]  going to be the logistic that goes between zero and one so we get probabilities. And the three
[1804.08s -> 1810.88s]  gates we're going to calculate is the forget gate which is going to say how much do we remember
[1810.88s -> 1816.80s]  of the previous times hidden state. I think the forget gate was actually wrongly named,
[1816.80s -> 1821.68s]  I think it makes more sense to think of it as a remember gate because it's actually calculating
[1821.68s -> 1829.68s]  how much you're remembering. Okay, then we've got an input gate and the input gate is going to say
[1829.68s -> 1836.40s]  how much are you going to pay attention to the next input, the next xi and put it into your
[1836.40s -> 1842.56s]  hidden state. And then you have an output gate and the output gate is going to control
[1842.56s -> 1849.60s]  how much of what's in the cell which is your primary memory are you going to transfer over
[1849.68s -> 1857.52s]  to the hidden state of the network. Okay so once we have those gates,
[1859.36s -> 1865.92s]  what we're then going to do is have these equations which are how we're going to sort of
[1865.92s -> 1876.96s]  update things. So the first thing we're going to do is work out a potential new cell content.
[1876.96s -> 1885.20s]  So the new cell content is going to be calculated exactly using the exactly the same kind of
[1885.20s -> 1891.76s]  equation we saw last time for a current neural networks. We're going to have these two matrices,
[1892.80s -> 1899.12s]  the cell w and the cell u and we're going to multiply one by the last times hidden state
[1899.12s -> 1906.48s]  and the other by the new input add on a bias. And that's a potential update to the cell
[1906.56s -> 1914.00s]  but then how we're actually going to update the cell is by making use of our gates. So we're
[1914.00s -> 1922.80s]  going to say the new cells content is going to be the old cells content Hadamard producted
[1922.80s -> 1929.36s]  with the forget gate. So that's how much to remember of the previous cells content plus
[1930.08s -> 1937.36s]  this calculated update Hadamard producted with the input gate. How much to pay attention
[1937.36s -> 1946.48s]  to this new potential update that we've invented. And then for calculating the new hidden state,
[1946.48s -> 1952.56s]  that's going to be the Hadamard product between the output gate and
[1953.12s -> 1965.04s]  our CT having been put through a tanh. And you know one idea here is you know we're thinking
[1965.04s -> 1971.92s]  about how much to keep on remembering what we've had in the past. But you know for thinking
[1971.92s -> 1977.92s]  about sort of only sending some information to the hidden state, a sort of a way to start
[1977.92s -> 1983.04s]  thinking about that is you know the hidden state of a recurrent neural network
[1983.04s -> 1990.00s]  is sort of doing multiple duty, right? Like on one part of it is we are going to feed it into
[1990.00s -> 1996.88s]  the output to predict the next token. But in another thing it's going to do is we just
[1996.88s -> 2002.48s]  want it to store information about the past that might come in useful later and that we'd like
[2002.48s -> 2008.88s]  to kind of have carried through the sequence. And so really only some of what's in the hidden
[2008.88s -> 2013.60s]  state we want to be using to predict the current word. Some of it isn't relevant to predicting
[2013.60s -> 2018.88s]  the current word but would be good stuff to know for the future, right? So you know if the
[2018.88s -> 2026.32s]  previous words were sat in for predicting the next word we basically just need to know we're
