# Detected language: en (p=1.00)

[0.00s -> 6.12s]  Great.
[128.76s -> 132.26s]  And finally, at least in the real world, you would decide to deploy your model.
[132.26s -> 136.46s]  And here measuring performance is really key because you need to know whether your model
[136.46s -> 139.30s]  is good enough to put in production.
[139.30s -> 143.66s]  In the parallel universe that we live in, there's also the publishing.
[143.66s -> 150.66s]  So you basically need to test like evaluate your model on standard benchmarks.
[150.66s -> 154.94s]  And the reason why we do that is essentially for communicating to different groups the quality
[154.94s -> 156.58s]  of our model.
[156.58s -> 160.46s]  So at every step of this pipeline, you really need to measure performance.
[160.46s -> 162.06s]  And that's what we'll talk about today.
[162.06s -> 165.64s]  But what is key to understand is that at different steps, you need to measure performance
[165.64s -> 166.64s]  in different ways.
[166.64s -> 172.92s]  So there's really not a single ideal way of measuring performance.
[172.92s -> 177.36s]  So for example, on the left, when you train your model for evaluating performance, you
[177.36s -> 182.84s]  really need to have a way of measuring performance that is super fast, super cheap,
[182.84s -> 183.84s]  and differentiable.
[183.84s -> 186.92s]  Because usually, I mean, with neural networks, you basically back propagate to the loss.
[186.92s -> 188.70s]  So it needs to be differentiable.
[188.70s -> 194.32s]  And finally, you really cannot have a way for your model to optimize some shortcuts
[194.32s -> 198.34s]  to optimize the loss, even though it's not really what you want it to optimize.
[198.34s -> 203.46s]  And as you move more to the right, basically, you're allowed or like you will measure
[203.46s -> 205.88s]  performance less often.
[205.88s -> 213.28s]  So it's fine if it's more expensive, but you really like the risk that you really
[213.28s -> 217.84s]  need your evaluation metrics to be higher quality.
[217.84s -> 222.52s]  Because the issues if you put a model in production are higher.
[222.52s -> 226.92s]  So during the development stage, you need a way of measuring performance that is fast,
[226.92s -> 229.12s]  cheap, and also kind of avoiding shortcuts.
[229.12s -> 233.60s]  Because when you do hyper-antituning, you're essentially also optimizing over a certain
[233.60s -> 235.50s]  objective.
[235.50s -> 239.00s]  Model selection, it can be a little bit less fast and less cheap, but still you will
[239.00s -> 240.76s]  have to do it that many times.
[240.76s -> 244.90s]  And most importantly, when you deploy a model, you really want the way to evaluate performance
[244.90s -> 246.98s]  to be trustworthy.
[246.98s -> 250.64s]  Because once you put something in production, there's kind of no way to go back for
[250.64s -> 253.50s]  what happened during that time when it was in production.
[253.50s -> 255.92s]  You also want things to be very task specific.
[255.92s -> 260.86s]  So if I care about a certain task, when I put my model in production, you really need
[260.86s -> 262.48s]  to evaluate on that specific task.
[262.48s -> 264.16s]  I don't care about other tasks.
[264.16s -> 266.68s]  And finally, you need your metrics to be absolute.
[266.68s -> 271.04s]  So the reason why I'm highlighting that is that under three other steps, you really
[271.04s -> 273.36s]  just care about comparing between things.
[273.36s -> 278.74s]  Today is very different than if you want to kind of have a threshold which says if
[278.74s -> 282.66s]  I have less than 95% accuracy, I'm not putting my model in production.
[282.66s -> 284.90s]  Okay, and now let's talk about publishing.
[284.90s -> 288.62s]  This is a little bit different than honestly evaluation in the real world.
[288.62s -> 294.30s]  But when you basically do academic benchmarking and when you evaluate your models and academic
[294.30s -> 298.02s]  benchmarks, you want the benchmark to be reproducible and standardized.
[298.02s -> 302.86s]  And the reason why is basically because for the next five or six or ten years, everyone
[302.86s -> 307.32s]  will be evaluated on that one benchmark and you want papers in three years to be comparable
[307.32s -> 308.32s]  to yours.
[308.40s -> 311.04s]  So it's really important that your evaluations are reproducible.
[311.04s -> 315.36s]  Honestly, you don't really care about that in the real world.
[315.36s -> 321.08s]  You also want things to be easy to work with because researchers are usually a little
[321.08s -> 325.00s]  bit, they don't want to do additional work that they need to.
[325.00s -> 330.28s]  And also, they usually don't have that much resource, so it needs to be fast and cheap.
[330.28s -> 335.20s]  And finally, one thing which I really want to highlight is that for the academic benchmarks
[335.24s -> 340.16s]  that we usually have, it's fine if the metrics that we use are not perfect.
[340.16s -> 344.96s]  Because really what matters is that over ten years, the direction that your metrics is
[344.96s -> 352.20s]  showing you to go into, like basically how the field is moving, really, if the metric
[352.20s -> 355.72s]  is saying that it's slightly better, sorry, that it's better over ten years, that in
[355.72s -> 359.88s]  reality the field has made some progress.
[359.88s -> 366.72s]  So at a meta level, it's fine if you use crude metrics in academia.
[366.72s -> 373.88s]  And also, you kind of need to balance between difficulty and simplicity.
[373.88s -> 379.20s]  And what I mean by that is that if your benchmark is way too complicated, then basically
[379.20s -> 384.56s]  all methods will have essentially random performance, so no one will use your benchmark.
[384.56s -> 390.20s]  And if your benchmark is too simple, then the baseline will be so good that no one will
[390.20s -> 393.96s]  use your benchmark because no one can beat the baseline.
[393.96s -> 396.24s]  This is really something that is specific to academia.
[396.24s -> 398.80s]  In the real world, you're not going to be able to change the tasks that you're
[398.80s -> 403.00s]  performing based on how good your model is.
[403.00s -> 407.30s]  So that's why I kind of just want to highlight that because usually people talk about evaluations,
[407.30s -> 412.40s]  but there's really different ways of evaluating and different reasons why we evaluate.
[413.04s -> 414.20s]  Does that all make sense?
[414.20s -> 415.92s]  Also, feel free to ask questions.
[417.40s -> 418.98s]  Great, okay.
[418.98s -> 423.40s]  So benchmarks in academia, this is really the way we drive the field.
[423.40s -> 425.14s]  So this is the MMLU benchmark.
[425.14s -> 427.28s]  I think Archit briefly mentioned it,
[427.28s -> 429.66s]  but I'll talk about it later again.
[429.66s -> 432.68s]  So this is the most standard benchmark right now,
[432.68s -> 436.48s]  and you basically see that in the last four-ish years,
[436.48s -> 439.70s]  it has gone from 25% accuracy, which is essentially random
[439.74s -> 443.90s]  because it's multiple choice and there are four choices,
[443.90s -> 447.00s]  to around 90-ish percent accuracy.
[448.54s -> 452.54s]  So yeah, benchmarking is really what drives the progress of the field.
[452.54s -> 454.44s]  And again, you see what I mean here.
[454.44s -> 457.36s]  What I meant here is that it's not really the differences
[457.36s -> 460.44s]  between small points that matter, at least in academia.
[460.44s -> 462.34s]  You have to take a step back and you have to think,
[462.34s -> 465.86s]  what matters is how your models will perform over 10 years
[465.86s -> 468.10s]  and making sure that the model on the top right here
[468.10s -> 470.62s]  is better than the model on the bottom left,
[471.78s -> 474.54s]  even if the benchmark is not perfect.
[474.54s -> 477.14s]  And I think MMLU is a pretty good one in that sense.
[479.06s -> 481.42s]  Okay, so there are two main types,
[481.42s -> 485.94s]  at least classically, of tasks in NLP.
[485.94s -> 489.98s]  Closed-ended tasks, so I'll talk about it later,
[489.98s -> 492.62s]  but essentially, you can think about classification,
[492.62s -> 496.38s]  where you know exactly the label, the correct label
[496.38s -> 498.44s]  for the task that you're performing.
[498.44s -> 500.86s]  So here, this is the IMDb data set
[500.86s -> 504.14s]  where you're asked to say whether a sentence
[504.14s -> 506.36s]  has positive sentiment or negative sentiment.
[506.36s -> 508.42s]  So the text is, read the book, forget the movie.
[508.42s -> 511.62s]  So this is about a sentiment classification of the movie.
[511.62s -> 513.46s]  So here, it's basically negative.
[514.50s -> 516.30s]  And then there's open-ended evaluation.
[516.30s -> 517.58s]  So think about chatGPT,
[517.58s -> 519.24s]  like how do you evaluate something like that,
[519.24s -> 522.10s]  where really, there's no correct answer
[522.10s -> 525.74s]  and there are many possible correct answers
[525.76s -> 527.76s]  and they all have different qualities.
[529.12s -> 531.50s]  So we're gonna distinguish between those two.
[532.64s -> 534.56s]  So closed-ended evaluation.
[535.70s -> 537.98s]  So as I just said, closed-ended tasks,
[537.98s -> 541.34s]  there's a limited, it's basically defined as the task
[541.34s -> 544.70s]  where there's a limited number of potential answers,
[544.70s -> 547.42s]  think like less than 10, and often,
[547.42s -> 551.86s]  there's just one or maybe a few correct possible answers.
[552.58s -> 556.42s]  So this really is standard machine learning.
[556.42s -> 558.02s]  If you think about standard classification,
[558.02s -> 559.02s]  you can just do accuracy,
[559.02s -> 561.58s]  you can look at your precision, your recalls.
[561.58s -> 564.42s]  There's nothing special here about NLP.
[564.42s -> 567.18s]  That is not to say that it's simple,
[567.18s -> 569.94s]  it's just that there's nothing special about NLP here.
[571.12s -> 574.02s]  So some tasks, some closed-ended tasks,
[574.02s -> 576.70s]  I already told you about sentiment analysis.
[576.70s -> 579.22s]  So usually, this is a binary classification task
[579.22s -> 580.46s]  where you just have to say whether
[580.50s -> 583.74s]  the sentiment is positive or whether it's negative.
[583.74s -> 585.22s]  Another task is entailment.
[586.46s -> 588.70s]  Also, for sentiment analysis, the typical benchmarks,
[588.70s -> 590.90s]  I always put it next to the task,
[590.90s -> 593.36s]  is IMDB and SST from Stanford.
[593.36s -> 595.68s]  Entailment is SNLI, also from Stanford,
[595.68s -> 597.18s]  where basically you have some text.
[597.18s -> 601.18s]  So here, soccer game with multiple males playing,
[601.18s -> 602.54s]  and then you have a hypothesis,
[602.54s -> 603.82s]  some men are playing sport,
[603.82s -> 606.98s]  and you have to say whether the hypothesis is implied
[606.98s -> 608.98s]  or entailed by the text.
[608.98s -> 610.18s]  So here it is.
[611.14s -> 615.44s]  Other tasks, part of speech, typical benchmark,
[615.44s -> 618.38s]  pantry bank, and name entity recognition,
[618.38s -> 620.82s]  which is a kernel benchmark.
[622.04s -> 623.28s]  A few other tasks.
[623.28s -> 624.68s]  You don't need to know all of them,
[624.68s -> 627.72s]  but just to give you a brief overview.
[627.72s -> 629.78s]  Coreference resolution.
[629.78s -> 633.14s]  So this is actually a pretty challenging NLP task
[633.14s -> 634.86s]  where you have to say what pronoun,
[634.86s -> 637.22s]  which pronoun refers to what noun.
[637.22s -> 639.18s]  So you have here the sentence,
[639.18s -> 642.70s]  Mark told Pete many lies about himself,
[642.70s -> 644.78s]  which Pete included in his book,
[644.78s -> 646.38s]  he should have been more truthful.
[646.38s -> 649.96s]  And now you have to say what does he refer to,
[651.54s -> 653.50s]  whether he refers to Pete.
[653.50s -> 655.38s]  And then there's question answering,
[655.38s -> 657.08s]  where you basically have a long text,
[657.08s -> 658.34s]  and you ask a question,
[658.34s -> 660.62s]  and, well, sorry, the task asks a question,
[660.62s -> 661.90s]  and you're supposed to provide an answer
[661.90s -> 664.58s]  based on the text that you have before.
[664.58s -> 669.06s]  So those are some examples of close-ended tasks.
[670.02s -> 672.46s]  The key here is that the way we evaluate those
[672.46s -> 673.74s]  is just standard machine learning.
[673.74s -> 677.82s]  You can look at accuracy, precision, recall, F1 score.
[677.82s -> 680.22s]  Hopefully you all know about these type of metrics,
[680.22s -> 681.06s]  but if you don't,
[681.06s -> 685.22s]  you should look at Chris Peach's class.
[685.22s -> 687.34s]  I think it's CS224U.
[688.26s -> 689.40s]  But his lecture is online.
[689.40s -> 692.64s]  It's actually really good on different metrics.
[694.80s -> 696.78s]  So the ways that people evaluate
[696.78s -> 698.46s]  some of these benchmarks
[698.70s -> 702.46s]  is usually by looking at many of them concurrently.
[702.46s -> 704.22s]  So the most common, I would say,
[704.22s -> 707.26s]  like super or multitask benchmark is called superglue.
[708.10s -> 713.10s]  So here you see on the columns here
[713.10s -> 716.08s]  you have all the different tasks in superglue.
[716.08s -> 717.98s]  So I think there are eight or nine.
[718.86s -> 722.62s]  And then you really just look at the average performance
[722.62s -> 723.90s]  in each of these benchmarks,
[723.90s -> 725.38s]  and you get a ranking on that.
[725.38s -> 727.30s]  And it is kind of an attempt
[727.30s -> 730.50s]  to measure general language capabilities.
[730.50s -> 732.80s]  This is what people used to do, I would say,
[732.80s -> 736.62s]  until maybe two years ago.
[736.62s -> 739.58s]  I will tell you about what people do now
[739.58s -> 741.74s]  around the end of the lecture.
[741.74s -> 743.46s]  But yeah, superglue is definitely something
[743.46s -> 745.10s]  you should at least be aware of.
[745.90s -> 749.78s]  And the example of tasks that are in superglue,
[749.78s -> 753.74s]  one is BoolQ, which is simply you have some text,
[753.74s -> 755.82s]  you have some question, and you have to say
[755.82s -> 757.82s]  whether the answer is yes or whether it's no.
[757.82s -> 759.22s]  So that's very easy to evaluate.
[759.22s -> 762.14s]  You just look at accuracies or precision recall.
[762.14s -> 764.18s]  Entailment, we already talked about.
[765.06s -> 767.22s]  And then the other ones like coreference resolution,
[767.22s -> 769.74s]  which we also talked about, and meaning of words,
[769.74s -> 772.58s]  which is something where you have two sentences
[772.58s -> 774.54s]  with the same words, and you have to say
[774.54s -> 776.84s]  whether they actually mean the same thing
[776.84s -> 777.68s]  in this sentence.
[777.68s -> 779.14s]  For example, if you have bank,
[779.14s -> 782.46s]  it could mean bank like water and bank like money.
[782.50s -> 785.18s]  And you have to say whether in these two sentences
[785.18s -> 788.02s]  they refer to the same concept.
[788.02s -> 790.74s]  And there are some question-answering tasks too.
[791.90s -> 793.74s]  So this is about superglue.
[793.74s -> 794.98s]  Are there any questions?
[797.62s -> 798.66s]  No, cool.
[800.58s -> 803.70s]  So again, although I said many times
[803.70s -> 806.42s]  that this is essentially just classical machine learning,
[806.42s -> 809.12s]  I want to emphasize that it doesn't mean that it's simple
[809.12s -> 811.84s]  and you really have to think carefully about what you do
[812.12s -> 814.48s]  when you use those type of close-ended tasks.
[814.48s -> 816.22s]  In particular, you're gonna have to choose
[816.22s -> 818.56s]  whether you look at accuracies, precision, recall,
[818.56s -> 821.30s]  F1 score, ROC curves, AUC curves.
[821.30s -> 822.44s]  If you don't know these names,
[822.44s -> 825.90s]  you should really check out the sklearn documentation
[825.90s -> 829.66s]  or the lecture from Chris Peach that I linked above,
[829.66s -> 831.48s]  both of which are really good.
[831.48s -> 834.34s]  But depending on which metric you will choose,
[834.34s -> 837.68s]  you will decide on very different type of algorithms.
[837.68s -> 840.40s]  And the usual example is that if,
[841.24s -> 844.52s]  let's say you look at spam,
[844.52s -> 845.72s]  you want to do classification
[845.72s -> 848.54s]  of whether an email is spammed or not.
[848.54s -> 852.28s]  Most emails are not spammed, thankfully, at least I hope.
[853.20s -> 856.44s]  So let's say that 90% of emails were actually not spam
[856.44s -> 858.12s]  and only 10% of them are spam.
[858.12s -> 859.68s]  If you look at the accuracy,
[859.68s -> 861.80s]  then just a random classifier
[861.80s -> 865.56s]  that predicts the most likely label will get 90% accuracy.
[865.56s -> 867.60s]  And that seems, if you don't know really
[867.60s -> 870.08s]  about the dataset, like 90% accuracy seems good.
[870.60s -> 871.44s]  But in reality here,
[871.44s -> 873.60s]  it means that you're not classifying anything.
[873.60s -> 875.60s]  So that's why you want to look at precision, recall,
[875.60s -> 876.44s]  and F1 score.
[877.96s -> 880.32s]  Anyways, I will not talk too much about that
[880.32s -> 882.32s]  because again, this is not specific to NLP,
[882.32s -> 884.40s]  but it doesn't mean it's easy.
[884.40s -> 886.28s]  Another issue is that once you have
[886.28s -> 887.68s]  multiple different tasks,
[887.68s -> 890.32s]  there's a question of how do you aggregate these metrics?
[890.32s -> 892.48s]  So right before, I told you,
[892.48s -> 895.44s]  oh, you just take the average between all of these things.
[895.44s -> 898.52s]  This honestly is a really terrible thing to do,
[898.56s -> 900.36s]  but that's actually what people do.
[901.52s -> 904.20s]  But these columns actually mean very different things.
[904.20s -> 905.52s]  Some of them are accuracies,
[905.52s -> 909.44s]  others are F1 score, others are correlations,
[909.44s -> 910.48s]  and you just average everything.
[910.48s -> 912.36s]  I can't remember which benchmark,
[912.36s -> 913.92s]  but I remember a few years ago,
[913.92s -> 916.28s]  there was one benchmark where actually one of the columns
[916.28s -> 918.32s]  was you were better,
[918.32s -> 919.84s]  basically you had better performance
[919.84s -> 921.88s]  if the value was lower,
[921.88s -> 924.20s]  and you still took an average of these things
[924.20s -> 925.56s]  until someone realized that they're like,
[925.56s -> 928.08s]  maybe we should put a minus there.
[928.08s -> 930.80s]  So yeah, be careful,
[930.80s -> 934.72s]  and don't always think that what people do in academia
[934.72s -> 937.84s]  or that what people do is correct.
[938.88s -> 941.60s]  You should think a little bit about that.
[941.60s -> 942.80s]  Then there are some other questions
[942.80s -> 944.40s]  I want you to think about.
[944.40s -> 946.16s]  Where do those labels come from?
[946.16s -> 948.84s]  I said that is usually a real answer,
[948.84s -> 952.92s]  but how you actually get those labels is unclear,
[952.92s -> 956.72s]  so I will tell you about some issues in the next slide.
[957.40s -> 958.88s]  And also related to that,
[958.88s -> 960.44s]  there might be some spurious correlations,
[960.44s -> 962.68s]  and that's what we're gonna talk about right now.
[962.68s -> 967.68s]  So we already talked about SNLI, so entailment,
[968.28s -> 970.12s]  so here you have again your premise,
[970.12s -> 973.60s]  the economy could still be better,
[973.60s -> 976.44s]  and the hypothesis, the economy has never been better,
[976.44s -> 978.14s]  and you have to say whether the hypothesis
[978.14s -> 979.96s]  is implied by the premise.
[979.96s -> 983.84s]  And what this paper from 2019 found
[983.84s -> 986.08s]  is that actually all the different models
[986.12s -> 987.36s]  were performing really well,
[987.36s -> 991.80s]  but if you just classified based on the hypothesis,
[991.80s -> 993.32s]  you could also perform really well.
[993.32s -> 996.50s]  So even if you did not look at the premise,
[996.50s -> 997.90s]  which seems like something that you need
[997.90s -> 999.84s]  to take into account because it's part of the task,
[999.84s -> 1000.80s]  you could perform well.
[1000.80s -> 1003.48s]  And the reason why is because they realized
[1003.48s -> 1008.24s]  that when the humans actually wrote the hypotheses,
[1008.24s -> 1010.04s]  they were asked, write a hypothesis
[1010.04s -> 1012.80s]  which is not entailed by the premise,
[1012.80s -> 1015.60s]  and how humans usually do that is by adding a negation.
[1016.48s -> 1018.60s]  So if you only look at the hypothesis
[1018.60s -> 1019.58s]  and you see that there's a negation,
[1019.58s -> 1023.90s]  it's very likely that it's not entailed by the premise.
[1023.90s -> 1027.60s]  So again, even though this is standard machine learning,
[1027.60s -> 1030.80s]  be really careful about what metric you use
[1030.80s -> 1033.16s]  and where do the labels come from.
[1034.04s -> 1035.76s]  And don't do everything,
[1035.76s -> 1038.00s]  don't just use what people do
[1038.00s -> 1039.72s]  thinking that if there was an issue,
[1039.72s -> 1041.24s]  people would have realized.
[1041.88s -> 1046.56s]  So yeah, so that is previous correlations.
[1046.56s -> 1049.30s]  Any questions on close-ended tasks?
[1052.08s -> 1053.28s]  Cool.
[1053.28s -> 1054.88s]  Okay, open-ended evaluations.
[1054.88s -> 1056.06s]  I'm gonna mostly talk about that
[1056.06s -> 1058.78s]  because this is what is specific to NLP.
[1059.84s -> 1062.64s]  So open-ended evaluation or open-ended task
[1062.64s -> 1065.88s]  is essentially the opposite of the close-ended task
[1065.88s -> 1068.36s]  which is to say that there are many possible
[1068.36s -> 1071.56s]  correct answers and you cannot enumerate all of them.
[1072.68s -> 1075.52s]  So you really can't use standard machine learning metrics.
[1077.70s -> 1080.20s]  Even more than the fact that you cannot
[1080.20s -> 1081.96s]  enumerate all the possible answers,
[1081.96s -> 1086.20s]  usually there are different levels of correctness.
[1086.20s -> 1088.08s]  So if I ask you to write a book
[1088.08s -> 1090.10s]  or if I ask Chai GPT to write a book,
[1090.10s -> 1091.40s]  like it might be a decent book
[1091.40s -> 1093.40s]  but there might be a better book
[1093.40s -> 1094.40s]  that it could have written
[1094.40s -> 1095.88s]  or that another model could write.
[1095.88s -> 1097.20s]  So it's not just right and wrong,
[1097.88s -> 1099.08s]  it's a continuum.
[1100.56s -> 1101.88s]  Yeah, it's a continuum.
[1103.04s -> 1105.28s]  So standard examples for open-ended tasks.
[1105.28s -> 1107.62s]  The two most common ones are summarization.
[1108.60s -> 1111.96s]  So summarization, you have a long piece of text
[1111.96s -> 1113.58s]  and you just have to summarize it
[1113.58s -> 1115.20s]  in less than X characters.
[1116.16s -> 1121.16s]  Standard benchmark is the CNN and Daily Mail benchmarks.
[1121.68s -> 1125.28s]  So the way they actually collected that dataset
[1125.28s -> 1127.40s]  is that they took a lot of CNN articles
[1127.40s -> 1128.82s]  and you know at the top of CNN articles,
[1128.82s -> 1131.60s]  you have bullet points that kind of say
[1131.60s -> 1133.48s]  what are the most important things in the article.
[1133.48s -> 1136.56s]  So they use this as essentially the gold summary.
[1138.10s -> 1140.28s]  So this is the classical one for summarization.
[1140.28s -> 1142.80s]  For translation, you basically have sentences
[1142.80s -> 1143.92s]  in two different languages
[1143.92s -> 1146.56s]  and you have to translate from one to the other.
[1146.56s -> 1148.82s]  So those are the classical ones.
[1148.82s -> 1151.28s]  The way that people currently do it is,
[1151.28s -> 1153.84s]  I would say the most standard task right now
[1153.84s -> 1155.22s]  is instruction following.
[1156.10s -> 1159.66s]  Instruction following is kind of the mother of all tasks
[1159.66s -> 1164.54s]  in the sense that you can view any previous task
[1164.54s -> 1167.46s]  as just a chatbot or like some question
[1167.46s -> 1169.20s]  that you ask to basically chat GPT.
[1169.20s -> 1170.66s]  You can think classification,
[1170.66s -> 1172.44s]  I could just ask chat GPT to do that.
[1172.44s -> 1173.70s]  You can think summarization,
[1173.70s -> 1174.94s]  I could ask chat GPT to do that.
[1174.94s -> 1177.66s]  So essentially, you could just view chatbot
[1177.66s -> 1180.14s]  as the most general type of task
[1180.14s -> 1183.66s]  and you can ask it to perform any possible task
[1183.66s -> 1186.10s]  and it should just provide the answer for that task.
[1186.10s -> 1188.38s]  So this is what we call instruction following.
[1188.38s -> 1189.46s]  So as you might think,
[1190.58s -> 1193.30s]  evaluation is very hard in that domain
[1193.30s -> 1195.02s]  and that's what we'll talk about later
[1195.02s -> 1197.42s]  is how do you evaluate something like chat GPT.
[1198.96s -> 1200.98s]  Okay, so types of evaluation methods
[1200.98s -> 1203.36s]  for text generation or open-ended tasks.
[1204.70s -> 1207.14s]  The classical ones are content overlap metrics
[1207.14s -> 1208.78s]  which I'll talk about.
[1208.78s -> 1212.10s]  So that's really comparing just the words
[1212.10s -> 1213.66s]  between a reference answer,
[1213.66s -> 1215.30s]  a gold answer that humans wrote
[1215.30s -> 1218.92s]  and the actual generation that you got from your model.
[1218.92s -> 1221.10s]  Then there are model-based metrics
[1221.10s -> 1226.10s]  where you basically turn evaluation into machine learning.
[1226.54s -> 1230.46s]  So you train a model to basically become an evaluator
[1231.74s -> 1233.08s]  and then there's human evaluation
[1233.08s -> 1236.58s]  which is usually seen as the gold standard
[1236.58s -> 1238.04s]  for open-ended tasks.
[1238.04s -> 1242.12s]  Okay, so content overlap metrics.
[1242.12s -> 1242.96s]  So as I just said,
[1242.96s -> 1245.08s]  this is really just comparing word by word
[1246.00s -> 1249.56s]  or group of words between the generated sequence
[1249.56s -> 1250.76s]  and some reference.
[1252.04s -> 1254.30s]  So here I have the generated sequence
[1254.30s -> 1256.82s]  being the woman went to the hardware store
[1256.82s -> 1257.88s]  and the gold reference
[1257.88s -> 1260.68s]  which is the reference written by humans.
[1260.68s -> 1262.30s]  I actually don't even know what the task is
[1262.30s -> 1265.64s]  but the reference here is they walked to the grocery store
[1265.64s -> 1268.00s]  and then what you do is that you just compare
[1268.92s -> 1269.92s]  the two different sentences
[1269.92s -> 1271.96s]  by looking at the lexical similarity
[1271.96s -> 1273.20s]  between those two texts.
[1274.58s -> 1277.20s]  And this is super fast and efficient
[1277.20s -> 1278.40s]  and the way you usually do that
[1278.40s -> 1280.34s]  is by using n-gram overlap metrics.
[1280.34s -> 1282.36s]  So what I mean by this is that
[1282.36s -> 1284.76s]  the simplest possible thing is just to say
[1284.76s -> 1287.56s]  whether for every word in the generated sequence
[1287.56s -> 1290.32s]  whether it appears in the reference sequence
[1290.32s -> 1294.80s]  and if it does then you kind of increment your performance.
[1294.80s -> 1296.74s]  So n-grams is essentially the same thing
[1296.74s -> 1298.90s]  but instead of looking at a single word
[1298.90s -> 1301.26s]  you basically look at bigrams, trigrams
[1301.26s -> 1306.26s]  and kind of multiple words next to one another.
[1307.34s -> 1309.46s]  So the usual overlap metrics,
[1309.46s -> 1312.38s]  the most common ones are blue and the rouge.
[1312.38s -> 1314.58s]  Blue means blue and the rouge means red.
[1315.86s -> 1317.26s]  That's not what they stand for though
[1317.26s -> 1319.66s]  and I always forget what they stand for.
[1319.66s -> 1321.30s]  But basically blue what it is
[1321.30s -> 1324.30s]  is that it's a n-gram overlap metric
[1324.30s -> 1328.62s]  that tries to look at precision
[1328.62s -> 1332.50s]  while rouge is what looks at the recall.
[1332.50s -> 1335.22s]  So as I said before, as I alluded before
[1335.22s -> 1336.90s]  what is important even if you turn everything
[1336.90s -> 1339.22s]  into a kind of sentence classification
[1339.22s -> 1341.06s]  you have to think about whether you care
[1341.06s -> 1342.42s]  about precision or recall.
[1343.98s -> 1346.04s]  So those metrics are not ideal
[1346.04s -> 1348.26s]  but until I would say two years ago
[1348.26s -> 1349.74s]  they were the gold standard
[1349.74s -> 1352.52s]  for translation and summarization.
[1352.52s -> 1354.92s]  For translation people use blue
[1354.92s -> 1358.70s]  because you really want to,
[1358.70s -> 1359.54s]  yeah you really want to,
[1359.54s -> 1361.04s]  you basically look at the,
[1361.04s -> 1363.12s]  let's say I'm translating from French to English,
[1363.12s -> 1366.72s]  I want to look at the generated sequence in English
[1366.72s -> 1369.32s]  and the actual reference sequence in English
[1369.32s -> 1372.44s]  and I want to know whether every bigram
[1372.44s -> 1374.26s]  that I generated appears
[1374.26s -> 1376.48s]  or like how many of the bigrams that I generated
[1376.48s -> 1380.22s]  appears in the reference sequence.
[1381.22s -> 1383.46s]  There's one additional thing
[1383.46s -> 1385.06s]  which is that they don't only look at precision
[1385.06s -> 1386.54s]  because you could get a very high precision
[1386.54s -> 1388.94s]  by actually predicting something very small.
[1388.94s -> 1392.50s]  For example if you always predicted the word the
[1392.50s -> 1394.22s]  only generated the word the
[1394.22s -> 1396.90s]  you would most likely get very high precision
[1396.90s -> 1399.90s]  because the usually appears in every sentence
[1399.90s -> 1402.86s]  or like let's say a full stop.
[1403.76s -> 1406.62s]  So there's also like some length penalty.
[1406.62s -> 1408.16s]  And rouge is kind of the opposite
[1408.16s -> 1409.46s]  it just looks at recall.
[1410.62s -> 1415.06s]  So those are the common content overlap metrics.
[1415.06s -> 1419.12s]  And just to illustrate why those are not ideal,
[1420.86s -> 1421.78s]  well they have many issues
[1421.78s -> 1423.56s]  but one of them is that they don't really
[1423.56s -> 1427.30s]  take into account the semantic relatedness between words.
[1427.30s -> 1429.14s]  So imagine that Chris asks you
