# Detected language: en (p=1.00)

[0.00s -> 7.32s]  Okay. Hi, everyone.
[131.36s -> 133.48s]  OK, so let's get straight into it
[133.48s -> 136.80s]  and start looking at linguistic structure.
[136.80s -> 144.76s]  So in thinking about linguistic structure of human languages,
[144.76s -> 149.88s]  there are two primary ways that people have thought about it.
[149.88s -> 155.12s]  So one way is using the idea that linguists normally
[155.12s -> 158.44s]  call phrase structure, which is then represented
[158.44s -> 162.68s]  in terms of what computer scientists normally
[162.68s -> 165.12s]  know as context-free grammars.
[165.12s -> 168.24s]  So I'm going to spend a couple of minutes going
[168.24s -> 170.36s]  over that view of things.
[170.36s -> 172.20s]  But actually, it's not the main one
[172.20s -> 174.16s]  that I'm going to talk about in this class.
[174.16s -> 176.68s]  I'm going to spend most of this class talking
[176.68s -> 179.84s]  about an alternative way of thinking about things
[179.84s -> 181.92s]  called dependency grammars.
[181.92s -> 183.76s]  There are actually some correspondences
[183.76s -> 186.48s]  you can make between the two ways of thinking about things,
[186.48s -> 190.08s]  but I'm not going to go through into those here today.
[190.08s -> 194.32s]  So for the constituency grammar or phrase structure
[194.32s -> 196.68s]  version of things, the way that you
[196.68s -> 200.00s]  go about thinking about the structure of human languages
[200.00s -> 201.76s]  is, well, there are words.
[201.76s -> 205.60s]  Languages have lots of words, hundreds of thousands of words.
[205.60s -> 209.64s]  But it seems like a lot of the words, nearly all
[209.64s -> 214.84s]  the words, in fact, fall into a few basic classes that
[214.84s -> 219.72s]  represent their nature and how they behave in sentences.
[219.72s -> 224.00s]  So for words like the examples here, we have nouns.
[224.00s -> 225.92s]  So cat is a noun.
[225.92s -> 227.52s]  Door is a noun.
[227.52s -> 230.92s]  But something like linguistics is also a noun.
[230.92s -> 233.76s]  So we have nouns.
[233.76s -> 235.72s]  And then we have other kinds of words.
[235.72s -> 238.36s]  So something like cuddly is an adjective,
[238.36s -> 241.34s]  a word that can modify nouns.
[241.34s -> 246.48s]  And then we have the the for the cuddly cat.
[246.48s -> 250.16s]  The is sort of a slightly more complex one
[250.16s -> 252.32s]  as to how to name.
[252.36s -> 255.16s]  Normally, in modern linguistics, referred to words
[255.16s -> 257.08s]  like that as a determiner.
[257.08s -> 259.48s]  You might also see the name article.
[259.48s -> 265.12s]  And sometimes when people try to shoehorn human language
[265.12s -> 266.88s]  into eight part of speech categories,
[266.88s -> 269.00s]  that they say it's an adjective that doesn't really
[269.00s -> 271.12s]  behave like regular adjectives.
[271.12s -> 274.28s]  And then we have words like by or through or on and to
[274.28s -> 275.64s]  and ones like that.
[275.64s -> 278.00s]  And so they're then prepositions.
[278.00s -> 280.92s]  So we have these classes and with lots of words
[280.96s -> 282.44s]  fitting into each class.
[282.44s -> 284.36s]  And so they're referred to conventionally
[284.36s -> 285.92s]  as parts of speech.
[285.92s -> 287.82s]  But then once we've got words, we
[287.82s -> 290.48s]  start putting them into bigger units.
[290.48s -> 293.82s]  So the cuddly cat is some kind of unit.
[293.82s -> 299.60s]  And so it seems like this is an explication of a noun,
[299.60s -> 300.60s]  a cat.
[300.60s -> 304.64s]  And so this gets referred to as a noun phrase.
[304.64s -> 308.68s]  And then by the door, well, this is a phrase.
[308.72s -> 311.92s]  But actually, it has inside it this the door.
[311.92s -> 314.24s]  And that's a noun phrase.
[314.24s -> 317.24s]  But this bigger unit here of by the door
[317.24s -> 320.28s]  is then a prepositional phrase.
[320.28s -> 324.04s]  And we can continue to build bigger units.
[324.04s -> 328.76s]  So inside, we have this phrase that we've already
[328.76s -> 331.88s]  looked at with a noun phrase and a prepositional phrase.
[331.88s -> 336.84s]  But then we can have another noun phrase, the cuddly cat.
[336.84s -> 341.32s]  And we can put them together and build a bigger noun phrase,
[341.32s -> 344.32s]  the cuddly cat by the door.
[344.32s -> 346.32s]  And so to represent this, you can
[346.32s -> 350.64s]  start to write a phrase structure grammar or a context
[350.64s -> 353.20s]  free grammar that represents what
[353.20s -> 356.52s]  are the possibilities for building up sentences here
[356.52s -> 357.28s]  in English.
[357.28s -> 359.68s]  Those similar kinds of phrase structure grammars
[359.68s -> 362.18s]  can be written for other languages.
[362.18s -> 365.96s]  So this is sort of starting to give you possible structures
[365.96s -> 367.60s]  for a noun phrase.
[367.60s -> 372.56s]  So you can have a noun phrase just goes to a determiner
[372.56s -> 374.40s]  followed by a noun.
[374.40s -> 376.96s]  But then as well as the cat and our dog,
[376.96s -> 380.04s]  you can have the large cats.
[380.04s -> 382.36s]  So you might say that, OK, rather than that,
[382.36s -> 384.72s]  I might want to have as a better rule
[384.72s -> 388.92s]  that a noun phrase goes to a determiner, an optional
[388.92s -> 392.14s]  adjective, and then a noun.
[392.14s -> 394.30s]  If you think about it, you can sort of
[394.30s -> 396.02s]  have multiple adjectives.
[396.02s -> 404.66s]  So you can have the large green cat or something like that.
[404.66s -> 406.78s]  So you can really get multiple adjectives
[406.78s -> 410.02s]  that are here, and that sort of star, the clean star
[410.02s -> 413.02s]  says you can have lots of them,
[413.02s -> 416.18s]  the large cuddly green cat.
[416.18s -> 420.26s]  But then you can stick things after the noun phrase.
[420.30s -> 422.50s]  So you can put these prepositional phrases
[422.50s -> 423.82s]  like in a crate.
[423.82s -> 427.06s]  So we might also want to say that a noun phrase can
[427.06s -> 429.78s]  be rewritten as a noun phrase followed
[429.78s -> 434.46s]  by a prepositional phrase, where a prepositional phrase
[434.46s -> 437.06s]  can be represented by a preposition followed
[437.06s -> 438.70s]  by a noun phrase.
[438.70s -> 442.50s]  And somewhere we're also going to want to represent our parts
[442.50s -> 444.06s]  of speech membership.
[444.10s -> 450.90s]  So a determiner can go to words like a or the,
[450.90s -> 458.10s]  and an adjective can go to words like large, cuddly,
[458.10s -> 461.94s]  or many other words that I'm not going to write down.
[461.94s -> 469.50s]  And a preposition can go to words like in, on, under,
[469.50s -> 471.18s]  et cetera after that.
[471.58s -> 475.54s]  So now I've got a little grammar here.
[475.54s -> 478.42s]  And this little grammar here could sort of
[478.42s -> 481.94s]  make everything I've got in these sentences.
[481.94s -> 483.46s]  Well, I actually can do this one too.
[483.46s -> 487.18s]  I can do the large barking one where there are multiple ones.
[487.18s -> 491.42s]  But then if I start going beyond these noun phrases
[491.42s -> 496.86s]  and say, think of sentences like talk to the cat
[496.90s -> 502.70s]  or talk to the large, cuddly dog by the door,
[502.70s -> 505.66s]  well, now I've got here a verb, talk,
[505.66s -> 508.34s]  and I've again got a preposition.
[508.34s -> 511.42s]  So I might then have more rules that
[511.42s -> 514.02s]  says I can have a verb phrase.
[514.02s -> 517.78s]  And the verb phrase can go to a verb and then
[517.78s -> 519.86s]  a prepositional phrase.
[519.86s -> 523.82s]  And then that could explain these two sentences as well.
[523.82s -> 525.98s]  And in this kind of way, I can start
[525.98s -> 530.74s]  to build up a grammar of the structure of English sentences
[530.74s -> 533.30s]  as a context-free grammar.
[533.30s -> 534.78s]  Make sense?
[534.78s -> 537.42s]  Yeah, OK.
[537.42s -> 543.78s]  And so that's what is being quite commonly done
[543.78s -> 548.02s]  in linguistics and elsewhere.
[548.02s -> 552.74s]  OK, yeah.
[552.74s -> 557.58s]  So let me just do that once more behind in this one.
[557.58s -> 563.14s]  So one thing I can do here is say, oh, I have,
[563.14s -> 566.70s]  I'm going to look at this with its phrase structure.
[566.70s -> 569.46s]  And if I write it upside down to give myself
[569.46s -> 574.98s]  some space for later, I could start
[574.98s -> 580.26s]  making a phrase structure that is of this sentence.
[580.30s -> 582.70s]  And I'll start to run out of space.
[582.70s -> 586.98s]  But I can sort of start to make this phrase
[586.98s -> 588.78s]  structure of the sentence.
[588.78s -> 592.26s]  So that's phrase structure.
[592.26s -> 595.54s]  But there's another form of representation
[595.54s -> 598.42s]  that has been fairly widely used in linguistics.
[598.42s -> 601.78s]  And we're going to, and it's been commonly used in NLP.
[601.78s -> 604.26s]  And we're going to use for the parses we build.
[604.26s -> 606.02s]  And that's dependency structure.
[606.02s -> 608.62s]  So dependency structure represents things
[608.66s -> 610.70s]  in a slightly different way.
[610.70s -> 614.62s]  It thinks about words that are the main word or head
[614.62s -> 618.02s]  or something, and then which words they take
[618.02s -> 620.30s]  as modifiers or arguments.
[620.30s -> 624.58s]  So for look in the large crate in the kitchen by the door,
[624.58s -> 628.54s]  well, this is describing a looking command.
[628.54s -> 632.94s]  So the head of the whole thing is looking.
[632.94s -> 637.54s]  And then looking is taking one or more arguments
[637.54s -> 639.14s]  or modifiers.
[639.14s -> 642.62s]  And well, what the looking is saying here
[642.62s -> 646.90s]  is, well, what you want to do is look in the large crate.
[646.90s -> 651.34s]  So we are looking in something.
[651.34s -> 654.70s]  And then what we're looking in is a crate.
[654.70s -> 657.54s]  And then the crate has some modifiers.
[657.54s -> 659.58s]  It's a large crate.
[659.58s -> 661.66s]  It's the large crate.
[661.66s -> 667.38s]  And then the crate is also placed somewhere.
[667.42s -> 670.78s]  It's placed in the kitchens.
[670.78s -> 675.66s]  So that in the kitchen is also modifying crate.
[675.66s -> 679.54s]  And then we've got over here the by the door.
[679.54s -> 685.90s]  Well, the by the door is also modifying crate.
[685.90s -> 689.26s]  So we've also got a link down over to here.
[689.26s -> 692.06s]  And that gives us our piece of structure here,
[692.06s -> 693.66s]  which having filled that in makes
[693.74s -> 697.70s]  me realize I actually got it wrong when I was doing
[697.70s -> 700.30s]  the constituency representation.
[700.30s -> 701.54s]  Whoopsie.
[701.54s -> 704.46s]  So I should get my, because in the constituency
[704.46s -> 707.62s]  representation, I made the kitchen by the door
[707.62s -> 709.58s]  into a phrase, and that was actually wrong.
[709.58s -> 711.74s]  Whoops, bad me.
[711.74s -> 715.54s]  So what I should have actually had
[715.54s -> 719.74s]  was we had another prepositional phrase that
[719.74s -> 723.30s]  went to a noun phrase of in the kitchen.
[723.34s -> 731.50s]  And then both of those were coming off a bigger noun phrase
[731.50s -> 732.26s]  like that.
[732.26s -> 733.18s]  Whoopsie.
[733.18s -> 736.78s]  OK, I get it right most of the time.
[736.78s -> 740.34s]  OK, so this idea of dependency structure
[740.34s -> 744.14s]  is that we're sort of finding what is the head word,
[744.14s -> 747.74s]  and then we're saying which things modify the head word.
[747.74s -> 750.18s]  And either of these representations
[750.18s -> 754.02s]  we can be using to sort of work out
[754.02s -> 756.62s]  what the structure of sentences is
[756.62s -> 759.06s]  in terms of which words go together
[759.06s -> 761.78s]  and which words modify other words.
[761.78s -> 766.30s]  And so the basic idea is, so when humans communicate,
[766.30s -> 769.54s]  we communicate in a linear stream, right?
[769.54s -> 773.98s]  So that if it's conventional writing systems,
[773.98s -> 777.18s]  it's a linear stream of words that you're reading.
[777.22s -> 780.30s]  If it's spoken language like you're understanding me
[780.30s -> 784.26s]  speaking right now, it's not a linear stream of words.
[784.26s -> 786.78s]  It's a linear sound stream.
[786.78s -> 791.06s]  And when people speak, there isn't
[791.06s -> 794.34s]  white space between words when people speak.
[794.34s -> 796.26s]  Occasionally, people pause at the end
[796.26s -> 798.42s]  of a clause or sentence or something.
[798.42s -> 801.30s]  But in general, I'm just speaking continuous words
[801.30s -> 803.14s]  that run one into each other so
[803.14s -> 808.26s]  that there's a linear sequence of sounds coming out my mouth,
[808.26s -> 810.82s]  and you have to do all of it like that.
[810.82s -> 815.14s]  But if you're then thinking, oh, gee,
[815.14s -> 819.06s]  I can actually understand Chris talking,
[819.06s -> 822.98s]  then somehow you're taking that linear stream
[822.98s -> 827.38s]  and you're turning it into a meaning where certain words are
[827.38s -> 831.74s]  modifying other words, and you have these bigger units
[831.78s -> 833.78s]  like constituents that are understanding
[833.78s -> 835.38s]  the meaning of the sentence.
[835.38s -> 839.58s]  And so human listeners need to work out
[839.58s -> 843.94s]  what modifies what to be able to understand sentences
[843.94s -> 846.02s]  correctly.
[846.02s -> 849.18s]  And so similarly, our models need
[849.18s -> 851.94s]  to be able to understand sentence structure in order
[851.94s -> 854.62s]  to be able to interpret language correctly.
[854.62s -> 856.94s]  And so for what we're going to be doing for building
[856.94s -> 859.14s]  dependency parsers is we're going
[859.14s -> 863.38s]  to be explicitly building a neural network
[863.38s -> 868.94s]  model that says, let's find the structure of these sentences.
[868.94s -> 871.66s]  In a way, we actually move away from that later on,
[871.66s -> 876.14s]  because when we move into transformer language models,
[876.14s -> 879.54s]  they just take in the sequence of words.
[879.54s -> 881.86s]  But actually, inside the parameters
[881.86s -> 885.22s]  of the neural network, they're recognizing and building
[885.22s -> 886.94s]  the same kind of structural units.
[886.94s -> 889.70s]  And we'll talk about that later in the class.
[889.70s -> 894.46s]  To give you more of a sense of how these understanding what
[894.46s -> 898.58s]  modifies what is important for interpretation,
[898.58s -> 902.38s]  here are a few funny examples from newspaper headlines.
[902.38s -> 908.10s]  And they're funny examples because sentences don't just
[908.10s -> 911.18s]  have one way of interpreting them.
[911.18s -> 913.42s]  When you have a sequence of words,
[913.42s -> 917.06s]  commonly in human languages, sequence of words
[917.06s -> 918.54s]  are ambiguous.
[918.54s -> 921.38s]  And it's relying on human interpretation
[921.38s -> 924.06s]  of what makes sense and what goes together
[924.06s -> 926.10s]  to work out how to read them.
[926.10s -> 929.42s]  So here's a first example.
[929.42s -> 933.14s]  Scientists count whales from space.
[933.14s -> 936.10s]  Now, that's ambiguous.
[936.10s -> 938.66s]  And you can give this two possible readings.
[938.74s -> 944.62s]  So how can you give this headline two possible readings?
[944.62s -> 945.58s]  Yeah?
[945.58s -> 948.58s]  One is that they are in space counting whales.
[948.58s -> 951.30s]  And the other one is that they're whales from in space.
[951.30s -> 954.54s]  Yeah, so one possibility is, so we've
[954.54s -> 956.42s]  got this prepositional phrase.
[956.42s -> 958.58s]  This is a prepositional phrase here.
[958.58s -> 962.94s]  One possibility is that this prepositional phrase
[963.02s -> 970.54s]  is modifying whales.
[970.54s -> 973.06s]  So they're whales from space.
[973.06s -> 976.94s]  And the other possibility is that it's the counting
[976.94s -> 978.54s]  that's happening from space.
[978.54s -> 981.34s]  So the scientists are counting it from space.
[981.34s -> 984.82s]  OK, so that corresponds to my two pictures here.
[984.82s -> 989.14s]  So in one picture, it's the counting
[989.14s -> 992.90s]  that is happening from space.
[992.90s -> 995.02s]  Which is actually the right interpretation
[995.02s -> 996.90s]  of what the article is about.
[996.90s -> 1000.74s]  But in the other interpretation, we have space whales.
[1000.74s -> 1003.86s]  And the scientists are counting the space whales
[1003.86s -> 1006.22s]  that are arriving or something like that.
[1006.22s -> 1010.18s]  And so then we have the from space
[1010.18s -> 1012.58s]  that are modifying the whales.
[1012.58s -> 1018.26s]  OK, so what we have here is a prepositional phrase, which
[1018.26s -> 1019.88s]  comes after a noun phrase.
[1019.88s -> 1022.34s]  It's just a one word noun phrase here, whales.
[1023.30s -> 1025.62s]  And then before that is a verb.
[1025.62s -> 1029.98s]  And so one place in English where
[1029.98s -> 1032.62s]  you get a lot of ambiguities is from
[1032.62s -> 1034.50s]  these prepositional phrases.
[1034.50s -> 1036.90s]  Because whenever you get prepositional phrases,
[1036.90s -> 1039.58s]  and prepositional phrases are really common in English
[1039.58s -> 1042.74s]  if you think about it, whenever you get them like this,
[1042.74s -> 1051.02s]  it's always ambiguous as to what earlier
[1051.06s -> 1055.54s]  thing in the sentence they're dependent of.
[1055.54s -> 1062.66s]  And so you can put in another prepositional phrase
[1062.66s -> 1065.06s]  in the morning or something like that.
[1065.06s -> 1069.74s]  And so then the ambiguities just multiply.
[1069.74s -> 1073.02s]  And so the important thing to notice here
[1073.02s -> 1077.98s]  about human language is human language
[1077.98s -> 1081.58s]  is, in syntactic terms, globally ambiguous.
[1081.58s -> 1084.54s]  So in programming languages, you
[1084.54s -> 1088.62s]  have local ambiguities as interpretation.
[1088.62s -> 1090.62s]  How many people have done a compilers class?
[1090.62s -> 1091.86s]  I think very few these days.
[1091.86s -> 1094.06s]  Anyone done a compilers class?
[1094.06s -> 1096.38s]  OK, it looks like less people have done a compilers
[1096.38s -> 1097.94s]  class than a linguistics class.
[1097.94s -> 1099.82s]  That's interesting.
[1099.82s -> 1103.22s]  OK, well, I won't make too many analogies
[1103.22s -> 1105.02s]  to compilers classes then.
[1105.02s -> 1108.82s]  When I was young, that was still the old days kind
[1108.82s -> 1112.70s]  of CS curriculum where writing interpreters and compilers
[1112.70s -> 1116.06s]  were seen as the mainstay of computer science education.
[1116.06s -> 1118.10s]  But no more, I guess.
[1118.10s -> 1121.46s]  Yeah, so in programming languages,
[1121.46s -> 1123.74s]  you could have a local ambiguity.
[1123.74s -> 1126.98s]  But ambiguities are always resolved, right?
[1126.98s -> 1130.06s]  So we have simple rules in programming languages
[1130.10s -> 1135.66s]  that else has construed with the nearest if.
[1135.66s -> 1138.22s]  It's a bit different in Python because there's indentation.
[1138.22s -> 1140.86s]  But there are rules that, so there's never
[1140.86s -> 1145.22s]  global ambiguity in a programming language.
[1145.22s -> 1148.78s]  But human languages just aren't like that, right?
[1148.78s -> 1152.98s]  That there's nothing that resolves which of these two
[1152.98s -> 1154.34s]  readings is correct.
[1154.34s -> 1157.58s]  If I made it a bigger sentence, they'd still be ambiguous.
[1157.58s -> 1159.70s]  You're just sort of meant to read it and use
[1159.70s -> 1164.10s]  context and your intelligence to decide what's going on.
[1164.10s -> 1169.98s]  And so to take a bigger but real example,
[1169.98s -> 1171.94s]  this is the kind of boring sentence
[1171.94s -> 1176.10s]  that you can read in the Wall Street Journal most mornings.
[1176.10s -> 1177.94s]  The board approved its acquisition
[1177.94s -> 1181.30s]  by Royal Trust Co., Ltd. of Toronto for $27
[1181.30s -> 1184.50s]  a share at its monthly meeting.
[1184.50s -> 1189.42s]  So what you can see in this sentence is we've got a verb,
[1189.42s -> 1191.46s]  and then we've got a noun phrase.
[1191.46s -> 1196.18s]  And then after that, we have four prepositional phrases
[1196.18s -> 1197.38s]  in a row.
[1197.38s -> 1201.22s]  OK, so what do these prepositional phrases modify?
[1201.22s -> 1205.06s]  So what does by Royal Trust Co., Ltd. modify?
[1207.78s -> 1208.94s]  The acquisition, right?
[1208.94s -> 1212.18s]  So it's the acquisition by Royal Trust Co.
[1212.18s -> 1216.78s]  Then of Toronto modifies?
[1216.78s -> 1220.74s]  So it's Royal Trust Co., Ltd. of Toronto.
[1220.74s -> 1223.74s]  So yeah, later on prepositional phrases
[1223.74s -> 1227.30s]  can also modify earlier prepositional phrases,
[1227.30s -> 1230.02s]  or at least the noun phrase inside the Royal Trust Co.,
[1230.02s -> 1231.06s]  Ltd.
[1231.06s -> 1240.18s]  OK, for $27 a share is back to modifying the acquisition
[1240.22s -> 1244.94s]  at its monthly meeting is the approval.
[1244.94s -> 1249.14s]  So it's gone way back up to there, right?
[1249.14s -> 1253.94s]  But you know, yeah, so if you start
[1253.94s -> 1258.66s]  having sentences with a whole bunch of prepositional phrases
[1258.66s -> 1262.02s]  like this, you can start getting more and more
[1262.02s -> 1264.26s]  ambiguities of attachment.
[1264.26s -> 1267.74s]  I mean, you don't get the full,
[1267.74s -> 1271.98s]  you don't get the full free choice factorial number
[1271.98s -> 1275.66s]  of attachment points, because there is a restriction
[1275.66s -> 1279.34s]  that these dependencies don't cross.
[1279.34s -> 1281.10s]  So once you've gone back further,
[1281.10s -> 1283.02s]  you have to stay equally far back
[1283.02s -> 1285.22s]  or go even back further back again.
[1285.22s -> 1288.30s]  But nevertheless, so the number of readings you get
[1288.30s -> 1290.26s]  is the Catalan series, which is
[1290.26s -> 1292.66s]  the series you see in a whole bunch of other places
[1292.66s -> 1295.74s]  if you've done any graph theory or anything like that.
[1295.78s -> 1297.78s]  So if you're doing triangulations,
[1297.78s -> 1301.82s]  you get Catalans, because you get the same property
[1301.82s -> 1302.90s]  that things don't cross.
[1302.90s -> 1305.50s]  So it's an exponentially growing
[1305.50s -> 1308.02s]  sequence of possible readings.
[1308.02s -> 1311.06s]  And so it quickly gets very big.
[1311.06s -> 1315.98s]  So I think when you've got four prepositional phrases,
[1315.98s -> 1317.50s]  you get 13 readings.
[1317.50s -> 1319.54s]  And if you have five, you get 27.
[1319.54s -> 1321.42s]  And it grows up from there.
[1321.42s -> 1323.74s]  So you get a lot of ambiguities.
[1323.74s -> 1325.18s]  But the crucial thing to notice
[1325.18s -> 1330.94s]  is human beings read sentences like this every morning,
[1330.94s -> 1333.10s]  or at least people who work in banking do,
[1333.10s -> 1335.46s]  while having their corn flakes.
[1335.46s -> 1338.62s]  And their brain doesn't explode trying
[1338.62s -> 1341.10s]  to think about the 13 different readings
[1341.10s -> 1342.66s]  and which one is correct.
[1342.66s -> 1345.46s]  We just sort of do this as we go along,
[1345.46s -> 1347.98s]  and it's sort of obvious.
[1347.98s -> 1350.06s]  Let's just do a couple more examples
[1350.06s -> 1352.06s]  of where we get ambiguities.
[1352.06s -> 1357.18s]  And in human language, so a different one you get
[1357.18s -> 1359.98s]  is coordination scope ambiguity.
[1359.98s -> 1364.10s]  So shuttle veteran and longtime NASA executive Fred Gregory
[1364.10s -> 1365.50s]  appointed to board.
[1365.50s -> 1368.26s]  How is this sentence ambiguous?
[1368.26s -> 1371.74s]  I think you mean two people or one person.
[1371.74s -> 1372.54s]  Yeah.
[1372.54s -> 1376.30s]  So there can either be one person, Fred Gregory,
[1376.30s -> 1381.30s]  and they're both a shuttle veteran and a NASA executive,
[1381.30s -> 1384.74s]  or it can be that there are two people.
[1384.74s -> 1389.86s]  There's a shuttle veteran and there's a longtime NASA
[1389.86s -> 1392.34s]  executive, Fred Gregory.
[1392.34s -> 1392.94s]  OK, yeah.
[1392.94s -> 1395.86s]  So we'd be kind of capturing those
[1395.86s -> 1398.98s]  by having extra grammar rules where a noun phrase
[1398.98s -> 1404.26s]  can go to a noun phrase, a conjunction, and a noun phrase.
[1404.26s -> 1407.90s]  But then another thing that you get in English
[1407.90s -> 1409.74s]  is apposition.
[1409.74s -> 1412.26s]  So you can have a noun phrase that's
[1412.26s -> 1415.22s]  a descriptive noun phrase of another noun phrase,
[1415.22s -> 1422.14s]  like a name, the author Fred Gregory or something like that.
[1422.14s -> 1427.22s]  Saying the word English again, I meant to comment.
[1427.22s -> 1431.58s]  So I'm only going to give English examples here.
[1431.58s -> 1434.38s]  In different languages, you don't
[1434.38s -> 1437.18s]  get all the same ambiguities.
[1437.22s -> 1441.62s]  So if you're familiar with, say, Chinese,
[1441.62s -> 1444.94s]  you might have thought about the prepositional phrase example
[1444.94s -> 1447.38s]  of, wait a minute, we don't have that one
[1447.38s -> 1451.30s]  because the prepositional phrase modifying the verb
[1451.30s -> 1453.70s]  would appear before the verb, and the object noun
[1453.70s -> 1454.70s]  would be afterwards.
[1454.70s -> 1458.14s]  So it would be completely unambiguous, and that's true.
[1458.14s -> 1462.10s]  But that doesn't mean that Chinese is unambiguous.
[1462.10s -> 1466.50s]  Chinese has lots of very bad ambiguities.
[1467.50s -> 1468.02s]  Yeah.
[1468.02s -> 1470.38s]  It's just that different languages have
[1470.38s -> 1472.50s]  different syntactic structures.
[1472.50s -> 1474.50s]  OK.
[1474.50s -> 1478.66s]  So sometimes in English, especially when
[1478.66s -> 1480.58s]  you're sort of in a more written form,
[1480.58s -> 1484.82s]  rather than having an explicit coordination word,
[1484.82s -> 1489.02s]  you can just sort of use juxtaposition with a comma
[1489.02s -> 1492.14s]  to have the idea of coordination.
[1492.14s -> 1498.70s]  So here's a fun example from the first Trump administration
[1498.70s -> 1502.50s]  of how we can have a coordination scope ambiguity.
[1502.50s -> 1507.42s]  Doctor, no heart, cognitive issues.
[1507.42s -> 1511.94s]  So again, this is the same kind of coordination scope ambiguity
[1511.94s -> 1516.78s]  that it can either be kind of no heart and cognitive issues
[1516.78s -> 1518.94s]  being conjoined together like that,
[1518.94s -> 1524.46s]  or else it could be that it's no heart or cognitive issues
[1524.46s -> 1527.10s]  being conjoined together like that.
[1527.10s -> 1530.30s]  You make the choice.
[1530.30s -> 1532.14s]  OK.
[1532.14s -> 1534.10s]  Let's see.
[1534.10s -> 1537.46s]  Oh, this is my risque one for a different kind
[1537.46s -> 1539.30s]  of ambiguity.
[1539.30s -> 1541.22s]  Trigger warning.
[1541.22s -> 1546.10s]  Students get first-hand job experience.
[1546.14s -> 1551.02s]  So this one is also an ambiguity
[1551.02s -> 1556.94s]  as to whether you're having the first-hand, and then
[1556.94s -> 1561.46s]  both the job and the first-hand are modifying
[1561.46s -> 1564.34s]  experience, or there's this other reading
[1564.34s -> 1568.82s]  if you have a smutty mind that might come to you.
[1568.82s -> 1569.34s]  OK.
[1569.34s -> 1571.14s]  One more fun one.
[1571.14s -> 1571.98s]  OK.
[1571.98s -> 1574.78s]  Mutilated body washes up on Rio Beach
[1574.78s -> 1577.74s]  to be used for Olympic speech volleyball.
[1577.74s -> 1578.42s]  OK.
[1578.42s -> 1583.14s]  So what are the two possible readings of this sentence?
[1583.14s -> 1584.58s]  You know, these are real examples
[1584.58s -> 1588.18s]  from quality newspapers.
[1588.18s -> 1590.54s]  OK, what are the two readings of this sentence?
[1590.54s -> 1591.02s]  Yeah.
[1591.02s -> 1593.06s]  The real read just goes to the newspaper.
[1593.06s -> 1593.98s]  It's quite volatile.
[1593.98s -> 1595.10s]  You've got to embody it.
[1595.10s -> 1595.62s]  Yeah.
[1595.62s -> 1596.10s]  Yeah.
[1596.10s -> 1603.62s]  So we've got, so here we have one of these infinitable,
[1603.62s -> 1608.10s]  so an infinitable verb phrase to be used for Olympic beach
[1608.10s -> 1609.22s]  volleyball.
[1609.22s -> 1612.86s]  And for these as well, you know,
[1612.86s -> 1615.02s]  they kind of have the same effect
[1615.02s -> 1618.10s]  as prepositional phrases that they
[1618.10s -> 1621.78s]  can modify different things.
