# Detected language: en (p=1.00)

[0.00s -> 0.84s]  Hello, everyone.
[317.00s -> 318.52s]  of how do you solve this thing?
[318.52s -> 319.82s]  Take the coefficient of the root,
[319.82s -> 321.94s]  divide it into two parts and multiply one of them
[321.94s -> 325.26s]  by itself at least to 39, et cetera, et cetera, right?
[325.26s -> 328.44s]  Now you just write kind of this concise formula.
[328.44s -> 331.46s]  And there are two things here that comes, you know,
[331.46s -> 333.72s]  is first, you know, replacing kind of, you know,
[333.72s -> 337.48s]  using special in the machine learning lingo,
[337.48s -> 340.82s]  using special tokens for numbers, right?
[340.82s -> 343.92s]  Like we present like the digits have special,
[344.36s -> 346.64s]  special kind of characters,
[346.64s -> 348.32s]  but also even more important,
[348.32s -> 349.84s]  I don't know which one is more important,
[349.84s -> 352.12s]  but that helps with also kind of,
[352.12s -> 354.80s]  I think only in the 17th century,
[354.80s -> 357.56s]  René Descartes kind of comes up with the idea
[357.56s -> 360.60s]  of using kind of the early letter of the alphabets
[360.60s -> 363.92s]  to denote constants and the end of the letter
[363.92s -> 367.04s]  of the alphabets X, Y, Z to describe unknowns.
[367.04s -> 370.00s]  And so that's basically how you end up with this formula,
[370.00s -> 371.72s]  but it takes, you know, like, you know,
[371.72s -> 374.36s]  I don't know how many it takes until the 17th century
[374.36s -> 376.36s]  to really come up with those notations.
[378.04s -> 382.44s]  And I think it's not hard to argue that precise notation
[382.44s -> 385.04s]  and axiomatization really eliminated ambiguities
[385.04s -> 387.88s]  and logical error, that symbolic notation
[387.88s -> 390.40s]  made complex manipulations more tractable
[390.40s -> 393.04s]  and requires much less, you know, cognitive load.
[393.04s -> 396.92s]  It's also kind of packs information extremely densely.
[398.16s -> 399.12s]  In terms of notation,
[399.12s -> 401.36s]  I can't remember exactly who said that
[401.88s -> 403.04s]  and if it was a joke or not,
[403.04s -> 406.60s]  but someone was arguing that maybe the Einstein notations
[406.60s -> 409.48s]  was his biggest contribution.
[409.48s -> 410.96s]  Then maybe pushing it a little bit
[410.96s -> 415.48s]  with given like the impact of general relativity,
[415.48s -> 417.56s]  special relativity and his work
[417.56s -> 419.60s]  to introduce quantum mechanics.
[419.60s -> 423.60s]  But certainly kind of Einstein notations
[423.60s -> 424.68s]  are very important.
[424.68s -> 426.28s]  Actually, if you read machine learning code,
[426.28s -> 428.98s]  you'll see that appearing a lot as well.
[428.98s -> 431.82s]  But basically once you have those symbols
[431.82s -> 433.94s]  and you can lift yourself up
[433.94s -> 435.94s]  from kind of particular examples,
[435.94s -> 439.38s]  you start to be able to observe different common patterns
[439.38s -> 440.86s]  across different contexts.
[440.86s -> 443.90s]  So that's where abstraction and generalization comes up.
[443.90s -> 446.64s]  You can unify disparate areas of mathematics
[447.62s -> 449.98s]  and actually you can even create new fields.
[449.98s -> 453.62s]  And so my favorite example here is really the people
[453.62s -> 457.18s]  who are looking at the five axioms of Euclidean geometry
[457.22s -> 460.50s]  and actually, I don't know, 4,000 of year, I think,
[460.50s -> 463.74s]  trying to see if they could remove the fifth axiom.
[463.74s -> 466.58s]  And that actually led to non-Euclidean geometry
[467.66s -> 470.18s]  and in particular, Riemannian geometry,
[470.18s -> 474.94s]  which in the theme of general relativity
[474.94s -> 477.10s]  was essential to get general relativity.
[478.24s -> 483.24s]  So this formalization has helped mathematics,
[484.18s -> 486.30s]  but also the other sciences,
[486.30s -> 488.54s]  in particular, physics.
[488.54s -> 490.58s]  And so I'd like to argue that basically
[490.58s -> 492.14s]  computer formulation,
[492.14s -> 494.78s]  which basically means writing mathematics in code,
[494.78s -> 496.66s]  is just the next logical phase
[496.66s -> 499.26s]  in this grand arc of mathematical formalism.
[501.46s -> 503.24s]  So there's been quite a few languages
[503.24s -> 504.74s]  to describe mathematical reasoning,
[504.74s -> 506.42s]  such as Koch and Isabel,
[506.42s -> 508.90s]  and Lean is one of the most recent ones,
[508.90s -> 512.10s]  originally developed, I believe, for software education,
[512.10s -> 514.34s]  but also with mathematics in mind.
[514.66s -> 517.22s]  And mathematicians saw in Lean kind of the tool
[517.22s -> 518.70s]  that would make the next big step
[518.70s -> 522.42s]  in mathematical formalism.
[522.42s -> 523.88s]  It's a programming language,
[523.88s -> 526.48s]  it's a theorem prover and interactive proof assistant,
[526.48s -> 529.10s]  and Lean has a really vibrant open source community
[529.10s -> 530.32s]  of mathematicians.
[530.32s -> 533.74s]  It's been used to formalize cutting edge mathematics,
[533.74s -> 535.42s]  field metal mathematics,
[535.42s -> 538.58s]  and the mathematicians are on the huge quest
[539.62s -> 543.26s]  to basically build the math library of the future.
[543.78s -> 545.52s]  Let me go there.
[545.52s -> 546.90s]  It's called MathLib.
[546.90s -> 548.62s]  It's built open source
[548.62s -> 551.14s]  on basically the free time of mathematicians,
[551.14s -> 554.04s]  and it has two big goals.
[554.04s -> 555.94s]  It tends to be general and unified.
[555.94s -> 559.22s]  So general, it means that it has the weakest assumptions
[559.22s -> 561.02s]  and the strongest results,
[561.02s -> 562.88s]  and unified is that it only has
[562.88s -> 564.38s]  one definition per concept.
[564.38s -> 565.52s]  So I was actually pretty surprised
[565.52s -> 568.94s]  when I learned about this unification idea,
[568.94s -> 571.06s]  because I thought that mathematics
[572.04s -> 576.42s]  was written in a very structured way already.
[576.42s -> 580.74s]  But apparently it turns out that for a given concept,
[580.74s -> 582.14s]  you may have several papers
[582.14s -> 583.96s]  that basically talk about the same concept,
[583.96s -> 585.82s]  but that define it in a different way
[585.82s -> 588.50s]  that is not necessarily compatible with each other.
[588.50s -> 590.70s]  And so you need to do quite a bit of work
[590.70s -> 594.18s]  to actually kind of try to find the unifying definition
[594.18s -> 596.06s]  that underlies all those ideas.
[596.06s -> 597.94s]  And so that's actually what takes the most time
[597.94s -> 599.30s]  in building math.
[601.62s -> 604.66s]  Maybe you can see in the representation I gave here
[604.66s -> 606.90s]  that it's one monolithic library
[606.90s -> 608.94s]  where everything is connected together.
[608.94s -> 611.48s]  And so this is very important for modern math,
[611.48s -> 613.90s]  because basically modern math is about kind of
[613.90s -> 615.90s]  trying to connect all areas of math.
[615.90s -> 617.70s]  And there's been observations that actually,
[617.70s -> 621.86s]  like ideas from here can help ideas from there.
[621.86s -> 625.14s]  And for instance, maybe Fermat's last theorem's proof
[625.14s -> 626.62s]  is a great example of this
[626.62s -> 628.00s]  connecting two different areas
[628.48s -> 631.20s]  to try to prove one huge theorem.
[631.20s -> 633.72s]  And now there's also something called the Lang Langs program
[633.72s -> 635.60s]  that really explicitly tries to do that
[635.60s -> 636.76s]  and connect all these areas.
[636.76s -> 638.86s]  So it's really important that you have a library
[638.86s -> 642.88s]  that basically can connect all different areas of math.
[642.88s -> 645.84s]  Currently the library covers about 80%
[645.84s -> 647.40s]  of the undergrad curricula.
[648.40s -> 650.08s]  And most of the library, however,
[650.08s -> 651.88s]  is above the undergraduate,
[651.88s -> 655.68s]  but has a lot of irregular coverage.
[655.68s -> 658.48s]  And because I think particular examples
[658.48s -> 662.00s]  are complex analysis or PDE theory.
[663.40s -> 666.72s]  Okay, all great, but why do all of this, right?
[667.72s -> 670.20s]  Is because computer formalization
[670.20s -> 672.62s]  unlocks kind of enormous synergies.
[672.62s -> 674.36s]  And maybe to explain myself a little bit,
[674.36s -> 675.46s]  I have to step back.
[676.52s -> 678.78s]  And for those of you who are coders,
[678.78s -> 681.06s]  maybe just understanding the right code
[681.06s -> 683.08s]  and be able to use all the software stack,
[683.08s -> 686.28s]  that should be already a huge win for mathematics.
[686.28s -> 687.94s]  But basically the other property
[687.94s -> 690.28s]  of when you write mathematics in code
[690.28s -> 692.14s]  with languages such as lean
[692.14s -> 694.04s]  is that you get perfect verification.
[694.04s -> 696.44s]  So when you write a proof
[696.44s -> 697.72s]  and you write the correct proof,
[697.72s -> 699.52s]  lean is gonna tell you, yes, this is correct.
[699.52s -> 700.68s]  And when you've made a mistake,
[700.68s -> 702.68s]  lean is gonna tell you this is your proof
[702.68s -> 705.00s]  is not correct or is still incomplete.
[706.04s -> 710.24s]  So from these two things, you get some instant wins.
[710.24s -> 714.40s]  First, your correctness concerns completely disappear.
[714.40s -> 716.52s]  You can trust giant proofs
[716.52s -> 718.64s]  and you can delegate proof checking
[718.64s -> 719.92s]  entirely to the computer.
[721.56s -> 723.40s]  And so I think it's important to note
[723.40s -> 725.08s]  and it's my understanding that
[725.08s -> 727.68s]  it's not like all areas of mathematics
[727.68s -> 731.14s]  are suffering from concerns about correctness.
[731.14s -> 734.64s]  I think in reality, most maybe areas
[734.64s -> 737.00s]  where the mathematicians feel pretty comfortable
[737.00s -> 742.00s]  about their ability to discern correctness from mistakes.
[743.16s -> 746.28s]  But I've been hearing that in maybe some of the areas
[746.28s -> 748.08s]  that are more abstract areas,
[748.08s -> 751.42s]  actually they start to be real concerns for correctness.
[751.42s -> 755.04s]  So that's not everywhere, but that starts to be important.
[755.04s -> 756.64s]  So these are the instant wins.
[757.70s -> 761.72s]  But those perfect verification and software stack
[761.72s -> 764.00s]  has really kind of a knock-on effect
[764.00s -> 766.08s]  that could lead to game changers.
[767.60s -> 770.80s]  So first, I think for all of you who are coders
[770.80s -> 773.80s]  to bring all the tools that we have developed for coding
[773.80s -> 776.72s]  should already be a big, big win.
[776.72s -> 781.04s]  Next, I have transformed mathematics into a video game.
[781.04s -> 783.08s]  So what does this video game look like?
[783.08s -> 784.64s]  Well, you have, what are the levels?
[784.64s -> 787.32s]  The levels are the different theorems.
[787.32s -> 791.04s]  And then you can interact in those levels
[791.04s -> 792.74s]  and basically kind of lean will tell you,
[792.74s -> 794.72s]  yes, you've completed the level or not
[794.72s -> 798.00s]  with this perfect verification feedback.
[798.00s -> 800.04s]  You always have harder level
[800.04s -> 803.28s]  and maybe contrary to other games where they,
[803.28s -> 805.44s]  I don't know, you have to shoot other people.
[805.44s -> 809.36s]  This is a super meaningful, useful, and profound game.
[809.36s -> 811.64s]  You're basically adding new truths for it.
[812.80s -> 816.88s]  The lean people describe this as,
[816.88s -> 819.28s]  they could do this 14 hours a day
[819.28s -> 822.08s]  and they're constantly getting positive reinforcements.
[822.80s -> 826.72s]  And it also means that it's great for education.
[826.72s -> 830.00s]  First, a lot younger people now are really used
[830.00s -> 831.96s]  to using computers and softwares.
[831.96s -> 834.64s]  And it's great because it's interactive, right?
[834.64s -> 837.02s]  It's when it's fun, it's easy to learn.
[837.02s -> 840.36s]  And you can also create kind of software
[840.36s -> 844.48s]  such that the detail of the level of detail
[844.48s -> 846.84s]  is adapted to the person who is reading
[846.84s -> 851.84s]  rather than the level that the author
[852.52s -> 853.44s]  thought was interesting.
[853.44s -> 855.52s]  I don't know if you read a lot of mass papers
[855.52s -> 858.74s]  or you look at solutions of some problems
[858.74s -> 859.76s]  you are trying to solve.
[859.76s -> 863.96s]  Sometimes people say this is quite obvious,
[863.96s -> 865.20s]  but maybe it is not for you
[865.20s -> 868.48s]  and you would love to see more detail.
[868.48s -> 872.32s]  I have also an example from actually from my dad
[872.32s -> 874.84s]  who recently tried to learn kind of Galois theory
[874.84s -> 877.48s]  in a different online class.
[877.48s -> 879.88s]  And so he went through week one and week two
[879.88s -> 881.68s]  and week three are all good,
[882.16s -> 883.28s]  but then when he was going through week four
[883.28s -> 884.36s]  and trying to do the homework,
[884.36s -> 885.68s]  he realized that there was something
[885.68s -> 888.08s]  he didn't understand.
[888.08s -> 891.58s]  And he basically needed someone to explain to him
[891.58s -> 893.84s]  and he messaged the professor,
[893.84s -> 896.16s]  but unfortunately the professor didn't reply.
[896.16s -> 898.60s]  And so he was basically completely stuck.
[898.60s -> 901.64s]  But imagine that instead, he was doing this in Lean,
[901.64s -> 904.02s]  then Lean would have said exactly what is right,
[904.02s -> 905.56s]  what is wrong, what is missing, et cetera.
[905.56s -> 907.98s]  And he would be able to have like constant feedback
[907.98s -> 910.74s]  without having to ask his teacher.
[912.68s -> 916.88s]  And now I want to go to the last point.
[916.88s -> 920.02s]  It's actually a point that has been made by Terry Tao,
[920.02s -> 925.02s]  I think about a year and a half ago at least.
[925.82s -> 928.44s]  And he describes that basically using
[928.44s -> 932.12s]  computer formalization will unlock massive collaboration
[932.12s -> 933.66s]  between mathematicians.
[933.66s -> 934.68s]  And so why does he say that?
[934.68s -> 937.40s]  Well, apparently the current state of mathematics
[937.40s -> 941.48s]  kind of collaboration is that you can do
[942.32s -> 944.40s]  most of the papers are either a single author
[944.40s -> 945.76s]  or two author paper,
[945.76s -> 949.00s]  and kind of the max is really five author papers.
[949.00s -> 952.64s]  And the reason why is because every author
[952.64s -> 955.52s]  needs to check everyone else's work.
[955.52s -> 958.60s]  And so basically kind of having more and more
[958.60s -> 960.80s]  collaborators doesn't really scale,
[960.80s -> 963.44s]  but we still need to check everyone else's work.
[963.44s -> 965.56s]  And so that's where like computer formalization
[965.56s -> 967.44s]  and pathway verification comes in,
[967.44s -> 970.20s]  is that if you could trust the computer
[970.20s -> 971.46s]  to check the proofs,
[971.46s -> 973.32s]  then suddenly you can,
[973.32s -> 976.86s]  it opens up kind of working on mathematical projects
[976.86s -> 978.24s]  to, I don't know, thousands of people,
[978.24s -> 980.70s]  because you could have someone you've never met
[980.70s -> 982.22s]  who lived in the middle of nowhere,
[982.22s -> 984.26s]  who contributes a little bit to your proof,
[984.26s -> 985.22s]  a lemma there,
[985.22s -> 987.12s]  and then lean would say, yes, this is correct.
[987.12s -> 988.90s]  And then you can just move on.
[988.90s -> 992.10s]  And so there's been kind of maybe,
[992.10s -> 993.78s]  there's been a few projects like this.
[993.78s -> 996.74s]  I think mass maybe is maybe one of the coolest
[996.74s -> 998.90s]  demonstration where you have hundreds of mathematicians
[998.90s -> 1002.22s]  working together to build this library of the future.
[1002.22s -> 1003.94s]  But I think Tere-Tao is also arguing
[1003.94s -> 1006.50s]  that you could use that to do new mathematics
[1006.50s -> 1009.88s]  and has actually launched a project in the past
[1009.88s -> 1013.86s]  called universal algebra, where he was exploring that.
[1013.86s -> 1016.80s]  But basically, I think in ML at the moment,
[1016.80s -> 1018.26s]  we are all about scaling.
[1018.26s -> 1020.76s]  And here basically you could scale humans
[1020.76s -> 1023.44s]  to do mathematics and potentially maybe
[1023.44s -> 1025.24s]  tackle the harder problems.
[1026.70s -> 1028.02s]  All right.
[1028.02s -> 1030.18s]  So, you know, should everyone go to, you know,
[1030.18s -> 1032.38s]  computer formalization, it's awesome.
[1032.38s -> 1034.28s]  The reality is that there are still challenges
[1034.28s -> 1036.08s]  for computer formulation.
[1036.08s -> 1040.06s]  In my estimates, about only 0.1% to 1% of mathematicians
[1040.06s -> 1041.22s]  have adopted lean.
[1041.22s -> 1045.46s]  It's a small community of mathematicians, a vibrant one.
[1045.46s -> 1046.54s]  But why is that?
[1046.54s -> 1049.58s]  It's because it's actually not yet a great tool
[1049.58s -> 1051.36s]  for mainstream research.
[1051.36s -> 1055.46s]  Like a lot of, you know, programming languages,
[1055.46s -> 1057.58s]  it has a steep learning curve.
[1058.10s -> 1060.66s]  It also requires a significant time investment
[1060.66s -> 1063.72s]  because, you know, to get perfect verification,
[1063.72s -> 1067.04s]  you need to be able to write every single detail.
[1068.82s -> 1070.46s]  And so, you know, that takes a lot more time.
[1070.46s -> 1073.08s]  Maybe that's not the place where you want to focus.
[1073.08s -> 1075.34s]  You want to focus on the things you don't even know how
[1075.34s -> 1078.06s]  to solve, not on the things that are more obvious
[1078.06s -> 1078.90s]  to you.
[1079.80s -> 1082.50s]  And so that will be improved, you know,
[1082.50s -> 1085.18s]  the tooling and the library matchers.
[1086.06s -> 1089.22s]  But at the moment, there's still some things missing.
[1089.22s -> 1092.10s]  And obviously, you know, there is also a passive lack
[1092.10s -> 1094.26s]  of necessity for research.
[1094.26s -> 1095.98s]  But I'm hoping that, you know, the arguments
[1095.98s -> 1098.30s]  I've outlined in the slide before
[1098.30s -> 1102.42s]  are going to change a little bit at that point.
[1102.42s -> 1104.38s]  So now I just want to show you a little bit
[1104.38s -> 1106.36s]  what it looks like.
[1106.36s -> 1111.08s]  So, you know, this is a proof that you may have,
[1111.08s -> 1112.16s]  you may know about.
[1113.12s -> 1115.68s]  It's called, it's about how,
[1115.68s -> 1118.04s]  it's about proving that there is an infinite number
[1118.04s -> 1118.88s]  of primes.
[1120.36s -> 1123.16s]  And, okay, so this is what it looks like in me.
[1123.16s -> 1125.42s]  I hope you can see that it's big enough.
[1126.44s -> 1127.28s]  And so,
[1130.64s -> 1132.00s]  okay, here it is.
[1132.00s -> 1133.16s]  This is the theorem statement.
[1133.16s -> 1137.32s]  And I think what is kind of remarkable is that
[1137.32s -> 1139.36s]  because you can use Unicode,
[1139.36s -> 1141.84s]  it looks pretty much what you would write yourself
[1142.36s -> 1143.52s]  on a piece of paper.
[1143.52s -> 1145.70s]  There's that for all N natural numbers,
[1145.70s -> 1147.08s]  there is exist a P,
[1147.08s -> 1149.72s]  which that P is bigger than N and P is prime.
[1149.72s -> 1151.68s]  So that's how one way to say
[1151.68s -> 1153.88s]  that there is an infinite number of primes.
[1155.78s -> 1157.20s]  This is what the proof look like.
[1157.20s -> 1159.40s]  So fairly compact in this case.
[1160.44s -> 1162.66s]  And the fact that you can understand all of this
[1162.66s -> 1164.92s]  is because basically lean is a language based
[1164.92s -> 1168.78s]  high level syntax and mirroring normal mathematics.
[1169.78s -> 1174.38s]  So let me go a little bit on what it looks like
[1174.38s -> 1176.06s]  to interact with this.
[1176.06s -> 1178.06s]  So here is the first line of the proof.
[1178.06s -> 1181.38s]  And this is actually the main insight that Euclid had
[1181.38s -> 1184.24s]  is to consider first N factorial plus one
[1184.24s -> 1185.50s]  and the mean fact of it.
[1185.50s -> 1186.70s]  So what is the mean fact?
[1186.70s -> 1190.18s]  Is the mean factor of N factorial plus one.
[1190.18s -> 1193.06s]  And so I want to draw your attention on the box
[1193.06s -> 1195.78s]  on the right there for the tactic state.
[1195.78s -> 1197.94s]  And so basically that's what lean returns to you.
[1198.10s -> 1200.16s]  It says, oh, here are the things we know
[1200.16s -> 1201.90s]  and here are the things we assume you to prove.
[1201.90s -> 1204.36s]  So we know that N is a natural number.
[1204.36s -> 1208.82s]  We know that P is this mean factor of N factorial plus one
[1208.82s -> 1210.50s]  and you still need to show that there exists a P
[1210.50s -> 1212.86s]  such that P is bigger than N and P is prime.
[1214.74s -> 1216.36s]  So let's go a second line.
[1216.36s -> 1218.86s]  Second line says, oh, let's prove
[1218.86s -> 1221.38s]  that N factorial plus one is not one.
[1221.38s -> 1223.48s]  And you have actually the proof in line
[1223.48s -> 1225.26s]  with maybe a few more characters
[1225.30s -> 1228.98s]  and you really want to prove something this easy.
[1228.98s -> 1232.34s]  But on the right, you see that you have a new fact
[1232.34s -> 1237.34s]  in your arsenal is that N factorial plus one is not one.
[1239.98s -> 1241.70s]  And then we're going to say,
[1241.70s -> 1245.50s]  now let's prove that P is prime and the proof is say,
[1245.50s -> 1246.86s]  well, it's because it's basically
[1246.86s -> 1248.94s]  we took the minimum factor, right?
[1248.94s -> 1253.06s]  The minimum factor is kind of obvious that it's a prime
[1253.06s -> 1256.18s]  unless the thing you've taken off is one.
[1256.18s -> 1258.50s]  And so that's why you have this thing
[1258.50s -> 1260.02s]  you needed to prove before.
[1260.02s -> 1262.46s]  And then kind of the proof continues.
[1262.46s -> 1264.54s]  And at the end, you should see
[1264.54s -> 1266.42s]  in your tactic state, no goals.
[1267.52s -> 1270.46s]  And it used to be, I think, in a previous version of Lean
[1270.46s -> 1273.24s]  that you'd also received kind of this tada emoticon.
[1274.54s -> 1278.10s]  And I think, unfortunately, it's been removed
[1278.10s -> 1280.18s]  from the current version of Lean,
[1281.18s -> 1284.10s]  but basically, it's your little reward
[1284.10s -> 1285.86s]  for completing this level.
[1287.42s -> 1290.42s]  So just to recap, right, computer formalization.
[1290.42s -> 1294.06s]  And there is a really vibrant community
[1294.06s -> 1296.96s]  that has a huge enthusiasm for this.
[1296.96s -> 1299.18s]  They are building the library of the future
[1299.18s -> 1300.90s]  in their own time.
[1300.90s -> 1304.10s]  It has many, many ways in which
[1304.10s -> 1306.90s]  it can unlock enormous synergies,
[1306.90s -> 1309.22s]  but it still has some way to go.
[1309.64s -> 1312.22s]  And this community and myself as well,
[1314.02s -> 1315.98s]  we have the belief that this will inevitably
[1315.98s -> 1319.22s]  play an integral role in the future of mathematics.
[1319.22s -> 1322.44s]  Just this work kind of pushed the computer formalization.
[1323.68s -> 1326.38s]  All right, so now I want to talk
[1326.38s -> 1328.78s]  about some concurrent development in AI
[1328.78s -> 1331.38s]  and focus on something that was extremely popular
[1331.38s -> 1332.58s]  a few years ago,
[1332.58s -> 1334.58s]  got forgotten a bit in the last couple of years
[1334.58s -> 1338.42s]  and nowadays making a comeback big time.
[1338.42s -> 1341.66s]  So hopefully, you've picked up on my hints
[1341.66s -> 1344.82s]  with this little reward, this environment,
[1344.82s -> 1348.06s]  this interactiveness, this video game.
[1348.06s -> 1350.46s]  I want to talk about reinforcement learning.
[1352.42s -> 1357.42s]  So what's reinforcement learning, also known as RL?
[1358.18s -> 1360.74s]  Basically, it's just trial and error learning.
[1360.74s -> 1363.00s]  It's a very, very general framework
[1363.00s -> 1365.88s]  of an agent trying to achieve a goal.
[1365.88s -> 1367.46s]  So really, this agent learns
[1367.46s -> 1371.30s]  by interacting with an environment to maximize a reward.
[1371.30s -> 1374.46s]  And I think there is sometimes misconception
[1374.46s -> 1375.74s]  about this reward.
