# Detected language: en (p=1.00)

[0.00s -> 4.20s]  Try sharing your slides.
[793.44s -> 798.44s]  Let us start with the problem of mathematical discovery.
[798.44s -> 801.44s]  This is, of course, one of the grandest challenges
[801.44s -> 803.44s]  known to humanity.
[804.44s -> 810.44s]  Now, how does the process of mathematical discovery look like?
[810.44s -> 814.44s]  There is the process of modeling
[814.44s -> 817.44s]  where you are getting inspired
[817.44s -> 819.44s]  by some sort of a real-world phenomenon
[819.44s -> 821.44s]  and then modeling it
[821.44s -> 827.44s]  in terms of a variety of definitions and concepts.
[827.44s -> 830.44s]  Now, once you have a set of definitions,
[830.44s -> 835.44s]  at that point, you may want to conjecture
[835.44s -> 837.44s]  various properties of these definitions.
[837.44s -> 843.44s]  And then these are potentially candidate theorems and lemmas,
[843.44s -> 847.44s]  and then there is this process of rigorous reasoning
[847.44s -> 851.44s]  where you are actually proving these statements.
[851.44s -> 856.44s]  And this process is for human mathematicians intrinsically social.
[856.44s -> 861.44s]  You are convincing each other about the rigor of your reasoning
[861.44s -> 863.44s]  and the value of your conjectures, right?
[863.44s -> 865.44s]  But this process just continues
[865.44s -> 868.44s]  in this sort of an iterative loop,
[868.44s -> 871.44s]  so you may see proofs and counterexamples,
[871.44s -> 873.44s]  and these may influence your models
[873.44s -> 875.44s]  as well as your conjectures,
[875.44s -> 877.44s]  and this process just goes on, right?
[877.44s -> 882.44s]  That's the history of mathematics.
[883.44s -> 886.44s]  Now, the dream of the field of AI for math
[886.44s -> 890.44s]  is that you want to automate substantial pieces
[890.44s -> 893.44s]  of this process, and as a result,
[893.44s -> 895.44s]  you want to accelerate this process even more.
[895.44s -> 898.44s]  You want to be able to discover new kinds of math,
[898.44s -> 905.44s]  and this includes settling known conjectures
[905.44s -> 910.44s]  but also potentially coming up with new conjectures.
[910.44s -> 914.44s]  And then there is the setting of natural sciences
[914.44s -> 917.44s]  that is also going to be something I'll cover
[917.44s -> 919.44s]  in this lecture.
[919.44s -> 922.44s]  And here, unlike in math,
[922.44s -> 925.44s]  you are engaging with the real world.
[925.44s -> 927.44s]  There is this process of theory building
[927.44s -> 932.44s]  where you're coming up with hypotheses about the universe,
[932.44s -> 937.44s]  and then you are using these hypotheses
[937.44s -> 939.44s]  to design experiments,
[939.44s -> 942.44s]  and then you are experimentally validating them, right?
[942.44s -> 944.44s]  And this experimental validation process
[944.44s -> 947.44s]  creates new data,
[947.44s -> 951.44s]  and then this data leads to new kinds of theories,
[951.44s -> 955.44s]  for example, by refinement of the existing hypotheses,
[955.44s -> 957.44s]  or in some cases, you may want to just come up
[957.44s -> 962.44s]  with entirely new concepts and new predictions.
[962.44s -> 967.44s]  So the ambition of the area of AI for science
[967.44s -> 973.44s]  is to automate hypothesis generation and experiment design.
[973.44s -> 979.44s]  Now, the key ideas in the areas of AI for math
[979.44s -> 981.44s]  and AI for science at this point
[981.44s -> 986.44s]  are that, number one, search is a really powerful concept,
[986.44s -> 991.44s]  and so we want to imagine these spaces of hypotheses,
[991.44s -> 996.44s]  conjectures, and proofs, and systematically search them.
[996.44s -> 999.44s]  Now, this is, of course, a very massive space.
[999.44s -> 1004.44s]  There are all these, you know, potential statements
[1004.44s -> 1006.44s]  about various mathematical objects,
[1006.44s -> 1008.44s]  and there are all these hypotheses
[1008.44s -> 1010.44s]  that are possible in the universe,
[1010.44s -> 1013.44s]  and this space is, you know, clearly infinite.
[1013.44s -> 1018.44s]  Now, how do you explore this space in a tractable way?
[1018.44s -> 1020.44s]  Well, you use prior knowledge
[1020.44s -> 1022.44s]  to prioritize directions of search,
[1022.44s -> 1025.44s]  and that's also how humans proceed.
[1025.44s -> 1028.44s]  We don't just do discovery in a vacuum.
[1028.44s -> 1031.44s]  We read existing papers,
[1031.44s -> 1034.44s]  and sometimes we incrementally advance on them,
[1034.44s -> 1036.44s]  and sometimes we make a big leap,
[1036.44s -> 1041.44s]  but that prior knowledge is always of value.
[1041.44s -> 1044.44s]  But then also we learn from experience
[1044.44s -> 1048.44s]  how and how not to do this sort of exploration.
[1048.44s -> 1052.44s]  You know, you find out that you made certain choices
[1052.44s -> 1054.44s]  while building your theory,
[1054.44s -> 1056.44s]  and then you find that this just didn't work, right,
[1056.44s -> 1058.44s]  and that's experience for you,
[1058.44s -> 1060.44s]  and then you use this experience
[1060.44s -> 1066.44s]  to potentially take completely new directions.
[1066.44s -> 1069.44s]  And then another piece that is very important,
[1069.44s -> 1072.44s]  has been very important to the history of math and science,
[1072.44s -> 1077.44s]  has been to discover abstract concepts and tools.
[1077.44s -> 1081.44s]  So, for example, you know, the idea of calculus
[1081.44s -> 1084.44s]  that really sped up the progress of science
[1084.44s -> 1086.44s]  after it was invented.
[1086.44s -> 1088.44s]  Similarly with algebra,
[1088.44s -> 1092.44s]  and really all major branches of mathematics
[1092.44s -> 1096.44s]  came from the need to abstract
[1096.44s -> 1099.44s]  some sort of real-world process.
[1099.44s -> 1101.44s]  And then the value of these abstractions
[1101.44s -> 1105.44s]  is that they speed up both this process of exploration
[1105.44s -> 1109.44s]  and also this learning process that I previously mentioned.
[1109.44s -> 1115.44s]  Now, if you think of it, LLMs bring something to the table
[1115.44s -> 1118.44s]  regarding each of these criteria.
[1118.44s -> 1122.44s]  So, for example, you know, if you are doing a search
[1122.44s -> 1128.44s]  in a very large space of potential scientific hypotheses,
[1128.44s -> 1132.44s]  an LLM has inside it a lot of knowledge
[1132.44s -> 1135.44s]  about what sort of hypotheses
[1135.44s -> 1139.44s]  have historically tended to work in science,
[1139.44s -> 1145.44s]  and so this knowledge can potentially help you
[1145.44s -> 1148.44s]  direct the search process.
[1148.44s -> 1153.44s]  And then also, you know, in this course,
[1153.44s -> 1156.44s]  you have seen examples of LLM agents,
[1156.44s -> 1159.44s]  and in this class, you're going to see more of this.
[1159.44s -> 1162.44s]  So these are systems that contain inside them
[1162.44s -> 1164.44s]  LLMs as modules,
[1164.44s -> 1166.44s]  but they're also interacting with the world,
[1166.44s -> 1168.44s]  and they're learning from experience,
[1168.44s -> 1172.44s]  and this experience is gathered as data
[1172.44s -> 1175.44s]  and then often stuck into the prompt,
[1175.44s -> 1178.44s]  but sometimes you can even do reinforcement learning
[1178.44s -> 1182.44s]  or other kinds of, you know, modification of the LLM's weights.
[1182.44s -> 1185.44s]  But the point is that there are all these established methods
[1185.44s -> 1189.44s]  for doing learning combined with the use of language models,
[1189.44s -> 1192.44s]  and that is something that we can exploit here as well.
[1194.44s -> 1197.44s]  Now, the use of LLM's for abstraction,
[1197.44s -> 1201.44s]  this is something that's not well explored yet.
[1201.44s -> 1204.44s]  This is a really new idea,
[1204.44s -> 1207.44s]  but I'm going to give you some evidence
[1207.44s -> 1212.44s]  as to why there might be a lot of things going on here,
[1212.44s -> 1216.44s]  and there is certainly a lot more to be done
[1216.44s -> 1220.44s]  about the use of LLM's in constructing new concepts
[1220.44s -> 1222.44s]  and new tools.
[1222.44s -> 1229.44s]  So I think that LLM agents have tremendous promise
[1229.44s -> 1232.44s]  in mathematical and scientific discovery,
[1232.44s -> 1240.44s]  and the reason is that so far as all of these ideas go,
[1240.44s -> 1247.44s]  LLM's have a potential to contribute with regards to each.
[1248.44s -> 1251.44s]  So this may all seem somewhat abstract,
[1251.44s -> 1255.44s]  so I'm going to now jump into some concrete results,
[1255.44s -> 1258.44s]  and this lecture is divided into two pieces.
[1258.44s -> 1261.44s]  In the first part, we are going to talk about
[1261.44s -> 1263.44s]  AI for mathematical discovery,
[1263.44s -> 1265.44s]  and then in the second part,
[1265.44s -> 1268.44s]  we are going to talk about AI for scientific discovery,
[1268.44s -> 1270.44s]  and in each of these cases,
[1270.44s -> 1277.44s]  I'm going to show you some LLM agents
[1277.44s -> 1280.44s]  built using quite different algorithms,
[1280.44s -> 1286.44s]  but we'll see that these agents realize
[1286.44s -> 1288.44s]  many of these ideas that we talked about
[1288.44s -> 1291.44s]  in the previous slide.
[1291.44s -> 1295.44s]  Okay, so let's talk about AI for math.
[1295.44s -> 1297.44s]  Over the last few years,
[1297.44s -> 1300.44s]  there's been tremendous interest in this field.
[1300.44s -> 1303.44s]  Here's Terry Tao from 2023
[1303.44s -> 1307.44s]  talking about how AI from that year
[1307.44s -> 1310.44s]  can already generate suggestive hints
[1310.44s -> 1313.44s]  and help with the mathematical process,
[1313.44s -> 1316.44s]  and he predicted that by 2026,
[1316.44s -> 1319.44s]  AI can become a trustworthy co-author
[1319.44s -> 1324.44s]  in math research papers and in other fields as well.
[1324.44s -> 1327.44s]  Now, 2026 is not yet here,
[1327.44s -> 1331.44s]  but I would say that this prediction
[1331.44s -> 1335.44s]  seems very plausible as of now.
[1335.44s -> 1339.44s]  Now, in terms of concrete systems,
[1339.44s -> 1342.44s]  O1, when it was introduced,
[1342.44s -> 1347.44s]  one of the highlights was that it did really well
[1347.44s -> 1350.44s]  in various competition mathematics problems,
[1350.44s -> 1353.44s]  so here is a plot.
[1353.44s -> 1357.44s]  It shows how O1 does compared to GPD4O,
[1357.44s -> 1360.44s]  and as you see, accuracy in this particular competition,
[1360.44s -> 1366.44s]  AI-ME 2024, has gone up very substantially.
[1366.44s -> 1368.44s]  And then, of course, last year,
[1368.44s -> 1371.44s]  my colleagues at Google DeepMind,
[1371.44s -> 1374.44s]  they built a system that achieved
[1374.44s -> 1377.44s]  silver medal-level performance at the IMO,
[1377.44s -> 1380.44s]  and you've already heard her talk about that
[1380.44s -> 1381.44s]  in this course,
[1381.44s -> 1384.44s]  so I'm not going to go into further detail
[1384.44s -> 1387.44s]  or too much more detail about that in this talk,
[1387.44s -> 1391.44s]  but you know that it's impressive,
[1391.44s -> 1394.44s]  and it uses a lot of very impressive machinery.
[1397.44s -> 1403.44s]  Now, one question that I think is important to ask
[1403.44s -> 1408.44s]  is that is it all going to be done just with LLMs?
[1408.44s -> 1415.44s]  In other words, do you need any sort of additional machinery
[1415.44s -> 1420.44s]  that combines LLMs with, for example, actions?
[1420.44s -> 1422.44s]  This is really the characteristic
[1422.44s -> 1428.44s]  that distinguishes LLM agents from just basic LLMs,
[1428.44s -> 1435.44s]  and so I would say that there are certainly still believers
[1436.44s -> 1442.44s]  in the potential of just LLMs alone to do everything
[1442.44s -> 1444.44s]  after being trained on language,
[1444.44s -> 1448.44s]  but I am personally a little bit skeptical
[1448.44s -> 1450.44s]  about that possibility.
[1450.44s -> 1453.44s]  Now, that said, you know, one must admit
[1453.44s -> 1455.44s]  that over the last couple of years,
[1455.44s -> 1458.44s]  just LLMs have come a long way,
[1458.44s -> 1462.44s]  so here is the picture of how you train an LLM
[1463.44s -> 1466.44s]  for these sorts of mathematical settings,
[1466.44s -> 1469.44s]  so you're going to start with a pre-trained LLM,
[1469.44s -> 1471.44s]  then you're going to train it on, you know,
[1471.44s -> 1473.44s]  math-related web docs
[1473.44s -> 1476.44s]  and then, you know, problems with step-by-step solutions,
[1476.44s -> 1478.44s]  problems with tool-integrated solutions,
[1478.44s -> 1480.44s]  and so on and so forth,
[1480.44s -> 1483.44s]  and then ultimately you have this LLM that can use,
[1483.44s -> 1485.44s]  for example, Python APIs,
[1485.44s -> 1488.44s]  and that can solve math problems,
[1489.44s -> 1494.44s]  and this has, again, as I said, come a long way,
[1494.44s -> 1497.44s]  so, for example, here is a problem
[1497.44s -> 1500.44s]  from the Patna math competition from last year,
[1500.44s -> 1503.44s]  and Owen's response on this problem
[1503.44s -> 1506.44s]  is actually very reasonable,
[1506.44s -> 1511.44s]  and as these systems are getting better and better,
[1511.44s -> 1515.44s]  it seems like they're solving more and more problems
[1515.44s -> 1520.44s]  that are of this nature that are similarly hard or harder.
[1520.44s -> 1525.44s]  But that said, there are some fundamental weaknesses
[1525.44s -> 1528.44s]  of this neural-only approach
[1528.44s -> 1531.44s]  that you'd get with just a basic LLM,
[1531.44s -> 1536.44s]  and the reason is that, or one fundamental reason
[1536.44s -> 1540.44s]  is that there is this issue of data scarcity.
[1540.44s -> 1544.44s]  In order to do rigorous mathematical reasoning,
[1544.44s -> 1549.44s]  not just computing answers to well-posed questions,
[1549.44s -> 1554.44s]  you need to have a lot of high-quality traces
[1554.44s -> 1556.44s]  of mathematical reasoning,
[1556.44s -> 1560.44s]  or alternatively you would need high-quality reward functions,
[1560.44s -> 1564.44s]  and this is difficult to get just with human-produced data
[1564.44s -> 1568.44s]  beyond high school or competition settings.
[1568.44s -> 1570.44s]  And then a second reason fundamentally
[1570.44s -> 1574.44s]  is that natural language reasoning is hard to verify,
[1574.44s -> 1580.44s]  and this is something that is a fundamental weakness
[1580.44s -> 1583.44s]  of this language-only models,
[1583.44s -> 1585.44s]  and there are even settings
[1585.44s -> 1588.44s]  where you can apply this sort of mathematical reasoning
[1588.44s -> 1590.44s]  where, for example, when you are doing mathematical reasoning
[1590.44s -> 1594.44s]  about, you know, real-world systems
[1594.44s -> 1599.44s]  and the behaviors of these systems
[1599.44s -> 1601.44s]  have real consequences,
[1601.44s -> 1603.44s]  so edge cases are really critical,
[1603.44s -> 1605.44s]  so in these cases you want your mathematical reasoning
[1605.44s -> 1608.44s]  to be really robust and rigorous.
[1608.44s -> 1613.44s]  And unfortunately, language-based,
[1613.44s -> 1615.44s]  purely neural mathematical reasoning
[1615.44s -> 1620.44s]  tends to not be this way.
[1620.44s -> 1622.44s]  And so it is entirely possible
[1622.44s -> 1626.44s]  that scaling is going to solve all of these problems,
[1626.44s -> 1630.44s]  but as I said, I'm a little bit skeptical about this.
[1630.44s -> 1634.44s]  So in this talk, I'm going to demonstrate
[1634.44s -> 1638.44s]  an alternative strategy, which is similar in many ways
[1638.44s -> 1642.44s]  to alpha proof, which you saw previously,
[1642.44s -> 1646.44s]  but which is more of an LLM agent approach
[1646.44s -> 1652.44s]  that is an alternative to this sort of purely neural,
[1652.44s -> 1658.44s]  purely language-driven kind of model.
[1658.44s -> 1662.44s]  So this alternative involves formal representations,
[1662.44s -> 1665.44s]  just like in alpha proof.
[1665.44s -> 1670.44s]  So there's an entire literature that is building up
[1670.44s -> 1672.44s]  that follows this kind of strategy,
[1672.44s -> 1677.44s]  and so here what you do is that rather than just operating
[1677.44s -> 1679.44s]  in this space of informal problem statements
[1679.44s -> 1681.44s]  and informal solutions,
[1681.44s -> 1687.44s]  you'd be first doing what is called auto-formalization.
[1687.44s -> 1689.44s]  So you're going to go from the informal statement
[1689.44s -> 1692.44s]  to a formal statement in a language
[1692.44s -> 1695.44s]  like Lean or Coq or Isabel,
[1695.44s -> 1699.44s]  and Lean in particular is what is used for alpha proof,
[1699.44s -> 1702.44s]  but there are other frameworks like this as well
[1702.44s -> 1708.44s]  that have a very long history.
[1708.44s -> 1712.44s]  Now, the appeal of these sorts of formal frameworks
[1712.44s -> 1716.44s]  is that a proof can be written in a step-by-step way,
[1716.44s -> 1718.44s]  just like code,
[1718.44s -> 1721.44s]  and not only that, a proof can be checked.
[1721.44s -> 1725.44s]  You can check if a proof that you have written
[1725.44s -> 1731.44s]  in this formal language actually implies a certain property
[1731.44s -> 1733.44s]  that you started out with,
[1733.44s -> 1736.44s]  so this theorem that you started out with,
[1736.44s -> 1738.44s]  and so the idea is that you would then,
[1738.44s -> 1742.44s]  in the second phase, take this formal problem statement,
[1742.44s -> 1744.44s]  and then you would be feeding it to a neural prover,
[1744.44s -> 1747.44s]  which is going to come up with this sequence of steps,
[1747.44s -> 1752.44s]  which are also called tactics, these rules that you apply.
[1752.44s -> 1756.44s]  So these are tactics, and you apply them one by one,
[1756.44s -> 1762.44s]  and then at the end, you get to this QED stage
[1762.44s -> 1767.44s]  where you have nothing left to prove,
[1767.44s -> 1770.44s]  and so that's how this process would work,
[1770.44s -> 1773.44s]  and the advantage here is that if you think
[1773.44s -> 1777.44s]  of the verification challenge that I mentioned earlier
[1777.44s -> 1781.44s]  where you want to check whether a claimed proof
[1781.44s -> 1783.44s]  is actually a proof, this is something
[1783.44s -> 1786.44s]  that you can establish relatively easily
[1786.44s -> 1790.44s]  using a proof assistant, right?
[1790.44s -> 1793.44s]  And in terms of the data issues,
[1793.44s -> 1796.44s]  so the appeal of this kind of verifiability
[1796.44s -> 1798.44s]  is that during training time,
[1798.44s -> 1801.44s]  you can synthetically generate a very,
[1801.44s -> 1805.44s]  very large number of candidate proofs,
[1805.44s -> 1807.44s]  and then you can immediately get feedback
[1807.44s -> 1811.44s]  on whether or not these proofs are correct.
