# Detected language: en (p=1.00)

[0.00s -> 6.34s]  So, we'll get started.
[699.70s -> 702.00s]  a culmination of all this line of work.
[702.02s -> 703.96s]  But if you hadn't been following MOEs
[704.00s -> 705.66s]  and you were excited about kind of this branch
[705.70s -> 708.60s]  of neural networks and language modeling,
[708.62s -> 710.50s]  you would have actually known about DeepSeek
[710.54s -> 713.10s]  long before v3 got popular.
[713.14s -> 715.34s]  And we'll see at the very end of this lecture,
[715.36s -> 718.00s]  actually DeepSeek v3 is not very different
[718.04s -> 720.34s]  from the very earliest DeepSeek MOEs.
[720.38s -> 723.04s]  Architecturally, they had kind of nailed it
[723.08s -> 724.82s]  way back when they were training
[724.84s -> 727.58s]  these sort of much smaller two billion parameter models,
[727.62s -> 730.06s]  they really just kind of got the engineering right
[730.08s -> 731.38s]  to get something that is actually
[731.42s -> 734.52s]  really quite remarkably good, which is their v3 model.
[736.96s -> 737.80s]  Okay.
[738.92s -> 741.90s]  So now I think, I've spent quite a few minutes
[741.92s -> 744.10s]  trying to really hype you up on MOEs.
[744.14s -> 745.96s]  And they really are, I think, worth hyping up,
[746.00s -> 747.76s]  they're very good.
[747.80s -> 749.74s]  But I think there's a question of why haven't they
[749.76s -> 751.38s]  been more popular, right?
[751.40s -> 754.18s]  Why isn't it the standard thing we teach in NLP
[754.20s -> 756.04s]  and language modeling classes?
[757.18s -> 758.78s]  It's just that they're very complex
[758.82s -> 760.58s]  and they're very messy, and I'm hoping
[760.62s -> 762.78s]  that they'll get simplified over the next few years,
[762.82s -> 766.28s]  but they still remain pretty nasty.
[766.30s -> 769.90s]  So one of the things is, the infrastructure is very complex
[769.94s -> 772.98s]  and the biggest advantages of MOEs really happen
[773.00s -> 774.38s]  when you're doing multi-node training,
[774.40s -> 777.02s]  like when you have to split up your models anyway,
[777.04s -> 779.24s]  then it starts to make sense to shard experts
[779.28s -> 781.88s]  across different models, that's a very natural thing to do.
[781.92s -> 783.48s]  But until you get to that point,
[783.52s -> 786.16s]  maybe MOEs are not quite as good, right?
[786.18s -> 788.42s]  So some of the earlier Google papers
[788.46s -> 790.52s]  really talk about this trade-off where they say,
[790.56s -> 792.26s]  actually when you get these really big models
[792.30s -> 793.46s]  that you have to split up,
[793.50s -> 795.80s]  then experts become uniquely good.
[796.70s -> 799.90s]  There's also other things that are really tricky.
[799.94s -> 801.44s]  If you think about it carefully, right,
[801.48s -> 804.64s]  this decision of which expert you route tokens to
[804.68s -> 806.34s]  is a very difficult thing to learn, right?
[806.38s -> 808.54s]  In deep learning, we really like differentiable objectives,
[808.58s -> 810.94s]  right, very smooth things that we can take gradients of.
[810.98s -> 812.82s]  Routing decisions are not differentiable,
[812.84s -> 815.88s]  because we have to pick and commit to a particular expert.
[815.92s -> 817.42s]  So if we're doing that, you know,
[817.46s -> 819.42s]  we're gonna have a very tricky optimization problem,
[819.46s -> 822.40s]  and the training objectives to make that work
[822.42s -> 825.86s]  is either heuristic and or unstable, right?
[825.88s -> 827.68s]  And so we're gonna have to really carefully
[827.72s -> 830.12s]  engineer those guys to get them to work, right?
[830.16s -> 833.52s]  So those are two reasons why you don't really
[833.56s -> 835.76s]  want to maybe do this normally.
[837.66s -> 839.00s]  So what do MOEs look like?
[839.02s -> 841.32s]  As I started this lecture with, you know,
[841.36s -> 844.00s]  the classic MOEs that you should think of
[844.04s -> 846.56s]  is you take, you know, the densely connected layers,
[846.60s -> 848.60s]  the FFNs, and you split them up,
[848.64s -> 850.80s]  or you, you know, copy them,
[850.84s -> 853.20s]  and you have sparse routing decisions among them.
[853.24s -> 855.30s]  Of course, you could do the same kind of idea.
[855.32s -> 857.88s]  You could have a sparsely routed attention layer,
[857.92s -> 859.28s]  and some people have done this.
[859.32s -> 861.72s]  There's been a couple papers and a couple releases
[861.76s -> 863.96s]  that have taken this approach.
[864.00s -> 866.90s]  But it is actually quite rare to see this
[866.92s -> 868.86s]  in the major model releases.
[868.90s -> 871.54s]  I think I've seen people talking on the internet
[871.56s -> 873.60s]  saying, like, this approach is actually really much,
[873.64s -> 875.70s]  even more unstable, and very difficult
[875.74s -> 878.00s]  to really train consistently.
[878.04s -> 880.48s]  It's sort of, I haven't really seen the oblations
[880.50s -> 883.04s]  to back that out, but certainly there haven't really
[883.08s -> 885.46s]  been many people training those kinds of models
[885.48s -> 887.32s]  with MOE attentions.
[888.72s -> 890.36s]  So now, you know, I've told you
[890.38s -> 892.36s]  about the basic architecture, right?
[892.40s -> 893.60s]  It's really simple.
[893.62s -> 895.00s]  It's just you have a router of some kind,
[895.02s -> 898.14s]  and you route, and then you have different MLPs.
[898.16s -> 900.44s]  So what are the things that might vary
[900.46s -> 903.20s]  across different MOE choices?
[903.24s -> 905.20s]  You might ask, how do we route, right?
[905.24s -> 908.20s]  The routing function is an obviously important choice.
[908.24s -> 910.88s]  How many experts and how big should the experts be?
[910.92s -> 912.22s]  That's another choice.
[912.26s -> 914.90s]  And then the final one is, how would we train this router?
[914.92s -> 916.50s]  This non-differentiable objective
[916.54s -> 918.24s]  that seems very difficult to train.
[918.26s -> 920.36s]  So those are very important design questions,
[920.40s -> 922.14s]  and we're gonna go through each one,
[922.16s -> 924.20s]  hopefully covering the design space
[924.24s -> 926.74s]  of all these MOE things.
[926.78s -> 928.54s]  Yeah, any questions before I get into each one
[928.58s -> 930.48s]  of these different subcomponents here?
[932.62s -> 933.44s]  Good, okay.
[937.12s -> 939.62s]  So if you're interested in just kind of understanding
[939.66s -> 943.80s]  a broad overview of MOEs, at least circa 2022,
[943.82s -> 946.86s]  there's a really nice sort of survey or a review paper
[946.90s -> 950.06s]  by Thetis et al. in 2022 that covers a lot of these,
[950.10s -> 953.34s]  and many of my figures are credited to that paper.
[954.50s -> 955.98s]  If we're thinking about how we're gonna route
[956.00s -> 959.84s]  or essentially match tokens to experts, right?
[959.88s -> 962.28s]  This is the core component of a MOE,
[962.32s -> 964.48s]  because what a MOE does is, you know,
[964.52s -> 965.88s]  tokens are gonna be coming in, right?
[965.92s -> 967.96s]  You have your sequence that you're processing,
[967.96s -> 970.42s]  and those sequences are going to be assigned to experts,
[970.46s -> 972.46s]  right, not all experts will process every token.
[972.50s -> 975.54s]  That's the whole point of a sparsely routed MOE.
[975.56s -> 979.04s]  And so you can ask, how are these routing decisions made?
[979.08s -> 982.50s]  So you can sort of have three different kinds of choices.
[982.54s -> 985.24s]  You can have token choice, where each token
[985.28s -> 987.62s]  is going to have a sort of routing sort of preference
[987.64s -> 990.62s]  for different experts, and I will choose the top K,
[990.64s -> 994.86s]  experts for each token, or I can have expert choice
[994.88s -> 996.58s]  where each expert is gonna sort of have
[996.58s -> 998.72s]  a rank preference over tokens,
[998.74s -> 1001.02s]  and then I'm gonna choose the top K tokens for each expert.
[1001.04s -> 1002.32s]  This has a really nice benefit
[1002.34s -> 1005.08s]  of being balanced over experts.
[1005.12s -> 1006.66s]  And then the last one is sort of,
[1006.68s -> 1008.22s]  you could solve some sort of complicated
[1008.26s -> 1011.22s]  optimization problem to make sure that the mapping
[1011.26s -> 1013.92s]  between experts and tokens is somehow balanced, right?
[1013.96s -> 1015.26s]  This is global assignment.
[1018.00s -> 1021.94s]  And just to, you know, give you a bit of a teaser here,
[1021.96s -> 1026.54s]  almost all the MOEs do token choice top K.
[1026.58s -> 1029.44s]  In the early days of MOEs, people tried many,
[1029.48s -> 1032.64s]  many different things, sort of spanning this whole spectrum
[1032.68s -> 1035.42s]  of design space of token routers.
[1035.44s -> 1037.14s]  If you look at the big releases,
[1037.18s -> 1040.22s]  they have all converged to basically one class
[1040.26s -> 1042.68s]  of routing mechanisms, which is token choice top K.
[1042.72s -> 1046.82s]  So each token is gonna rank order experts by affinity,
[1046.86s -> 1048.72s]  and then there's gonna be kind of a top K choice
[1048.76s -> 1050.32s]  for each one of this.
[1050.36s -> 1052.66s]  And OMO, which I'll keep referring to
[1052.70s -> 1053.86s]  throughout this lecture, because they have
[1053.90s -> 1055.60s]  a really nice series of ablations,
[1055.66s -> 1057.56s]  so it's really nice to teach off of,
[1057.60s -> 1059.10s]  have exactly this ablation.
[1059.12s -> 1060.92s]  They compare a token choice routing
[1060.96s -> 1062.52s]  versus an expert choice routing,
[1062.56s -> 1064.40s]  and they show if you look at validation loss,
[1064.42s -> 1066.96s]  token choice is much, much nicer behaved,
[1067.00s -> 1069.24s]  much faster in loss to K.
[1069.26s -> 1070.44s]  Yes?
[1070.46s -> 1072.94s]  Is this function a function of the token itself,
[1072.98s -> 1074.40s]  or is it a function?
[1074.44s -> 1077.94s]  It's a function of the sort of the hidden state, right?
[1077.98s -> 1079.44s]  So the token is gonna get processed
[1079.48s -> 1081.62s]  with all the position embeddings and so on,
[1081.64s -> 1083.02s]  and then the hidden state will come in,
[1083.04s -> 1085.18s]  and then it will be processed by the MLP.
[1085.20s -> 1089.64s]  So for the other two experts choosing the token
[1089.68s -> 1091.20s]  and also the next one,
[1091.24s -> 1092.90s]  when you say that it's more balanced
[1092.94s -> 1095.88s]  across the experts, are they,
[1097.28s -> 1100.12s]  like it's still for the current token sequence,
[1100.14s -> 1103.58s]  but it's forcing them to be more distributed?
[1103.62s -> 1104.62s]  I guess like,
[1104.66s -> 1106.96s]  Yeah, it's still gonna be the same set of tokens,
[1106.98s -> 1107.96s]  but really it's about kind of
[1107.98s -> 1109.72s]  the ranking selector function, right?
[1109.76s -> 1112.02s]  In token choice, I'm just gonna take
[1112.06s -> 1113.90s]  the top K amongst the column.
[1113.92s -> 1115.76s]  Like maybe the scores are even identical, right?
[1115.78s -> 1118.16s]  I'm just gonna take the top K amongst the columns.
[1118.20s -> 1121.12s]  In expert choice, I'm gonna take top K amongst the rows.
[1121.16s -> 1122.52s]  Right?
[1122.56s -> 1125.30s]  And top K amongst the columns is kind of nice
[1125.32s -> 1126.40s]  because you might be able to say,
[1126.42s -> 1128.60s]  oh, I can define a scoring function
[1128.64s -> 1130.06s]  such that the score is how well
[1130.10s -> 1131.94s]  each token gets processed by each expert.
[1131.96s -> 1133.34s]  And token choice will route me
[1133.36s -> 1135.20s]  to the best expert, right, for that token.
[1135.24s -> 1136.90s]  So that makes sense from processing.
[1136.94s -> 1138.28s]  But expert choice has the benefit
[1138.30s -> 1141.28s]  that each expert gets exactly the same number of tokens.
[1141.30s -> 1142.12s]  And so now you might,
[1142.14s -> 1143.68s]  like if you're putting different experts
[1143.70s -> 1146.24s]  on different devices, you've got balanced utilization.
[1146.26s -> 1148.10s]  So there's different trade-offs at play
[1148.14s -> 1149.34s]  as you think about routing.
[1149.38s -> 1150.20s]  Yes.
[1151.20s -> 1154.44s]  How does a token know which expert is the best expert?
[1154.48s -> 1155.94s]  Good, yes, so the question was
[1155.98s -> 1158.32s]  how does each token know which expert is good?
[1158.34s -> 1160.42s]  That is exactly the role of the router.
[1160.44s -> 1162.28s]  And I'll give you the router equation.
[1162.32s -> 1163.76s]  But to give you a bit of a,
[1163.78s -> 1165.52s]  not really a spoiler, but you know,
[1165.56s -> 1167.80s]  the routers are much more lightweight than you think.
[1167.82s -> 1170.72s]  So your token, let's say, is represented by vector X.
[1170.74s -> 1173.70s]  That's your hidden residual stream coming in.
[1173.74s -> 1177.14s]  So now X is gonna get multiplied by W, a matrix,
[1177.18s -> 1179.64s]  and then you'll just take a sigmoid or something.
[1179.68s -> 1180.82s]  And that's the score.
[1180.84s -> 1183.82s]  So it's really just a vector-vector inner product,
[1183.84s -> 1186.18s]  almost like an attention operation, in a way.
[1187.08s -> 1187.92s]  Yes.
[1187.96s -> 1192.02s]  Is top here like top one, or is H-turn going to drive?
[1192.06s -> 1193.22s]  Right, so the choice of,
[1193.26s -> 1195.76s]  so the question was is K one here?
[1195.80s -> 1197.66s]  So K is actually a hyperparameter,
[1197.70s -> 1200.64s]  and different MOEs will choose different things.
[1201.62s -> 1202.62s]  I will talk about this again,
[1202.66s -> 1203.62s]  but to give you the high-level intuition,
[1203.66s -> 1207.02s]  the initial argument that the earliest MOE papers made
[1207.06s -> 1209.50s]  was that K should be greater than two,
[1209.52s -> 1211.66s]  because that way you get some exploration.
[1211.70s -> 1212.70s]  If you're doing K equals one,
[1212.74s -> 1215.34s]  maybe you're just always exploiting the best arm,
[1215.36s -> 1216.86s]  and you'll never know about the potential
[1216.90s -> 1217.70s]  other things you could do.
[1217.74s -> 1220.20s]  But if K is two, then maybe that second arm
[1220.24s -> 1222.24s]  can tell you a little bit of exploration information.
[1222.28s -> 1226.18s]  So, you know, K equals two was the canonical choice,
[1226.22s -> 1229.18s]  and K equals two actually continues to be very popular.
[1229.22s -> 1231.72s]  So that would be like double the flops, like, right?
[1231.76s -> 1233.80s]  That's right, that's right, so that would double the flops.
[1233.82s -> 1235.92s]  And so when people talk about MOEs,
[1235.96s -> 1237.00s]  they usually say things like
[1237.02s -> 1238.84s]  X number of activated parameters,
[1238.86s -> 1239.86s]  and that would account for the fact
