# Detected language: en (p=1.00)

[0.00s -> 6.00s]  Welcome! Let's have a look at some different example applications for multiple object tracking.
[274.00s -> 285.00s]  In general, crowd surveillance is useful, for example, for analysis and understanding of crowd behavior, planning of emergency procedures, and for providing security.
[285.00s -> 290.00s]  Multiple object tracking is also applicable for different biological inquiries.
[290.00s -> 298.00s]  In this slide, we see a short segment of microscopic video that is shown by overlapping multiple frames.
[298.00s -> 308.00s]  The strings of round objects that can be seen are cells that have moved, and the colored lines represent the trajectories of the tracked cells.
[308.00s -> 317.00s]  This particular image is from research in microfluidics, which is a promising technology for biological inquiries at the single-cell level.
[317.00s -> 328.00s]  Here, one interesting application is the study of single-cell biomechanical characteristics, such as elasticity, viscosity, stiffness, and adhesion.
[328.00s -> 339.00s]  And to achieve this goal, an algorithm for accurately tracking cell trajectories is important for modeling the flow, the forces, and the dynamics of cell properties.
[339.00s -> 344.00s]  A fifth example application is pedestrian tracking using LIDAR.
[345.00s -> 350.00s]  Here, we can see some data that was acquired in an urban location.
[350.00s -> 356.00s]  Video data of the scene is shown on the top, and we can see some pedestrians walking around.
[356.00s -> 368.00s]  To the left, the 2D LIDAR data is shown, and the object tracks that result from processing this LIDAR data using a multiple object tracking algorithm are shown on the right.
[369.00s -> 376.00s]  Tracking pedestrians in urban scenarios like this is very important, for example, for autonomous vehicles.
[376.00s -> 390.00s]  If an autonomous or driverless vehicle is to be able to drive safely in an urban environment, it is important that it can track pedestrians and then use this information to plan its driving such that collisions are avoided.
[390.00s -> 398.00s]  When an autonomous vehicle is used in urban environments, it is also necessary for it to be able to track bicyclists.
[398.00s -> 407.00s]  In this example, 2D LIDAR data is again used, just like in the previous example where 2D LIDAR was used to track pedestrians.
[407.00s -> 415.00s]  On the top left, we see the field of view of the sensor, which is a semicircle with a sensor located in the origin.
[415.00s -> 422.00s]  The bicycle is tracked from the time it enters the field of view, and the zoomed image is shown on the right.
[422.00s -> 429.00s]  The object track is shown along with the 2D LIDAR measurements, which are visualized as dots.
[429.00s -> 433.00s]  On the bottom left, the sequence of object estimates is shown.
[433.00s -> 444.00s]  Again, if we consider an autonomous vehicle, it's very important for it to be able to track all bicycles in its vicinity so that accidents can be avoided.
[445.00s -> 452.00s]  Tracking cars and other vehicles is also a common application for multiple object tracking.
[452.00s -> 458.00s]  Here we see a car and three detections from an automotive radar, visualized as rectangles.
[458.00s -> 466.00s]  The radar detections are used to track the vehicle to figure out its position as well as its heading and its speed.
[466.00s -> 473.00s]  Vehicle tracking using automotive radar is used for adaptive cruise control in many modern cars.
[473.00s -> 478.00s]  The tracking system is used to figure out if there is a vehicle in front of the own car.
[478.00s -> 488.00s]  If that's the case, the estimated position is used to autonomously adapt the speed of the own car so that a minimum safety distance is kept.
[488.00s -> 495.00s]  For adaptive cruise control, it could be sufficient to track only the vehicle that is right in front.
[495.00s -> 500.00s]  However, for an autonomous vehicle, we have to track all vehicles.
[500.00s -> 507.00s]  In this example, we can see video data from two different sequences that were recorded in urban environments.
[507.00s -> 512.00s]  Vehicles have been detected and are shown as colored rectangles.
[512.00s -> 521.00s]  This information is then fed into a multiple object tracking system that outputs estimates of the vehicle's positions and velocities.
[521.00s -> 529.00s]  From a top-down perspective, or bird's eye view, we can see the field of view of the camera marked by the dashed lines.
[529.00s -> 537.00s]  The tracked objects' positions are visualized by the colored plus signs, and the ellipses show covariance matrices.
[537.00s -> 540.00s]  Here's one more example.
[540.00s -> 551.00s]  Let's consider the simultaneous tracking of individual pedestrians, groups of pedestrians, bicyclists, and cars using data from a 3D LiDAR sensor.
[551.00s -> 557.00s]  Here you can see the 3D LiDAR data as well as different types of objects.
[557.00s -> 566.00s]  Colored in green, we have cars, orange is cyclists, light blue is pedestrians, and dark blue is pedestrian groups.
[566.00s -> 574.00s]  Again, if we consider an autonomous car, we understand that we need to track all kinds of objects in order to avoid accidents.
[574.00s -> 580.00s]  It is not uncommon that multiple object tracking is applied to track a specific type of object.
[580.00s -> 591.00s]  However, there are many applications, such as this one, in which we have to track different types of objects and also figure out what type each object is.
[591.00s -> 605.00s]  So, tracking systems are a key technology for many technical applications in areas such as robotics, surveillance, autonomous driving, automation, medicine, and sensor networks.
[605.00s -> 609.00s]  This course focuses on automotive applications.
[609.00s -> 615.00s]  Therefore, we will illustrate the concepts taught in the course using examples from autonomous driving.
[615.00s -> 620.00s]  Typically, in such a scenario, we have a driverless car.
[620.00s -> 628.00s]  In order for it to function in an urban environment, it has to keep track of all the moving objects, such as cars, bicyclists, and pedestrians.
[628.00s -> 641.00s]  Okay, great. Although we're going to focus on automotive applications in this course, I would like to point out that the theory, the concepts, and the methods that we discuss in this course apply generally.
[641.00s -> 647.00s]  So, in other words, what you learn from this course can be applied to many different tracking applications.
[647.00s -> 649.00s]  Thank you for watching.
