# Detected language: en (p=1.00)

[0.00s -> 1.74s]  Stanford University.
[117.14s -> 120.18s]  that we've talked about, which basically quantifies
[120.18s -> 121.78s]  how happy or unhappy we are
[121.78s -> 123.98s]  with the scores that we've produced.
[123.98s -> 127.50s]  And then we can use that to define a total loss term,
[127.50s -> 130.70s]  so L here, which is a combination of this data term
[130.70s -> 132.34s]  combined with a regularization term
[132.34s -> 135.74s]  that expresses how simple our model is,
[135.74s -> 138.10s]  and we have a preference for simpler models
[138.10s -> 139.98s]  for better generalization.
[140.00s -> 143.08s]  And so now we want to find the parameters w
[143.08s -> 145.00s]  that correspond to our lowest loss, right,
[145.00s -> 146.92s]  we want to minimize the loss function.
[146.92s -> 149.04s]  And so to do that, we want to find the gradient
[149.04s -> 150.92s]  of L with respect to w.
[153.04s -> 155.64s]  So last lecture we talked about how we can do this
[155.64s -> 158.28s]  using optimization, where we want to iteratively
[158.28s -> 160.96s]  take steps in the direction of steepest descent,
[160.96s -> 162.60s]  which is the negative of the gradient,
[162.60s -> 164.60s]  in order to walk down this loss landscape
[164.60s -> 166.84s]  and get to the point of lowest loss.
[167.02s -> 170.54s]  And we saw how this gradient descent
[170.54s -> 172.46s]  can basically take this trajectory
[172.46s -> 174.54s]  looking like this image on the right,
[174.54s -> 177.02s]  getting to the bottom of your loss landscape.
[182.06s -> 184.26s]  Okay, and so we also talked about different ways
[184.26s -> 185.94s]  for computing the gradient.
[185.94s -> 188.34s]  We can compute this numerically
[188.34s -> 190.50s]  using finite difference approximation,
[190.50s -> 192.46s]  which is slow and approximate,
[192.46s -> 194.50s]  but at the same time it's really easy to write out,
[194.52s -> 197.36s]  we know you can always get the gradient this way.
[197.36s -> 200.72s]  We also talked about how to use the analytic gradient,
[200.72s -> 203.52s]  right, and computing this is, it's fast and exact
[203.52s -> 204.96s]  once you've gotten the expression
[204.96s -> 207.12s]  for the analytic gradient, but at the same time
[207.12s -> 208.68s]  you have to do all the math and the calculus
[208.68s -> 212.32s]  to derive this, so it's also easy to make mistakes.
[212.32s -> 213.88s]  Right, so in practice what we want to do
[213.88s -> 217.36s]  is we want to derive the analytic gradient and use this,
[217.36s -> 219.52s]  but at the same time check our implementation
[219.52s -> 221.16s]  using the numerical gradient to make sure
[221.16s -> 223.16s]  that we've gotten all of our math right.
[225.48s -> 228.32s]  So today we're going to talk about how to compute
[228.32s -> 232.04s]  the analytic gradient for arbitrarily complex functions
[232.04s -> 233.88s]  using a framework that I'm going to call
[233.88s -> 236.92s]  computational graphs, and so basically
[236.92s -> 239.04s]  what a computational graph is is that we can use
[239.04s -> 242.28s]  this kind of graph in order to represent any function
[242.28s -> 245.08s]  where the nodes of the graph are steps of computation
[245.08s -> 246.36s]  that we go through.
[246.36s -> 248.84s]  So for example, in this example of a linear classifier
[248.84s -> 253.84s]  that we've talked about, the inputs here are X and W,
[254.26s -> 256.90s]  right, and then this multiplication node
[256.90s -> 259.38s]  represents the matrix multiplier,
[259.38s -> 262.70s]  the multiplication of the parameters W
[262.70s -> 264.78s]  with our data X that we have,
[264.78s -> 267.26s]  outputting our vector of scores,
[267.26s -> 269.22s]  and then we have another computational node
[269.22s -> 271.70s]  which represents our hinge loss, right,
[271.70s -> 274.70s]  computing our data loss term, LI,
[274.70s -> 278.38s]  and we also have this regularization term at the bottom,
[278.38s -> 282.74s]  right, so this node which computes our regularization term
[282.74s -> 284.72s]  and then our total loss here at the end, L,
[284.72s -> 288.88s]  is the sum of the regularization term and the data term.
[290.24s -> 292.68s]  And the advantage is that once we can express a function
[292.68s -> 295.44s]  using a computational graph, then we can use a technique
[295.44s -> 297.92s]  that we call backpropagation,
[297.92s -> 300.04s]  which is going to recursively use the chain rule
[300.04s -> 302.68s]  in order to compute the gradient with respect
[302.68s -> 305.36s]  to every variable in the computational graph,
[305.36s -> 309.60s]  and so we're going to see how this is done.
[309.60s -> 311.56s]  And this becomes very useful when we start working
[311.58s -> 313.14s]  with really complex functions,
[313.14s -> 315.22s]  so for example, convolutional neural networks
[315.22s -> 317.54s]  that we're going to talk about later in this class,
[317.54s -> 320.62s]  we have here the input, right, image at the top,
[320.62s -> 322.10s]  we have our loss at the bottom,
[322.10s -> 323.82s]  and the input has to go through many layers
[323.82s -> 326.48s]  of transformations in order to get all the way down
[326.48s -> 327.48s]  to the loss function.
[330.66s -> 333.46s]  And this can get even crazier with things like the,
[333.46s -> 335.18s]  you know, like a neural Turing machine,
[335.18s -> 337.62s]  which is another kind of deep learning model,
[337.62s -> 339.70s]  and in this case, you can see that the computational graph
[339.70s -> 343.16s]  for this is really insane, and especially,
[343.16s -> 345.64s]  we end up, you know, unrolling this over time.
[345.64s -> 347.28s]  It's basically completely impractical
[347.28s -> 349.72s]  if you want to compute the gradients
[349.72s -> 351.76s]  for any of these intermediate variables.
[355.32s -> 357.44s]  Okay, so how does backpropagation work?
[358.84s -> 361.56s]  So we're going to start off with a simple example,
[361.56s -> 363.36s]  where again, our goal is that we have a function,
[363.36s -> 366.04s]  so in this case, f of x, y, z
[366.04s -> 368.40s]  equals x plus y times z,
[368.40s -> 370.42s]  and we want to find the gradients of the output
[370.42s -> 373.30s]  of the function with respect to any of the variables.
[373.30s -> 376.02s]  So the first step always is we want to take our function,
[376.02s -> 377.78s]  f, and we want to represent it
[377.78s -> 380.50s]  using a computational graph, right?
[380.50s -> 383.22s]  So here, our computational graph is on the right,
[383.22s -> 385.70s]  and you can see that we have our,
[385.70s -> 387.58s]  first we have the plus node, so x plus y,
[387.58s -> 389.90s]  and then we have this multiplication node, right,
[389.90s -> 392.10s]  for the second computation that we're doing.
[393.82s -> 396.02s]  And then, now we're going to do a forward pass
[396.02s -> 397.06s]  through this network.
[397.06s -> 399.64s]  So given the values of the variables that we have,
[399.64s -> 402.76s]  so here, x equals negative two, y equals five,
[402.76s -> 404.88s]  and z equals negative four,
[404.88s -> 406.00s]  I'm going to fill these all in
[406.00s -> 408.00s]  in our computational graph,
[408.00s -> 410.28s]  and then here we can compute an intermediate value,
[410.28s -> 412.76s]  so x plus y gives three,
[412.76s -> 414.80s]  and then finally, we pass it through again
[414.80s -> 415.92s]  through the last node,
[415.92s -> 418.40s]  the multiplication to get our final node
[418.40s -> 419.80s]  of f equals negative 12.
[419.86s -> 424.86s]  So here, we want to give every intermediate variable a name.
[424.86s -> 426.86s]  Right, so here I've called this intermediate variable
[426.86s -> 428.86s]  after the plus node q,
[428.86s -> 430.86s]  and we have q equals x plus y,
[430.86s -> 434.86s]  and then f equals q times z using this intermediate node.
[434.86s -> 436.86s]  And I've also written out here
[436.86s -> 439.86s]  the gradients of q with respect to x and y,
[439.86s -> 442.86s]  which are just one because of the addition,
[442.86s -> 445.86s]  and then the gradients of f with respect to q and z,
[445.86s -> 448.86s]  which are just one because of the addition,
[448.92s -> 451.92s]  and then the z, which is z and q respectively,
[451.92s -> 453.92s]  because of the multiplication rule.
[453.92s -> 455.92s]  And so what we want to find
[455.92s -> 457.92s]  is we want to find the gradients of f
[457.92s -> 459.92s]  with respect to x, y, and z.
[463.92s -> 465.92s]  So what backprop is,
[465.92s -> 467.92s]  it's a recursive application of the chain rule,
[467.92s -> 469.92s]  so we're going to start at the back,
[469.92s -> 471.92s]  the very end of the computational graph,
[471.92s -> 473.92s]  and then we're going to work our way backwards
[473.92s -> 475.92s]  and compute all the gradients along the way.
[475.92s -> 477.92s]  So here, if we start at the very end,
[477.98s -> 479.98s]  we want to compute the gradient of the output
[479.98s -> 481.98s]  with respect to the last variable,
[481.98s -> 483.98s]  which is just f.
[483.98s -> 486.98s]  And so this gradient is just one, it's trivial.
[488.98s -> 490.98s]  So now moving backwards,
[490.98s -> 494.98s]  we want the gradient with respect to z.
[494.98s -> 498.98s]  And we know that df over dz is equal to q.
[498.98s -> 501.98s]  So the value of q is just three,
[501.98s -> 506.98s]  and so we have here df over dz equals three.
[507.98s -> 510.98s]  And so next, if we want to do df over dq,
[510.98s -> 512.98s]  what is the value of that?
[515.98s -> 517.98s]  What is df over dq?
[517.98s -> 521.98s]  So we have here df over dq is equal to z,
[524.98s -> 528.98s]  right, and the value of z is negative four.
[528.98s -> 532.98s]  So here we have df over dq is equal to negative four.
[533.04s -> 535.04s]  Okay.
[537.04s -> 540.04s]  Okay, so now continuing to move backwards through the graph,
[540.04s -> 542.04s]  we want to find df over dy.
[542.04s -> 544.04s]  Right, but here in this case,
[544.04s -> 546.04s]  the gradient with respect to y,
[546.04s -> 548.04s]  y is not connected directly to f.
[548.04s -> 552.04s]  Right, it's connected through an intermediate node of z.
[552.04s -> 554.04s]  And so the way we're going to do this
[554.04s -> 557.04s]  is we can leverage the chain rule,
[557.04s -> 560.04s]  which says that df over dy can be written as
[561.04s -> 563.54s]  df over dq times dq over dy.
[564.54s -> 566.54s]  And so the intuition of this is that
[566.54s -> 570.04s]  in order to find the effect of y on f,
[570.04s -> 572.04s]  this is actually equivalent to
[572.04s -> 575.54s]  if we take the effect of q times q on f,
[575.54s -> 577.04s]  which we already know, right,
[577.04s -> 580.54s]  df over dq is equal to negative four,
[580.54s -> 584.54s]  and we compound it with the effect of y on q,
[584.54s -> 586.04s]  dq over dy.
[586.54s -> 590.04s]  So what's dq over dy equal to in this case?
[591.54s -> 593.04s]  One, right, exactly.
[593.04s -> 595.04s]  So dq over dy is equal to one,
[595.04s -> 598.04s]  which means if we change y by a little bit,
[598.04s -> 600.04s]  q is going to change by approximately the same amount,
[600.04s -> 601.54s]  right, this is the effect.
[601.54s -> 605.54s]  And so what this is doing is this is saying,
[605.54s -> 607.54s]  well, if I change y by a little bit,
[607.54s -> 609.04s]  the effect of dq,
[609.04s -> 613.04s]  the effect of y on q is going to be one,
[613.04s -> 615.04s]  and then the effect of q on f
[615.04s -> 618.04s]  is going to be approximately a factor of negative four,
[618.04s -> 620.04s]  right, so then we multiply these together,
[620.04s -> 623.54s]  and we get that the effect of y on f
[623.54s -> 626.04s]  is going to be negative four.
[630.54s -> 632.54s]  Okay, so now if we want to do the same thing
[632.54s -> 635.04s]  for the gradient with respect to x,
[635.04s -> 637.54s]  right, we can follow the same procedure,
[637.54s -> 640.54s]  and so what is this going to be?
[642.54s -> 644.04s]  I heard the same.
[644.04s -> 646.04s]  Yeah, exactly.
[646.04s -> 650.04s]  So in this case, we want to again apply the chain rule,
[650.04s -> 653.04s]  right, we know the effect of q on f
[653.04s -> 656.04s]  is negative four, and here again,
[656.04s -> 658.54s]  since we have also the same addition node,
[658.54s -> 661.04s]  dq over dx is equal to one,
[661.04s -> 663.54s]  again we have negative four times one, right,
[663.54s -> 665.54s]  and the gradient with respect to x
[665.54s -> 668.04s]  is going to be negative four.
[670.54s -> 672.54s]  Okay, so what we're doing in backprop
[672.54s -> 674.54s]  is we basically have all of these nodes
[674.54s -> 676.54s]  in our computational graph,
[676.54s -> 679.54s]  but each node is only aware of its immediate surroundings,
[679.54s -> 681.54s]  right, so we have at each node,
[681.54s -> 684.54s]  we have the local inputs that are connected to this node,
[684.54s -> 686.54s]  the values that are flowing into the node,
[686.54s -> 688.54s]  and then we also have the output
[688.54s -> 691.54s]  that is directly outputted from this node, right,
[691.54s -> 694.54s]  so here our local inputs are x and y,
[694.54s -> 696.54s]  and the output is z.
[697.54s -> 701.54s]  And at this node, we also know the local gradient, right,
[701.54s -> 704.54s]  we can compute the gradient of z with respect to x
[704.54s -> 706.54s]  and the gradient of z with respect to y,
[706.54s -> 709.54s]  and these are usually really simple operations, right,
[709.54s -> 711.54s]  each node is going to be something like the addition
[711.54s -> 714.54s]  or the multiplication that we had in that earlier example,
[714.54s -> 716.54s]  which is something where we can just write down
[716.54s -> 718.54s]  the gradient, and we don't have to, you know,
[718.54s -> 721.54s]  go through very complex calculus in order to find this.
[726.54s -> 729.54s]  Yeah, so basically if we go back,
[741.54s -> 744.54s]  so if we go back here, we could exactly find
[744.54s -> 746.54s]  all of these using just calculus, so we could say,
[746.54s -> 749.54s]  you know, we want df over dx, right,
[749.54s -> 751.54s]  and we can probably expand out this expression
[751.54s -> 754.54s]  and see that it's just going to be z,
[754.54s -> 757.54s]  but we can do this in this case because it's simple,
[757.54s -> 759.54s]  but we'll see examples later on where once
[759.54s -> 761.54s]  this becomes a really complicated expression,
[761.54s -> 765.54s]  you don't want to have to use calculus to derive, right,
[765.54s -> 766.54s]  the gradient for something,
[766.54s -> 768.54s]  for a super complicated expression,
[768.54s -> 771.54s]  and instead if you use this formalism
[771.54s -> 774.54s]  and you break it down into these computational nodes,
[774.54s -> 777.54s]  then you can only ever work with gradients
[777.54s -> 780.54s]  of very simple computations, right,
[780.54s -> 783.54s]  at the level of, you know, additions, multiplications,
[783.54s -> 785.54s]  exponentials, things as simple as you want them,
[785.54s -> 787.54s]  and then you just use the chain rule
[787.54s -> 789.54s]  to multiply all of these together
[789.54s -> 791.54s]  and get the value of your gradient
[791.54s -> 795.54s]  without having to ever derive the entire expression.
[797.54s -> 799.54s]  Does that make sense?
[800.54s -> 804.54s]  Okay, so we'll see an example of this later.
[807.54s -> 809.54s]  And so was there another question?
[809.54s -> 810.54s]  Yeah.
[811.54s -> 814.54s]  Negative, oh, okay, yeah, so the negative four,
[814.54s -> 816.54s]  these were the green values on top
[816.54s -> 819.54s]  where all the values of the function
[819.54s -> 822.54s]  as we passed it forward through the computational graph,
[822.54s -> 825.54s]  right, so we set up here that x is equal to negative two,
[825.54s -> 828.54s]  y is equal to five, and z equals negative four,
[828.54s -> 830.54s]  so we filled in all of these values,
[830.54s -> 832.54s]  and then we just wanted to compute
[832.54s -> 835.54s]  the value of this function, right,
[836.54s -> 840.54s]  so we said this value of q is going to be x plus y,
[840.54s -> 842.54s]  it's going to be negative two plus five,
[842.54s -> 844.54s]  and it's going to be three,
[844.54s -> 846.54s]  and we have z is equal to negative four,
[846.54s -> 847.54s]  so we fill that in here,
[847.54s -> 850.54s]  and then we multiplied q and z together,
[850.54s -> 851.54s]  negative four times three
[851.54s -> 854.54s]  in order to get the final value of f, right,
[854.54s -> 855.54s]  and then the red values underneath
[855.54s -> 857.54s]  were as we were filling in the gradients
[857.54s -> 860.54s]  as we were working backwards.
[862.54s -> 863.54s]  Okay.
[866.54s -> 870.54s]  Okay, so, right, so we said that, you know,
[870.54s -> 872.54s]  we have these local, these nodes,
[872.54s -> 876.54s]  and each node basically gets its local inputs coming in
[876.54s -> 878.54s]  and the output that it sees directly passing on
[878.54s -> 880.54s]  to the next node,
[880.54s -> 881.54s]  and we also have these local gradients
[881.54s -> 883.54s]  that we computed, right,
[883.54s -> 886.54s]  the gradient of the immediate output of the node
[886.54s -> 888.54s]  with respect to the inputs coming in,
[888.54s -> 892.54s]  and so what happens during backprop is we have these,
[893.54s -> 895.54s]  we start from the back of the graph, right,
[895.54s -> 897.54s]  and then we work our way from the end
[897.54s -> 899.54s]  all the way back to the beginning,
[899.54s -> 901.54s]  and when we reach each node,
[901.54s -> 904.54s]  at each node we have the upstream gradients coming back,
[904.54s -> 907.54s]  right, with respect to the immediate output of the node,
[907.54s -> 910.54s]  so by the time we reach this node in backprop,
[910.54s -> 912.54s]  we've already computed the gradient
[912.54s -> 916.54s]  of our final loss L with respect to z, right,
[916.54s -> 919.54s]  and so now what we want to find next
[919.54s -> 920.54s]  is we want to find the gradients
[920.54s -> 922.54s]  with respect to just before the node,
[922.54s -> 924.54s]  to the values of x and y,
[926.54s -> 927.54s]  and so as we saw earlier,
[927.54s -> 930.54s]  we do this using the chain rule, right,
[930.54s -> 931.54s]  we have from the chain rule
[931.54s -> 933.54s]  that the gradient of this loss function
[933.54s -> 935.54s]  with respect to x is going to be
[935.54s -> 937.54s]  the gradient with respect to z
[937.54s -> 940.54s]  times compounded by this gradient,
[940.54s -> 943.54s]  local gradient of z with respect to x,
[943.54s -> 944.54s]  right, so in the chain rule
[944.54s -> 947.54s]  we always take this upstream gradient coming down
[947.54s -> 949.54s]  and we multiply it by the local gradient
[949.54s -> 954.54s]  in order to get the gradient with respect to the input.
[971.54s -> 974.54s]  So the question is whether this only works
[974.54s -> 978.54s]  because we're working with the current values
[978.54s -> 982.54s]  of the function, and so it works, right,
[982.54s -> 984.54s]  given the current values of the function that we plug in,
[984.54s -> 986.54s]  but we can write an expression for this
[986.54s -> 988.54s]  still in terms of the variables, right,
[988.54s -> 992.54s]  so we'll see that gradient of L with respect to z
[992.54s -> 994.54s]  is going to be some expression,
[994.54s -> 996.54s]  and gradient of z with respect to x
[996.54s -> 998.54s]  is going to be another expression, right,
[998.54s -> 1000.54s]  but we plug in these,
[1000.54s -> 1003.54s]  we plug in the values of these numbers at the time
[1003.54s -> 1006.54s]  in order to get the value of the gradient
[1006.54s -> 1007.54s]  with respect to x.
[1007.54s -> 1009.54s]  So what you could do is you could recursively
[1009.54s -> 1013.54s]  plug in all of these expressions, right,
[1013.54s -> 1016.54s]  gradient with respect, z with respect to x
[1016.54s -> 1020.54s]  is going to be a simple, simple expression, right,
[1020.54s -> 1022.54s]  so in this case if we have a multiplication node,
[1022.54s -> 1024.54s]  gradient of z with respect to x
[1024.54s -> 1027.54s]  is just going to be y, right, we know that,
[1027.54s -> 1029.54s]  but the gradient of L with respect to z,
[1029.54s -> 1033.54s]  this is probably a complex part of the graph in itself,
[1033.54s -> 1036.54s]  right, so here's where we want to just,
[1036.54s -> 1039.54s]  in this case, have this numerical, right,
[1039.54s -> 1042.54s]  so as you said, basically this is going to be
[1042.54s -> 1044.54s]  just a number coming down, right, a value,
[1044.54s -> 1046.54s]  and then we just multiply it with the expression
[1046.54s -> 1049.54s]  that we have for the local gradient.
[1049.54s -> 1051.54s]  And I think this will be more clear
[1051.54s -> 1053.54s]  when we go through a more complicated example
[1053.54s -> 1055.54s]  in a few slides.
[1057.54s -> 1059.54s]  Okay, so now the gradient of L with respect to y,
[1059.54s -> 1062.54s]  we have exactly the same idea,
[1062.54s -> 1064.54s]  where again we use the chain rule,
[1064.54s -> 1066.54s]  we have gradient of L with respect to z
[1066.54s -> 1069.54s]  times the gradient of z with respect to y, right,
[1069.54s -> 1071.54s]  we use the chain rule, multiply these together,
[1071.54s -> 1073.54s]  and get our gradient.
[1075.54s -> 1076.54s]  And then once we have these,
[1076.54s -> 1078.54s]  we'll pass these onto the node directly before
[1078.54s -> 1080.54s]  connected to this node.
[1080.54s -> 1082.54s]  And so the main thing to take away from this
[1082.54s -> 1084.54s]  is that at each node,
[1084.54s -> 1086.54s]  we just want to have our local gradient
[1086.54s -> 1088.54s]  that we compute, just keep track of this,
[1088.54s -> 1091.54s]  and then during backprop as we're receiving,
[1091.54s -> 1094.54s]  you know, numerical values of gradients
[1094.54s -> 1096.54s]  coming from upstream, we just take what that is,
[1096.54s -> 1098.54s]  multiply it by the local gradient,
[1098.54s -> 1100.54s]  and then this is what we then send back
[1100.54s -> 1104.54s]  to the connected nodes, the next nodes going backwards
[1104.54s -> 1107.54s]  without having to care about anything else
[1107.54s -> 1110.54s]  besides these immediate surroundings.
[1110.54s -> 1113.54s]  So now we're going to go through another example,
[1113.54s -> 1114.54s]  this time a little bit more complex,
[1114.54s -> 1118.54s]  so we can see more why backprop is so useful.
[1118.54s -> 1120.54s]  So in this case, our function is
[1120.54s -> 1125.54s]  f of w and x, which is equal to one over one plus e
[1125.54s -> 1128.54s]  to the negative of w zero times x zero
[1128.54s -> 1131.54s]  plus w one x one plus w two.
[1131.54s -> 1133.54s]  Right, so again, the first step always
[1133.54s -> 1136.54s]  is we want to write this out as a computational graph.
[1136.54s -> 1138.54s]  So in this case, we can see that in this graph,
[1138.54s -> 1140.54s]  right, first we multiply together
[1140.54s -> 1142.54s]  the w and x terms that we have,
[1142.54s -> 1145.54s]  w zero with x zero, w one with x one,
[1145.54s -> 1149.54s]  and w two, then we add all of these together,
[1149.54s -> 1153.54s]  right, then we do, scale it by negative one,
[1153.54s -> 1156.54s]  we take the exponential, we add one,
[1156.54s -> 1160.54s]  and then finally we do one over this whole term.
[1161.54s -> 1164.54s]  And then here I've also filled in values of these,
[1164.54s -> 1166.54s]  so let's say given values that we have
[1166.54s -> 1169.54s]  for the ws and xs, right, we can make a forward pass
[1169.54s -> 1171.54s]  and basically compute what the value is
[1171.54s -> 1174.54s]  at every stage of the computation.
[1175.54s -> 1178.54s]  And here, I've also written down here at the bottom
[1178.54s -> 1181.54s]  the values, the expressions for some derivatives
[1181.54s -> 1183.54s]  that are going to be helpful later on,
[1183.54s -> 1187.54s]  so same as we did before with a simple example.
[1187.54s -> 1190.54s]  Okay, so now when we're going to do backprop through here,
[1190.54s -> 1192.54s]  right, so again, we're going to start
[1192.54s -> 1195.54s]  at the very end of the graph, and so here again,
[1195.54s -> 1198.54s]  the gradient of the output with respect
[1198.54s -> 1202.54s]  to the last variable is just one, it's just trivial.
[1203.54s -> 1206.54s]  And so now moving backwards one step, right,
[1206.54s -> 1209.54s]  so what's the gradient with respect
[1209.54s -> 1212.54s]  to the input just before one over x?
[1212.54s -> 1214.54s]  Well, so in this case,
[1215.54s -> 1217.54s]  we know that the upstream gradient
[1217.54s -> 1220.54s]  that we have coming down, right, is this red one, right,
[1220.54s -> 1223.54s]  this is the upstream gradient that we have flowing down.
[1223.54s -> 1226.54s]  And then now we need to find the local gradient, right,
[1226.54s -> 1227.54s]  and the local gradient of this node,
[1227.54s -> 1229.54s]  this node is one over x, right,
[1229.54s -> 1231.54s]  so we have f of x equals one over x here in red,
[1231.54s -> 1234.54s]  and the local gradient of this, d f over d x,
[1234.54s -> 1238.54s]  is equal to negative one over x squared, right.
[1238.54s -> 1242.54s]  So here we're going to take negative one over x squared
[1242.54s -> 1244.54s]  and plug in the value of x that we had
[1244.54s -> 1247.54s]  during this forward pass, 1.37,
[1247.54s -> 1251.54s]  and so our final gradient with respect to this variable
[1251.54s -> 1255.54s]  is going to be negative one over 1.37 squared
[1255.54s -> 1258.54s]  times one equals negative 0.53, right.
[1262.54s -> 1265.54s]  So moving back to the next node,
[1265.54s -> 1267.54s]  we're going to go through the exact same process, right,
[1267.54s -> 1271.54s]  so here the gradient flowing from upstream
[1271.54s -> 1274.54s]  is going to be negative 0.53, right,
[1274.54s -> 1276.54s]  and here the local gradient,
[1276.54s -> 1278.54s]  the local, the node here is a plus one,
[1278.54s -> 1281.54s]  and so now looking at our reference
[1281.54s -> 1284.54s]  of derivatives at the bottom,
[1284.54s -> 1287.54s]  we have that for a constant plus x,
[1287.54s -> 1290.54s]  the local gradient is just one, right,
[1290.54s -> 1293.54s]  so what's the gradient with respect to this variable
[1293.54s -> 1295.54s]  using the chain rule?
[1301.54s -> 1303.54s]  So it's going to be the upstream gradient
[1303.54s -> 1308.54s]  of negative 0.53 times our local gradient of one,
[1308.54s -> 1311.54s]  which is equal to negative 0.53.
[1314.54s -> 1318.54s]  So let's keep moving backwards one more step.
[1318.54s -> 1321.54s]  So here we have the exponential, right,
[1321.54s -> 1325.54s]  so what's the upstream gradient coming down?
[1327.54s -> 1330.54s]  Right, so the upstream gradient is negative 0.53.
[1330.54s -> 1334.54s]  What's the local gradient here?
[1334.54s -> 1337.54s]  It's going to be the local gradient of e to the x, right,
[1337.54s -> 1339.54s]  this is an exponential node,
[1339.54s -> 1343.54s]  and so our chain rule is going to tell us
[1343.54s -> 1346.54s]  that our gradient's going to be negative 0.53
[1346.54s -> 1350.54s]  times e to the power of x,
[1350.54s -> 1353.54s]  which in this case is negative one from our forward pass,
[1353.54s -> 1354.54s]  and this is going to give us
[1354.54s -> 1357.54s]  our final gradient of negative 0.2.
[1359.54s -> 1363.54s]  Okay, so now one more node here,
[1363.54s -> 1365.54s]  the next node that we reach
[1365.54s -> 1368.54s]  is going to be a multiplication with negative one, right,
[1368.54s -> 1372.54s]  so here, what's the upstream gradient coming down?
[1373.54s -> 1374.54s]  Negative 0.2, right,
[1374.54s -> 1377.54s]  and what's going to be the local gradient?
[1377.54s -> 1380.54s]  You can look at the reference sheet.
[1380.54s -> 1382.54s]  It's going to be, what was it?
[1382.54s -> 1384.54s]  I think I heard it.
[1384.54s -> 1388.54s]  It's going to be minus one, exactly, yeah,
[1388.54s -> 1391.54s]  because our local gradient says
[1391.54s -> 1394.54s]  it's going to be df over dx is a, right,
[1394.54s -> 1396.54s]  and the value of a that we scaled x by
[1396.54s -> 1398.54s]  is negative one here,
[1398.54s -> 1401.54s]  so we have here that the gradient is negative one
[1401.54s -> 1405.54s]  times negative 0.2, and so our gradient is 0.2.
[1407.54s -> 1411.54s]  Okay, so now we've reached an addition node,
[1411.54s -> 1413.54s]  and so in this case we have
[1413.54s -> 1415.54s]  these two branches both connected to it, right,
[1415.54s -> 1417.54s]  so what's the upstream gradient here?
[1417.54s -> 1419.54s]  It's going to be 0.2, right,
[1419.54s -> 1421.54s]  just says everything else,
[1421.54s -> 1424.54s]  and here now the gradient with respect
[1424.54s -> 1427.54s]  to each of these branches,
[1427.54s -> 1428.54s]  it's an addition, right,
[1428.54s -> 1430.54s]  and we saw from before in our simple example
[1430.54s -> 1432.54s]  that when we have an addition node,
[1432.54s -> 1434.54s]  the gradient with respect to each of the inputs
[1434.54s -> 1437.54s]  to the addition is just going to be one, right,
[1437.54s -> 1440.54s]  so here our local gradient for our,
[1440.54s -> 1443.54s]  looking at our top stream is going to be one
[1443.54s -> 1446.54s]  times the upstream gradient of 0.2,
[1446.54s -> 1450.54s]  which is going to give a total gradient of 0.2, right,
[1450.54s -> 1452.54s]  and then we, for our bottom branch,
[1452.54s -> 1454.54s]  we do the same thing, right,
[1454.54s -> 1456.54s]  our upstream gradient is 0.2,
[1457.54s -> 1459.54s]  our local gradient is one again,
[1459.54s -> 1462.54s]  and the total gradient is 0.2.
[1462.54s -> 1465.54s]  So is everything clear about this?
[1466.54s -> 1467.54s]  Okay.
[1469.54s -> 1472.54s]  So we have a few more gradients to fill out,
