# Detected language: en (p=1.00)

[0.00s -> 11.84s]  Welcome, everyone, to CS231N.
[284.62s -> 287.86s]  And other folks in our group have worked a little bit on the neuroscience and cognitive
[287.86s -> 292.26s]  science side of things.
[292.26s -> 295.70s]  So as a bit of introduction, you might be curious about how this course relates to
[295.70s -> 297.60s]  other courses at Stanford.
[297.60s -> 302.98s]  So we kind of assume a basic introductory level understanding of computer vision.
[302.98s -> 307.02s]  So if you're kind of an undergrad and you've never seen computer vision before, maybe
[307.02s -> 312.10s]  you should have taken CS 131, which was offered earlier this year by Fei-Fei and Juan
[312.10s -> 314.30s]  Carlos Nieblaes.
[314.30s -> 320.18s]  There was a course taught last quarter by Professor Chris Manning and Richard Soacher
[320.18s -> 325.02s]  about the intersection of deep learning and natural language processing.
[325.02s -> 329.08s]  And I imagine a number of you may have taken that course last quarter.
[329.08s -> 333.60s]  But we will cover some of the overlap between this course and that.
[333.60s -> 337.62s]  But we're really focusing on the computer vision side of things and really focusing
[337.62s -> 341.18s]  all of our motivation in computer vision.
[341.18s -> 347.50s]  Also concurrently taught this quarter is CS 231A taught by Professor Silvio Savarossi.
[347.50s -> 353.66s]  And CS 231A really focuses on, is a more all-encompassing computer vision course.
[353.66s -> 359.96s]  It's focusing on things like 3D reconstruction, on matching and robotic vision, and is a bit
[359.96s -> 363.72s]  more all-encompassing with regards to vision than our course.
[363.72s -> 369.18s]  And this course, CS 231N, really focuses on a particular class of algorithms revolving
[369.18s -> 373.34s]  around neural networks, and especially convolutional neural networks, and their applications
[373.34s -> 376.40s]  to various visual recognition tasks.
[376.40s -> 378.76s]  Of course, there's also a number of seminar courses that are taught.
[378.76s -> 384.06s]  And you'll have to check the syllabus and course schedule for more details on those
[384.06s -> 387.58s]  because they vary a bit each year.
[387.58s -> 391.78s]  So this lecture is normally given by Professor Fei-Fei Li.
[391.78s -> 394.30s]  Unfortunately she wasn't able to be here today.
[394.30s -> 398.34s]  So instead, for the majority of the lecture, we're going to tag team a little bit.
[398.34s -> 403.62s]  So she actually recorded a bit of pre-recorded audio describing to you the history of computer
[403.62s -> 409.38s]  vision because this class is a computer vision course, and it's very critical and important
[409.38s -> 413.72s]  that you understand the history and the context of all the existing work that led
[413.72s -> 417.74s]  us to these developments of convolutional neural networks as we know them today.
[417.74s -> 424.04s]  I'll let virtual Fei-Fei take over and give you a brief introduction to the history
[424.04s -> 426.76s]  of computer vision.
[426.76s -> 432.52s]  OK, let's start with today's agenda.
[432.52s -> 434.80s]  So we have two topics to cover.
[434.80s -> 439.92s]  One is a brief history of computer vision, and the other one is the overview of our
[439.92s -> 443.36s]  course, CS 231N.
[443.36s -> 450.20s]  So we'll start with a very brief history of where vision comes from, when did computer
[450.20s -> 455.72s]  vision start, and where we are today.
[455.72s -> 460.32s]  The history of vision can go back many, many years ago.
[460.32s -> 465.80s]  In fact, about 543 million years ago.
[465.80s -> 468.28s]  What was life like during that time?
[468.28s -> 471.44s]  Well, the earth was mostly water.
[471.44s -> 477.64s]  There were few species of animals floating around in the ocean.
[477.64s -> 479.72s]  And life was very chill.
[479.72s -> 482.32s]  Animals didn't move around much.
[482.32s -> 484.54s]  They don't have eyes or anything.
[484.54s -> 487.24s]  When food swims by, they grab them.
[487.24s -> 491.74s]  If the food didn't swim by, they just float around.
[491.74s -> 499.08s]  But something really remarkable happened around 540 million years ago.
[499.08s -> 507.12s]  From fossil studies, zoologists found out within a very short period of time, 10 million
[507.12s -> 513.12s]  years, the number of animal species just exploded.
[513.12s -> 517.68s]  It went from a few of them to hundreds of thousands.
[517.68s -> 519.84s]  And that was strange.
[519.84s -> 521.68s]  What caused this?
[521.68s -> 527.60s]  There were many theories, but for many years, it was a mystery.
[527.60s -> 531.84s]  Evolutionary biologists call this evolution's big bang.
[531.84s -> 538.34s]  A few years ago, an Australian zoologist called Andrew Parker proposed one of the most
[538.34s -> 540.44s]  convincing theories.
[540.44s -> 549.54s]  From the studies of fossils, he discovered around 540 million years ago, the first animals
[549.54s -> 552.68s]  developed eyes.
[552.68s -> 562.84s]  And the onset of vision started this explosive speciation phase.
[562.84s -> 565.08s]  Animals can suddenly see.
[565.08s -> 569.30s]  Once you can see, life becomes much more proactive.
[569.30s -> 575.40s]  Some predators went after preys, and preys have to escape from predators.
[575.40s -> 583.20s]  So the evolution or onset of vision started an evolutionary arms race, and animals had
[583.20s -> 589.16s]  to evolve quickly in order to survive as a species.
[589.16s -> 593.26s]  So that was the beginning of vision in animals.
[593.26s -> 600.96s]  After 540 million years, vision has developed into the biggest sensory system of almost
[600.96s -> 604.20s]  all animals, especially intelligent animals.
[604.20s -> 613.88s]  In humans, we have almost 50% of the neurons in our cortex involved in visual processing.
[613.88s -> 622.28s]  It is the biggest sensory system that enables us to survive, work, move around, manipulate
[622.28s -> 626.64s]  things, communicate, entertain, and many things.
[627.08s -> 634.32s]  So vision is really important for animals and especially intelligent animals.
[634.32s -> 640.72s]  So that was a quick story of biological vision.
[640.72s -> 650.48s]  What about humans, the history of humans making mechanical vision or cameras?
[650.68s -> 657.96s]  Well, one of the early cameras that we know today is from the 1600s, the Renaissance
[657.96s -> 661.96s]  period of time, camera obscura.
[661.96s -> 667.46s]  And this is a camera based on pinhole camera theories.
[667.46s -> 678.76s]  It's very similar to, it's very similar to the, to the early eyes that animals developed
[678.76s -> 686.60s]  with a hole that collects lights and then a plane in the back of the camera that collects
[686.60s -> 690.12s]  the information and projects the imagery.
[690.12s -> 697.40s]  So as cameras evolved, today we have cameras everywhere.
[697.40s -> 705.40s]  This is one of the most popular sensors people use from smartphones to other sensors.
[705.40s -> 712.00s]  In the meantime, biologists started studying the mechanism of vision.
[712.00s -> 718.48s]  One of the most influential work in both human vision or animal vision, as well as
[718.48s -> 726.68s]  that inspired computer vision is the work done by Hubel and Wiesel in the 50s and
[726.68s -> 730.58s]  60s using electrophysiology.
[730.58s -> 738.54s]  What they were asking the question is, what was the visual processing mechanism like in
[738.54s -> 742.02s]  primates, in mammals?
[742.02s -> 748.42s]  So they chose to study cat brain, which is more or less similar to human brain from
[748.42s -> 751.34s]  a visual processing point of view.
[751.34s -> 757.00s]  What they did is to stick some electrodes in the back of the cat brain, which is where
[757.00s -> 766.56s]  the primary visual cortex area is, and then look at what stimuli makes the neurons in
[766.56s -> 773.68s]  the, in the back, in the primary visual cortex of cat brain respond excitedly.
[773.68s -> 780.38s]  What they learned is that there are many types of cells in the, in the primary visual
[780.38s -> 783.72s]  cortex part of the cat brain.
[783.76s -> 787.00s]  One of the most important cell is the simple cells.
[787.00s -> 793.84s]  They respond to oriented edges when they move in certain directions.
[793.84s -> 798.88s]  Of course, there are also more complex cells, but by and large, what they discovered
[798.88s -> 808.96s]  is visual processing starts with simple structure of the visual world, oriented edges, and
[809.00s -> 816.92s]  As information moves along the visual processing pathway, the brain builds up the complexity
[816.92s -> 824.76s]  of the visual information until it can recognize the complex visual world.
[824.76s -> 831.60s]  So the history of computer vision also starts around early 60s.
[831.60s -> 839.20s]  Block World is a set of work published by Larry Roberts, which is widely known as
[839.20s -> 846.68s]  one of the first, probably the first PhD thesis of computer vision, where the visual
[846.68s -> 851.00s]  world was simplified into simple geometric shapes.
[851.00s -> 858.98s]  And the goal is to be able to recognize and reconstruct what these shapes are.
[858.98s -> 870.42s]  In 1966, there was a now famous MIT summer project called the Summer Vision Project.
[870.42s -> 877.54s]  The goal of the Summer Vision Project, as I read, is an attempt to use our summer
[877.54s -> 883.94s]  workers effectively in the construction of a significant part of a visual system.
[883.94s -> 890.74s]  So the goal is in one summer, we're going to work out the bulk of the visual system.
[890.74s -> 893.22s]  That was an ambitious goal.
[893.22s -> 895.42s]  Fifty years have passed.
[895.42s -> 902.50s]  The field of computer vision has blossomed from one summer project into a field of
[902.50s -> 908.70s]  thousands of researchers worldwide still working on some of the most fundamental problems
[908.70s -> 909.86s]  of vision.
[909.86s -> 917.94s]  We still have not yet solved vision, but it has grown into one of the most important
[917.94s -> 923.98s]  and fastest growing areas of artificial intelligence.
[923.98s -> 929.38s]  Another person that we should pay tribute to is David Marr.
[929.38s -> 935.88s]  David Marr was a MIT vision scientist, and he has written an influential book in the
[935.88s -> 945.68s]  late 70s about what he thinks vision is and how we should go about computer vision and
[945.68s -> 952.32s]  developing algorithms that can enable computers to recognize the visual world.
[952.32s -> 963.52s]  The thought process in David Marr's book is that in order to take an image and arrive
[963.52s -> 971.08s]  at a final, holistic, full 3D representation of the visual world, we have to go through
[971.08s -> 972.96s]  several processes.
[972.96s -> 976.52s]  The first process is what he calls primal sketch.
[976.52s -> 983.56s]  This is where mostly the edges, the bars, the ends, the virtual lines, the curves,
[983.56s -> 986.60s]  the boundaries are represented.
[986.60s -> 990.76s]  And this is very much inspired by what neuroscientists have seen.
[990.76s -> 996.44s]  Hubel and Wiesel told us the early stage of visual processing has a lot to do with
[996.44s -> 1000.40s]  simple structures like edges.
[1000.40s -> 1006.20s]  Then the next step after the edges and the curves is what David Marr calls two and
[1006.20s -> 1008.04s]  a half D sketch.
[1008.04s -> 1014.68s]  This is where we start to piece together the surfaces, the depth information, the layers
[1014.68s -> 1019.12s]  or the discontinuities of the visual scene.
[1019.12s -> 1026.92s]  And then eventually we put everything together and have a 3D model hierarchically organized
[1026.92s -> 1031.42s]  in terms of surface, volumetric primitives and so on.
[1031.42s -> 1039.92s]  So that was a very idealized thought process of what vision is.
[1039.92s -> 1047.20s]  And this way of thinking actually has dominated computer vision for several decades and is
[1047.20s -> 1052.84s]  also a very intuitive way for students to enter the field of vision and think about
[1052.84s -> 1060.04s]  how we can deconstruct the visual information.
[1060.04s -> 1069.24s]  Another very important seminal group of work happened in the 70s where people began to
[1069.24s -> 1076.68s]  ask the question, how can we move beyond the simple block world and start recognizing
[1076.68s -> 1080.80s]  or representing real world object?
[1080.80s -> 1086.56s]  And I think about the 70s, it's a time that there's very little data available.
[1086.56s -> 1092.36s]  Computers are extremely slow, PCs are not even around, but computer scientists are
[1092.36s -> 1098.04s]  starting to think about how we can recognize and represent objects.
[1098.04s -> 1106.46s]  So in Palo Alto, both at Stanford as well as SRI, two groups of scientists that propose
[1106.46s -> 1112.62s]  similar ideas, one is called generalized cylinder, one is called pictorial structure.
[1112.62s -> 1120.98s]  The basic idea is that every object is composed of simple geometric primitives.
[1120.98s -> 1128.38s]  For example, a person can be pieced together by generalized cylindrical shapes or a person
[1128.38s -> 1136.30s]  can be pieced together by critical parts and their elastic distance between these parts.
[1136.30s -> 1144.94s]  So either representation is a way to reduce the complex structure of the object into
[1144.94s -> 1152.34s]  a collection of simpler shapes and their geometric configuration.
[1152.34s -> 1159.88s]  These work have been influential for quite a few years.
[1159.92s -> 1168.60s]  And then in the 80s, David Lowe here is another example of thinking how to reconstruct
[1168.60s -> 1173.40s]  or recognize the visual world from simple world structures.
[1173.40s -> 1184.36s]  This work is by David Lowe, which he tries to recognize razors by constructing lines
[1184.36s -> 1192.16s]  and edges and mostly straight lines and their combination.
[1192.16s -> 1202.14s]  So there was a lot of effort in trying to think what is the tasks in computer vision
[1202.14s -> 1205.48s]  in the 60s, 70s, and 80s.
[1205.48s -> 1212.32s]  And frankly, it was very hard to solve the problem of object recognition.
[1212.32s -> 1220.58s]  Everything I've shown you so far are very audacious, ambitious attempts, but they remain
[1220.58s -> 1226.40s]  at the level of toy examples or just a few examples.
[1226.40s -> 1233.32s]  Not a lot of progress has been made in terms of delivering something that can work
[1233.32s -> 1235.56s]  in real world.
[1235.56s -> 1242.40s]  So as people think about what are the problems to solve in vision, one important question
[1242.40s -> 1250.22s]  came around is if object recognition is too hard, maybe we should first do object segmentation.
[1250.22s -> 1258.92s]  That is the task of taking an image and group the pixels into meaningful areas.
[1258.92s -> 1265.40s]  We might not know the pixels that group together is called a person, but we can extract
[1265.40s -> 1270.32s]  out all the pixels that belong to the person from its background.
[1270.32s -> 1272.72s]  That is called image segmentation.
[1272.72s -> 1279.96s]  So here's one very early seminal work by Jitendra Malik and his student Zhenbo Shi
[1279.96s -> 1291.28s]  from Berkeley from using a graph theory algorithm for the problem of image segmentation.
[1291.28s -> 1299.76s]  There's another problem that made some headway ahead of many other problems in computer
[1299.76s -> 1303.14s]  vision, which is face detection.
[1303.14s -> 1308.08s]  Face was one of the most important objects to humans, probably the most important objects
[1308.08s -> 1309.76s]  to humans.
[1309.76s -> 1318.56s]  Around the time of 1999 to 2000, machine learning techniques, especially statistical
[1318.56s -> 1323.08s]  machine learning techniques, start to gain momentum.
[1323.08s -> 1330.92s]  These are techniques such as support vector machines, boosting graphical models, including
[1330.92s -> 1334.04s]  the first wave of a neural network.
[1334.04s -> 1341.16s]  One particular work that made a lot of contribution was using AdaBoost algorithm
[1341.16s -> 1346.76s]  to do real time face detection by Paul Viola and Michael Jones.
[1346.76s -> 1349.84s]  And there's a lot to admire in this work.
[1349.84s -> 1355.88s]  It was done in 2001 when computer chips are still very, very slow, but they're able to
[1355.88s -> 1360.52s]  do face detection images in near real time.
[1360.52s -> 1369.92s]  And after the publication of this paper, in five years time, 2006, Fujifilm rolled out
[1369.92s -> 1378.40s]  the first digital camera that has a real time face detector in the camera.
[1378.40s -> 1387.52s]  So it was a very rapid transfer from basic science research to real world application.
[1387.52s -> 1395.24s]  So as a field, we continue to explore how we can do object recognition better.
[1395.24s -> 1404.48s]  So one of the very influential way of thinking in the late 90s till the first 10 years of
[1404.48s -> 1409.44s]  2000 is feature-based object recognition.
[1409.44s -> 1414.68s]  And here is a seminal work by David Lowe called SIFT feature.
[1414.68s -> 1422.44s]  The idea is that to match an entire object, for example, here is a stop sign, to another
[1422.44s -> 1423.44s]  stop sign.
[1423.44s -> 1429.84s]  It's very difficult because there might be all kinds of changes due to camera angles,
[1429.84s -> 1437.96s]  occlusion, viewpoint, lighting, and just the intrinsic variation of the object itself.
[1437.96s -> 1446.00s]  But it's inspired to observe that there are some parts of the object, some features
[1446.00s -> 1453.32s]  that tend to remain diagnostic and invariant to changes.
[1453.32s -> 1460.44s]  So the task of object recognition began with identifying these critical features
[1460.44s -> 1465.88s]  on the object and then match the features to a similar object.
[1465.88s -> 1470.80s]  That's an easier task than pattern matching the entire object.
[1470.80s -> 1480.24s]  So here is a figure from his paper where it shows that several dozen SIFT features
[1480.24s -> 1491.76s]  from one stop sign are identified and matched to the SIFT features of another stop sign.
[1491.76s -> 1499.96s]  Using the same building block, which is features, diagnostic features in images, we
[1499.96s -> 1506.68s]  have as a field has made another step forward and start to recognizing holistic scenes.
[1506.68s -> 1512.36s]  Here's an example algorithm called spatial pyramid matching.
[1512.36s -> 1519.60s]  The idea is that there are features in the images that can give us clues about which
[1519.60s -> 1526.76s]  type of scene it is, whether it's a landscape or a kitchen or a highway and so on.
[1527.28s -> 1533.56s]  This particular work takes these features from different parts of the image and in different
[1533.56s -> 1539.28s]  resolutions and put them together in a feature descriptor.
[1539.28s -> 1545.24s]  And then we do support vector machine algorithm on top of that.
[1545.24s -> 1554.12s]  Similarly, a very similar work has gained momentum in human recognition.
[1554.20s -> 1564.12s]  So putting together these features, we have a number of work that looks at how we can
[1564.12s -> 1570.52s]  compose human bodies in more realistic images and recognize them.
[1570.52s -> 1576.40s]  So one work is called the histogram of gradients, another work is called deformable
[1576.40s -> 1579.28s]  body part models.
[1579.28s -> 1589.44s]  So as you can see, as we move from the 60s, 70s, 80s towards the first decade of the
[1589.44s -> 1596.32s]  21st century, one thing is changing and that's the quality of the pictures.
[1596.32s -> 1604.12s]  We're no longer with the internet, the growth of the internet, the digital cameras,
[1604.12s -> 1608.80s]  we're having better and better data to study computer vision.
[1608.80s -> 1618.56s]  So one of the outcome in the early 2000s is that the field of computer vision has defined
[1618.56s -> 1622.84s]  a very important building block problem to solve.
[1622.84s -> 1629.36s]  It's not the only problem to solve, but in terms of recognition, this is a very important
[1629.36s -> 1632.80s]  problem to solve, which is object recognition.
[1632.80s -> 1641.68s]  I talked about object recognition all along, but in the early 2000s, we began to have
[1641.68s -> 1649.64s]  benchmark data set that can enable us to measure the progress of object recognition.
[1649.64s -> 1656.88s]  One of the most influential benchmark data set is called Pascal Visual Object Challenge.
[1656.88s -> 1663.88s]  And it's a data set composed of 20 object classes.
[1663.88s -> 1667.80s]  Three of them are shown here, train, airplane, person.
[1667.80s -> 1673.44s]  I think it also has cows, bottles, cats, and so on.
[1673.44s -> 1681.64s]  And the data set is composed of several thousand to 10,000 images per category.
[1681.64s -> 1690.76s]  And then the field, different groups develop algorithm to test against the testing set
[1690.76s -> 1693.28s]  and see how we have made progress.
[1693.28s -> 1704.32s]  So here is a figure that shows from year 2007 to year 2012 the performance on detecting
[1704.32s -> 1715.64s]  object, the 20 object in the image, in the benchmark data set has steadily increased.
[1715.64s -> 1718.44s]  So that was a lot of progress made.
[1718.44s -> 1727.08s]  Around that time, a group of us from Princeton to Stanford also began to ask a harder question
[1727.08s -> 1735.60s]  to ourselves as well as our field, which is, are we ready to recognize every object
[1735.60s -> 1738.72s]  or most of the object in the world?
[1738.72s -> 1746.12s]  It's also motivated by an observation that is rooted in machine learning, which is
[1746.12s -> 1752.04s]  that most of the machine learning algorithms, it doesn't matter if it's graphical model
[1752.04s -> 1761.88s]  or support vector machine or AdaBoost, it's very likely to overfit in the training process.
[1761.88s -> 1766.04s]  And part of the problem is visual data is very complex.
[1766.04s -> 1773.76s]  Because it's complex, our models tend to have a high dimension of input and have to
[1773.76s -> 1776.54s]  have a lot of parameters to fit.
[1776.54s -> 1782.62s]  And when we don't have enough training data, overfitting happens very fast.
[1782.62s -> 1785.58s]  And then we cannot generalize very well.
[1785.58s -> 1793.86s]  So motivated by this dual reason, one is just want to recognize the world of all
[1793.86s -> 1794.86s]  the objects.
[1794.86s -> 1801.14s]  The other one is to come back the machine learning, overcome the machine learning bottleneck
[1801.14s -> 1803.08s]  of overfitting.
[1803.08s -> 1806.46s]  We began this project called ImageNet.
[1806.46s -> 1813.40s]  We wanted to put together the largest possible data set of all the pictures we can find
[1813.40s -> 1820.76s]  in the world of objects and use that for training as well as for benchmarking.
[1820.76s -> 1827.10s]  So it was a project that took us about three years, lots of hard work.
[1827.10s -> 1835.26s]  It basically began with downloading billions of images from the internet, organized by
[1835.26s -> 1843.34s]  the dictionary we called WordNet, which is tens of thousands of object classes.
[1843.34s -> 1851.30s]  And then we have to use some clever crowd engineering trick and method using Amazon
[1851.30s -> 1858.68s]  Mechanical Turk platform to sort, clean, label each of the images.
[1858.68s -> 1868.70s]  The end result is a ImageNet of almost 15 million or 40 million plus images organized
[1868.70s -> 1873.74s]  in 22,000 categories of objects and scenes.
[1873.74s -> 1885.06s]  And this is the gigantic, probably the biggest data set produced in the field of AI at that
[1885.06s -> 1886.34s]  time.
[1886.34s -> 1894.82s]  And it began to push forward the algorithm development of object recognition into another
[1894.82s -> 1895.82s]  phase.
[1895.82s -> 1901.38s]  Especially important is how to benchmark the progress.
[1901.42s -> 1910.50s]  So starting 2009, the ImageNet team rolled out an international challenge called ImageNet
[1910.50s -> 1914.66s]  Large Scale Visual Recognition Challenge.
[1914.66s -> 1922.38s]  And for this challenge, we put together a more stringent test set of 1.4 million
[1922.38s -> 1927.06s]  objects across 1,000 object classes.
[1927.06s -> 1934.18s]  And this is to test the image classification recognition results for the computer vision
[1934.18s -> 1935.74s]  algorithms.
[1935.74s -> 1938.98s]  So here's the example picture.
[1938.98s -> 1950.86s]  And if an algorithm can output five labels and the top five labels includes the correct
[1950.86s -> 1957.38s]  object in this picture, then we call this a success.
[1957.38s -> 1968.06s]  So here is a result summary of the ImageNet challenge, of the image classification result
[1968.06s -> 1972.06s]  from 2010 to 2015.
[1972.06s -> 1975.98s]  So on the x-axis, you see the years.
[1975.98s -> 1980.80s]  On the y-axis, you see the error rate.
[1980.80s -> 1985.56s]  So the good news is the error rate is steadily decreasing.
[1985.56s -> 1993.08s]  To the point by 2012, the error rate is so low, it's on par with what humans can
[1993.08s -> 1994.08s]  do.
[1994.08s -> 2004.60s]  And here, by human, I mean a single Stanford PhD student who spent weeks doing this task
[2004.60s -> 2009.90s]  as if he were a computer participating in the ImageNet challenge.
[2009.90s -> 2014.36s]  So that's a lot of progress made.
[2014.36s -> 2021.28s]  Even though we have not solved all the problems of object recognition, which you'll learn
[2021.28s -> 2030.34s]  about in this class, but to go from an error rate that's unacceptable for real world application
[2030.34s -> 2036.74s]  all the way to being on par with humans in ImageNet challenge, the field took only
[2036.74s -> 2038.98s]  a few years.
[2038.98s -> 2050.90s]  And one particular moment you should notice on this graph is the year 2012.
[2050.90s -> 2056.82s]  In the first two years, our error rate hovered around 25 percent.
[2056.82s -> 2066.22s]  But in 2012, the error rate was dropped almost 10 percent to 16 percent.
[2066.22s -> 2072.24s]  Even though now it's better, but that drop was very significant.
[2072.24s -> 2082.34s]  And the winning algorithm of that year is a convolutional neural network model that
[2082.34s -> 2089.92s]  beat all other algorithms around that time to win the ImageNet challenge.
[2089.92s -> 2098.44s]  And this is the focus of our whole course this quarter, is to look at, to have a deep
[2098.44s -> 2103.84s]  dive into what convolutional neural network models are.
[2103.84s -> 2113.46s]  And another name for this is deep learning by popular name now is called deep learning.
[2113.46s -> 2119.88s]  And to look at what these models are, what are the principles, what are the good practices,
[2119.88s -> 2122.64s]  what are the recent progress of this model.
[2122.64s -> 2131.04s]  So, but here is where the history was made is that we, around 2012, convolutional
[2131.04s -> 2137.68s]  neural network model or deep learning models showed the tremendous capacity and ability
[2137.68s -> 2145.56s]  in making good progress in the field of computer vision along with several other sister
[2145.56s -> 2149.92s]  fields like natural language processing and speech recognition.
[2149.92s -> 2158.48s]  So without further ado, I'm going to hand the rest of the lecture to Justin to talk
[2158.48s -> 2163.12s]  about the overview of CS231n.
[2163.12s -> 2164.12s]  All right.
[2164.12s -> 2165.26s]  Thanks so much Fei-Fei.
[2165.26s -> 2168.36s]  I think that I'll take it over from here.
[2168.36s -> 2172.50s]  So now I want to shift gears a little bit and talk a little bit more about this class
[2172.50s -> 2175.82s]  CS231n.
[2175.82s -> 2181.70s]  So this class focuses on one of these most, so the primary focus of this class is this
[2181.70s -> 2186.30s]  image classification problem, which we previewed a little bit in the context of the ImageNet
[2186.30s -> 2187.44s]  challenge.
[2187.44s -> 2191.82s]  So in image classification, again, the setup is that your algorithm looks at an image
[2191.82s -> 2197.26s]  and then picks from among some fixed set of categories to classify that image.
[2197.26s -> 2201.46s]  And this seems like, this might seem like somewhat of a restrictive or artificial setup,
[2201.46s -> 2206.34s]  but it's actually quite general and this problem can be applied in many different settings,
[2206.34s -> 2209.90s]  both in industry and academia and many different places.
[2209.90s -> 2214.34s]  So for example, you could apply this to recognizing food or recognizing calories
[2214.34s -> 2218.50s]  in food or recognizing different artworks, different products out in the world.
[2218.50s -> 2224.42s]  So this relatively basic tool of image classification is super useful on its own and could be applied
[2224.42s -> 2229.18s]  all over the place for many different applications.
[2229.18s -> 2234.44s]  But in this course, we're also going to talk about several other visual recognition problems
[2234.44s -> 2240.14s]  that build upon many of the tools that we develop for the purpose of image classification.
[2240.14s -> 2245.10s]  We'll talk about other problems such as object detection or image captioning.
[2245.10s -> 2248.96s]  So the setup in object detection is a little bit different.
[2248.96s -> 2254.02s]  Rather than classifying an entire image as a cat or a dog or a horse or whatnot,
