# Detected language: en (p=1.00)

[0.00s -> 1.58s]  Welcome
[285.28s -> 290.92s]  Like what's the output sort of thing and then some then some short answer questions, which kind of cover the spectrum
[291.12s -> 294.12s]  That's probably the way it'll be. I'm still in the middle of finishing it
[294.72s -> 296.72s]  Writing it anybody else
[297.60s -> 300.80s]  Okay, so we have another assignment
[301.14s -> 303.14s]  This
[303.50s -> 307.54s]  Assignment Stanford shell I'm going to do a little demo of it to show you what it's what it is
[307.82s -> 312.22s]  Is a is kind of a neat assignment. It's basically building the shell
[312.82s -> 317.58s]  that you use every day and have used since 107 and it's
[318.22s -> 320.42s]  It needs to handle certain things
[320.78s -> 323.90s]  You need to be able to do the basic things like quit it or exit it
[323.90s -> 330.06s]  You will be putting processes in the background or in the foreground kind of like what we did in our simple shell
[330.52s -> 332.92s]  So you can use that as a hey, how did we do it then?
[332.92s -> 334.92s]  And what do we need to do differently now?
[334.92s -> 339.68s]  You also have to keep track of all the processes so you'll be able to have multiple processes
[339.68s -> 344.44s]  You can throw in the background and then maybe a foreground process as well and your program has to handle all of those
[344.80s -> 349.36s]  Okay, so you need to be able to use FG to bring a background process into the foreground
[349.44s -> 356.40s]  You need to be able to do BG which restarts a stopped background process and you can tell it which one as well
[356.88s -> 363.06s]  You also have to be able to kill a set of processes and this is an interesting one. We have this term this
[363.58s -> 369.30s]  command called slay which basically will you will send to a process group and
[370.42s -> 374.58s]  That's a the group of processes like for instance down here. We have
[375.12s -> 380.64s]  LS piped through grab piped through cut well, they will all be in the same process group
[380.64s -> 382.64s]  And if you kill the process group, they all die
[382.64s -> 385.48s]  So that's the sort of thing you're gonna have to think about when you're doing this
[385.48s -> 390.96s]  You also can halt a process that's currently running. You're gonna send a SIG stop to it or actually a SIG
[391.30s -> 393.54s]  Actually, I think it is a SIG stop to it you
[394.10s -> 395.62s]  Will be able to continue a process
[395.62s -> 401.22s]  You'll also be able to tell what jobs are running with a command so you can see what the process IDs for all those
[401.22s -> 404.58s]  Jobs are and you're gonna be responsible for setting up the pipelines
[404.58s -> 409.08s]  I think this is one of the trickier parts of this assignment is getting this to work where you have
[409.42s -> 413.38s]  LS piped through grab piped through cut for any number of these
[413.68s -> 416.18s]  And you'll also have to do things like sort
[416.96s -> 419.96s]  Input from a file as standard in error
[419.96s -> 424.60s]  I guess read from yeah standard in and then maybe output to another file
[424.60s -> 428.74s]  So those are things you're gonna have to think about as well. So there's a lot of moving parts to this
[429.40s -> 434.14s]  For that the piping you have to think about what's happening here and you have to go. Okay. Well
[434.56s -> 437.40s]  LS needs to have its standard out going to
[437.70s -> 442.10s]  Grep is it standard in it sounds a lot like pipeline right which you've already done
[442.10s -> 445.58s]  but this is a more robust version and then same thing for
[446.42s -> 449.78s]  Grep has to send its output to cut so guess what?
[449.78s -> 455.10s]  There's gonna be like a pipe here and another pipe here and they're not going to be the same pipe and you have to
[455.10s -> 460.36s]  Start them and stop them different places. And so it's it's a little bit trickier to get that that going
[461.22s -> 465.88s]  You'll also have to be handoff terminal control to foreground process
[466.14s -> 468.14s]  Sometimes when you type when you type in
[468.82s -> 473.42s]  Process. Well, your terminal isn't really grabbing the input anymore. It's whatever program is running
[473.42s -> 477.52s]  So there's a little bit of a handoff there. That's not actually one of the hardest things about the program
[477.52s -> 479.52s]  You just have to end up thinking about it question
[484.02s -> 485.30s]  It is a good question
[485.30s -> 490.06s]  It's not gonna rely on pipeline surprise you kind of recreate them in the form that we at least the pipeline one in the
[490.06s -> 495.48s]  Form that you that we will have for you. Yeah, what are their questions just so far on this?
[496.88s -> 500.24s]  All right this evening I will do my best to put up a little video
[501.38s -> 503.78s]  Describing some of the details a little bit better
[504.40s -> 506.24s]  There are a lot of moving parts to this
[506.24s -> 511.22s]  Okay, there's a ton of moving parts because you have to kind of think about all the little nuances to this shell
[511.56s -> 516.60s]  There's a bunch of header files always read through those first if you've already downloaded the assignment read through those
[516.62s -> 518.62s]  You're only going to be putting
[518.62s -> 524.70s]  Modifying one program. So that's at least like good. It won't be like trying to you know, figure out six different programs
[525.34s -> 530.32s]  You can test those shell either by running programs. I'll show you in a second or through a
[531.02s -> 536.42s]  Driver program which basically runs the shell using some input so you can see the output
[536.74s -> 539.62s]  You know in a way that you can test a little better. So it's a good way to test
[539.62s -> 542.22s]  So get used to using the little driver
[543.14s -> 545.14s]  you would definitely have to
[545.14s -> 549.14s]  Have a SIG child handler because all of your children are going to be
[549.58s -> 554.86s]  Starting continuing stopping all that kind of stuff and it's the child handler that's going to be
[555.78s -> 560.44s]  Manipulating those and taking care of which programs are stopping when and so forth
[561.50s -> 564.38s]  In some sense. It's a little like farm in that
[564.38s -> 569.30s]  You have to get your SIG child handler pretty robust to get these you'll also have another
[569.70s -> 575.74s]  Handler or maybe two and by the way, you can make these into one handler if you want your shell now
[575.74s -> 577.74s]  If I go to a shell by the way
[577.74s -> 582.12s]  If I go over to a shell and I type ctrl C my shell doesn't die
[582.58s -> 587.90s]  Right, you're gonna have your shell also make it so that it doesn't die when you do ctrl C
[587.90s -> 592.66s]  Well, that's actually where but to do that you have to handle and you have to capture
[593.10s -> 596.86s]  SIG int which is the interrupt and SIG stop which is ctrl Z and
[597.66s -> 599.66s]  they should affect your
[600.46s -> 604.62s]  Processes that you have but not your shell itself. So there's a little bit of that going on as well
[605.42s -> 609.02s]  As I said the piping between processes is is a little bit tricky
[609.50s -> 614.62s]  You'll have to take some time to get through that this assignment has lots of a whole list of milestones
[614.62s -> 618.70s]  You should probably do this then this then this than this if you can follow those milestones
[618.70s -> 622.90s]  You'll be able to do some testing and it will be a little more straightforward
[622.90s -> 627.14s]  Don't try to jump to the last part or like just go down some route test as often as you can
[627.50s -> 629.50s]  Is the big thing now?
[629.78s -> 633.08s]  This is a detailed assignment. We also have a midterm coming up this week
[633.20s -> 638.52s]  It's due next Wednesday, which is a week and a half. This should be about a week-long assignment
[638.52s -> 643.12s]  So I'm giving you a little bit of buffer room in there if you wait until Friday to start it
[643.76s -> 648.36s]  You can get it done, but it's gonna be a lot of work over the weekend and over beginning of next week
[648.56s -> 652.76s]  So I would at least start the assignment and by the way, it's got all the signal handling stuff
[652.76s -> 657.88s]  You will need to know for the exam. We will not ask specific questions. Although the practice midterms did on
[658.88s -> 661.20s]  Stanford shell but we will
[662.12s -> 668.54s]  The material is ostensibly the same. So you'll like starting to do the assignment. At least you'll start you'll continue to think about those
[669.16s -> 674.96s]  Okay. All right, and then we'll see how it goes as far as how people are doing after beginning of next week
[675.28s -> 678.52s]  All right, what questions on the assignment at this point?
[681.04s -> 686.18s]  This one's a fun one, too. It's definitely got a lot of parts as I said
[686.18s -> 687.94s]  Okay
[687.94s -> 689.94s]  All right, then let's move on
[690.46s -> 694.30s]  Back to threads now remember we have left
[695.14s -> 699.86s]  Multiprocessing world and we are now in multi threading world. The biggest difference is that
[700.94s -> 705.62s]  Threads are all under one single process, which means they share their memory
[705.62s -> 710.84s]  They have a different stack space for each thread, but they can relate to each other's stack frames
[710.84s -> 714.10s]  You can pass references to global variables and that works just fine
[714.70s -> 716.70s]  And you can have
[716.82s -> 718.66s]  You can have threads
[718.66s -> 724.10s]  Interacting with like say one global data structure very easily. That's one of the benefits of threats
[724.10s -> 728.66s]  They're considered lightweight processes in the sense that they really are doing different things
[728.66s -> 731.78s]  you can actually set the affinity on threads to run on different cores and
[732.44s -> 735.30s]  They really do run in parallel, especially if you have different cores
[735.46s -> 738.54s]  So there's there are benefits to using threading
[738.70s -> 741.50s]  But there's a lot of little things you have to think about just like
[741.84s -> 748.62s]  Multiprocessing and there are many analogous things to multi-processing that you'll that you'll have to to look at. Okay on
[749.66s -> 756.54s]  When's last Wednesday? What we did was we looked at the C version of p threads now threading doesn't come
[757.02s -> 762.14s]  Standard with Unix. Okay, just it's kind of attached and it's a it's kind of well
[762.14s -> 765.66s]  It's more or less added these days, but it's it's another library that you have to run
[765.66s -> 768.02s]  So this is why we had p threads and for C
[768.02s -> 770.90s]  of course, you have to do all these things with void star and and
[771.42s -> 775.18s]  Point pointers to send various blocks of data and it's kind of annoying
[775.82s -> 780.46s]  Turns out in C++ 11, which is the version that we are using
[781.54s -> 788.18s]  in C++ 11 we have actual support for threading built into the language and
[788.66s -> 791.90s]  It works a little bit better and is actually much cleaner
[792.22s -> 794.66s]  Once you get to once you get to understand it then
[795.06s -> 799.54s]  P threads are so we're going to trend quickly transition into that and then never speak of p threads again
[799.70s -> 804.06s]  Although if you take a networks class or maybe an operating systems class
[804.06s -> 807.08s]  You're gonna have to probably implement those and think about those in the future. Yeah
[810.34s -> 814.88s]  No, no, there's no threading on the midterm no good question. Yeah, unless you want me to put it on there
[817.46s -> 819.70s]  So anyway, let's take a look at
[820.46s -> 822.46s]  We'll go back and look at the
[823.94s -> 829.30s]  Recharge or the the introverts program that we that we had before
[829.86s -> 834.62s]  Okay, so let's actually log on a myth here. Oh, I forgot to show you I'm going to show you Stanford shell
[834.62s -> 836.62s]  I forgot about that
[839.18s -> 843.54s]  For samples no, not samples samples
[844.54s -> 849.44s]  S T SH solution. There we go. So Stanford shell looks like this, right?
[849.44s -> 857.10s]  You can do things like LS you can do things like sleep in the background and it will and it will oops needs a needs a
[857.66s -> 863.08s]  Sleep something like 10 in the background and then it goes in the background and you can type jobs
[863.08s -> 867.06s]  And it will tell you that there's a sleep running if I quickly do another one. I don't think I'm gonna have time
[867.06s -> 873.06s]  Let's do sleep 20 and then job jobs. Then there's still only one. Let's do another one sleep
[873.54s -> 878.22s]  In the background now if we do jobs, there should be two now. There are two jobs in the background
[878.58s -> 882.90s]  We should be able to I think kill did I say it's not kill its
[883.50s -> 885.14s]  Slay
[885.14s -> 889.22s]  1 8 4 0 8 and there we go. And then jobs in the background is on one now
[891.10s -> 894.46s]  So you should be able to do that you should also be able to do things like cat
[895.18s -> 900.66s]  What do we have STS H dot CC piped through sort or something like that?
[900.74s -> 902.74s]  And it will sort all the lines in there
[903.14s -> 905.58s]  You should you can by the way can use the up and down air keys
[905.58s -> 910.54s]  We built that in for you already and then you could put that through word count and so forth
[910.82s -> 914.02s]  Okay, you could also do that and then output it to
[915.06s -> 920.30s]  word count out got TXT and then we could do cat word count
[921.10s -> 925.58s]  TXT it should look very much like a terminal. Okay, and that's what you do
[925.58s -> 927.30s]  I shouldn't be able to do ctrl C
[927.42s -> 930.18s]  It actually says ctrl C, but it doesn't kill the shell
[930.62s -> 935.66s]  Okay, it shouldn't anyway and then ctrl Z will not do the same thing if I do something like
[936.34s -> 939.86s]  Let's do sleep 20 and then I do ctrl Z now
[939.86s -> 944.86s]  It it should bring you back and then have a background job there, which it does
[944.86s -> 948.98s]  So there's all the different parts what you're gonna have to do for that assignment
[950.50s -> 955.68s]  What is the 12 means the 12th job that you've actually launched so far I think in your shell
[955.80s -> 957.80s]  I think that's all that's all it means. Yeah, Berkham
[966.00s -> 971.12s]  Oh, well cat will the good the question was why are we using stsh for cat cat actually
[971.64s -> 976.20s]  Will print out a particular file. That's all we're doing there. I'm just and I happen to have that in
[976.20s -> 979.44s]  I'm in that folder so I know that file is there. So that's why I just
[979.96s -> 982.72s]  I just happen to know that file exists there
[983.56s -> 987.28s]  Any other question, okay and then do exit quit or exit
[987.96s -> 991.68s]  Okay, that's Stanford shell you will get used to that
[991.68s -> 998.80s]  And by the way, use that solution one to see what the output should be like and you bet some people sometimes miss that
[999.96s -> 1001.96s]  All right. Let's see
[1002.48s -> 1003.96s]  threads
[1003.96s -> 1007.16s]  Cpp now. Okay. Let's look at a new introverts
[1007.80s -> 1012.68s]  Program. Okay. This is the recharge basically what we're going to do
[1012.72s -> 1014.96s]  is the same thing as
[1016.76s -> 1020.04s]  Same thing as we did for the same program
[1020.04s -> 1025.64s]  It basically has ten threads or I guess six threads in this case and they're all going to print out something about
[1026.24s -> 1029.32s]  Recharging when you're alone. Okay. In fact, we'll we'll do that right now
[1029.32s -> 1034.56s]  We are in C++ now so we can start to use C out. Okay, and if we do C out I
[1035.28s -> 1038.92s]  recharge by spending time alone
[1039.88s -> 1044.64s]  Okay, and then and then and L one thing about C out is
[1045.44s -> 1048.96s]  Unlike printf it is actually not thread safe
[1049.08s -> 1054.78s]  Which means that and it turns out here's how it's not thread safe, by the way each one of these
[1055.52s -> 1061.80s]  Less than less thans are a new function. So basically this can print
[1062.44s -> 1067.68s]  Separately from the end L and so we want to avoid that actually
[1067.68s -> 1070.84s]  Well, we don't you might not want to avoid that but let's say you want to avoid that
[1070.84s -> 1077.46s]  We normally will we want that entire C out statement to print without any other thread interrupting it
[1077.68s -> 1080.68s]  By the way, it probably won't do it like between time and alone
[1080.68s -> 1084.68s]  But it will do it like anytime you have this so if we wanted to not interrupt that
[1085.12s -> 1087.52s]  what we can do is we can actually use a
[1088.44s -> 1091.48s]  function that Jerry Kane created which is just a
[1092.40s -> 1098.16s]  Lock on it which says hey after that I say OS lock inside a C out statement
[1098.48s -> 1103.24s]  Or inside a C app function. I just want to not have any other thread
[1104.20s -> 1107.34s]  Get in there and on and do something
[1107.84s -> 1114.76s]  While it's still doing that and then after this we should also have OS unlock and this is using a
[1115.28s -> 1120.60s]  Header file called ostream lock that will just link you to okay question chase
[1121.48s -> 1125.48s]  Couldn't you just use print F?
[1125.96s -> 1128.84s]  Sure, but there might be some things that you want to print
[1128.84s -> 1131.96s]  You might want to see out that are easier to do it to see out maybe some
[1132.68s -> 1134.68s]  output of some other
[1135.24s -> 1142.38s]  Oh, I don't know some other type or something that has a built-in a built-in overload for out or something like that
[1143.80s -> 1148.44s]  But yeah, you should you should just probably stick to see out in this for C++
[1148.44s -> 1150.44s]  It's also the better way to do C++. Yeah
[1152.40s -> 1154.40s]  In
[1155.32s -> 1160.76s]  This case you could use a newline character. Yes, although newline may not flush in this case
[1160.76s -> 1165.00s]  But yeah, you probably could use a newline this good but but sometimes what if we wanted to do something like this
[1166.28s -> 1172.60s]  I'll just do it this way like see out. This is I should do it in like var a
[1173.24s -> 1179.44s]  Colon a you know what I mean like that, you know period or whatever then we we still want to wrap it in that
[1179.44s -> 1181.44s]  OS lock OS unlock
[1181.64s -> 1183.48s]  It's easy to use anyway
[1183.48s -> 1188.64s]  All right, and that's that somebody else had a question up here or maybe it's the same. No, okay
[1188.64s -> 1191.36s]  So anyway, that's what we're gonna do there. In fact
[1192.44s -> 1197.72s]  That's all this function actually does. Okay, and then what we're going to do is we're going to
[1199.96s -> 1208.12s]  Use the actual threading library built into C++. Okay, so like let's hear from
[1209.28s -> 1210.40s]  k
[1210.44s -> 1212.44s]  num introverts
[1214.40s -> 1216.40s]  Space introvert
[1217.68s -> 1221.80s]  Period and why didn't I use the OS lock there?
[1222.44s -> 1225.10s]  We're not in a thread yet. Like we're not even in a thread yet
[1225.10s -> 1229.12s]  So not really necessary and the LDO wouldn't break if we did use it
[1229.12s -> 1232.76s]  It's just don't don't use if you don't need to. Okay, there's a thread library
[1232.76s -> 1236.88s]  I'll talk about the details of the thread library after we see the example. Okay, here's how it works
[1236.88s -> 1239.20s]  We're going to do the following introverts
[1240.16s -> 1244.38s]  Okay, and k num introverts
[1246.76s -> 1248.32s]  Introverts
[1248.32s -> 1253.80s]  Okay, and that is actually setting up. It's calling the default constructor for this thread
[1254.72s -> 1260.96s]  Class and it is placing them in the into that array one after the other now you would think
[1260.96s -> 1261.36s]  Oh
[1261.36s -> 1262.72s]  Does that mean that it's actually
[1262.72s -> 1268.38s]  Launching a thread as it turns out the default constructor doesn't do that and then I'll show you what we do in a minute
[1268.46s -> 1272.42s]  This is actually a nuanced thing of C++ 11 that I'll show you
[1272.42s -> 1278.46s]  But for now just know that that sets up the array of threads and then we can do the following you can say for
[1279.50s -> 1281.02s]  thread
[1281.02s -> 1284.86s]  Definitely need the ampersand on there to make it a reference and you by the way
[1284.86s -> 1286.06s]  You could put that reference there, too
[1286.06s -> 1286.82s]  I like to put it here
[1286.82s -> 1291.92s]  But some people like to put it before or with a space or whatever. It doesn't matter as far as C++ is concerned
[1292.74s -> 1294.30s]  introvert
[1294.30s -> 1296.30s]  in introverts
[1297.26s -> 1300.06s]  Okay, and then what we were going to do is we are going to
[1300.82s -> 1303.22s]  Do the following say introvert?
[1303.86s -> 1304.94s]  equals
[1304.94s -> 1310.46s]  Thread recharge and that's all you need to do to actually say hey
[1310.94s -> 1314.82s]  Here's a new thread with the recharge function launch it
[1315.30s -> 1319.54s]  Okay, there's some more prayer you can have as many parameters as you want here
[1319.54s -> 1321.96s]  Like if you want to send in other parameters, we'll do that in a second
[1321.96s -> 1326.12s]  You can do that but that's this is for the for the simple example. That's all you need to do now
[1326.12s -> 1330.10s]  The interesting part is happening right here where you're doing this weird
[1330.76s -> 1333.20s]  And if I spell the introvert, right, that would be better
[1335.64s -> 1337.64s]  You're you're doing the
[1338.88s -> 1342.74s]  Exchange as it turns out instead of just setting it equal
[1342.74s -> 1344.12s]  I'll talk about that more in a minute
[1344.12s -> 1349.76s]  But you might think to yourself wait didn't I just start ten threads and now I'm doing a copy of ten more threads and that
[1349.76s -> 1355.08s]  How does that work and so forth? It actually is because C++ allows it to work as it turns out
[1355.44s -> 1359.48s]  Okay, then what we can do is we can do another same sort of thing thread
[1361.12s -> 1363.12s]  introvert in
[1363.56s -> 1365.56s]  introverts
[1365.76s -> 1372.56s]  Okay, and then we are just going to do introvert because this is C++ as a class join
[1372.96s -> 1377.36s]  Which does the exact same thing as join the function call did in
[1378.12s -> 1383.76s]  In C and it waits for that particular thread to end before it moves on to the next one in the for loop
[1385.52s -> 1391.88s]  That's the beginning one. Let's see if it works anybody notice any typos still. I don't see make introverts
[1393.68s -> 1398.26s]  Okay looks so good introverts and there we go I recharge by spending time alone six times
[1399.52s -> 1406.56s]  Okay, so let's go back and talk about the details of this a little more in a little bit more detail
[1407.52s -> 1410.28s]  Anybody have any particular questions so far on this?
[1415.08s -> 1417.08s]  That
[1417.12s -> 1422.40s]  Very good question. You're getting the introvert by reference in the line down here
[1422.40s -> 1427.20s]  Yes, and here you're getting it by reference from the actual introverts array
[1427.84s -> 1431.92s]  And well, yeah, good question. Why are you doing that? We need to
[1432.40s -> 1436.04s]  As it turns out this is the C++ part and I guess we should just talk about that right now
[1436.40s -> 1443.12s]  we're we're trying to take a thread that we're creating and plop it into a
[1444.12s -> 1445.60s]  Into an array
[1445.60s -> 1452.68s]  Normally, what would happen is you would copy all the resources out of the thread and place it into that array, right?
[1452.68s -> 1455.08s]  Well, that would mean there's now kind of two threads
[1455.64s -> 1459.76s]  that are going and there's no real way to like shut down the one and
[1460.32s -> 1465.88s]  Start up the one in the array just happens that that doesn't doesn't work in C++. Normally well
[1466.40s -> 1469.96s]  C++ itself. I think this is on the next page has a
[1470.68s -> 1472.76s]  new function which is
[1473.12s -> 1479.48s]  Here it is operator equals thread to ampersands other it's just a syntax thing
[1479.48s -> 1481.80s]  It basically means we are setting up this
[1482.44s -> 1484.04s]  move
[1484.04s -> 1486.04s]  type of
[1486.40s -> 1488.24s]  Equality basically, it's
[1488.24s -> 1493.36s]  Swapping the two things. Okay, and all you need to really know about that is that this works
[1493.56s -> 1500.60s]  That's kind of the bottom line is that when you do this when you do the actual equals right down here
[1500.60s -> 1504.20s]  And you say okay look the thread that we are creating here is
[1504.72s -> 1512.56s]  actually going to be placed into the place where the reference is in the array and it actually does a complete swap and places the
[1513.56s -> 1514.80s]  non-working
[1514.80s -> 1516.80s]  Thread that we constructed in the array
[1517.24s -> 1523.28s]  Into our actual as the kind of thread over on the other on the right hand side of the equation
[1523.56s -> 1529.08s]  Again, the details not really important if you want to go look up move semantics and C++ 11
[1529.08s -> 1535.64s]  You can get lots of details about it. But the idea is this works. Whereas in in a normal copy
[1535.64s -> 1540.60s]  It wouldn't work very well because you've got too many resources that you can't really make a copy of
[1541.16s -> 1542.36s]  And so it doesn't work
[1542.36s -> 1547.92s]  So anyway, this does work if you're scratching your head about why it's because they've added something to C++
[1548.40s -> 1553.76s]  That's kind of the the bottom line the bottom line there. But anyway point is you just say oh look
[1553.76s -> 1558.56s]  Here's how I get this thread that I'm just creating into this array. I can do it by reference
[1558.88s -> 1561.24s]  In this new special C++ way
[1561.88s -> 1563.88s]  question
[1564.80s -> 1570.28s]  Yeah, can I go over join again good question so join that member each one of these threads is now in a
[1570.84s -> 1573.96s]  In the array and so when I loop back over those threads
[1573.96s -> 1577.42s]  You've got this thread and you say join and all that means is
[1578.60s -> 1581.36s]  Pause until that thread actually completes
[1581.76s -> 1587.16s]  So it's very similar to wait PID with a zero as the first parameter where you're just going
[1587.16s -> 1589.48s]  Okay, look, I just I'm gonna wait around until this this ends
[1590.12s -> 1596.96s]  You could have something similar where you actually set up a thread to be what we call detached where you don't have to join
[1597.08s -> 1601.40s]  But this does the cleanup and also makes it so the program doesn't end before all the threads end
[1601.84s -> 1604.64s]  If we didn't have that join in there, we would get a terminal
[1605.36s -> 1609.20s]  Back, we're gonna terminal prompt back before all the threads ended. Yeah
[1611.76s -> 1613.76s]  It's to make sure the main
[1614.68s -> 1618.98s]  No, no exactly it's it's the main program waiting for the threads individual threads
[1619.04s -> 1622.96s]  Yeah, and we call it on each thread as it turns out
[1623.44s -> 1625.44s]  Okay, and you do have to call it on each thread
[1625.46s -> 1628.72s]  You can't just say like join all you know, wait for all my threads
[1628.72s -> 1631.72s]  You can't really do that in the same way that you would have done that with multi-processing
[1644.40s -> 1648.32s]  Yeah, good question are there things like W no hang and and
[1648.96s -> 1653.48s]  W untraced and all that not really it's not the same. You're not gonna have the same models
[1654.02s -> 1655.76s]  When you're doing this, okay
[1655.76s -> 1660.16s]  You're basically you're most often in a joint at the end and it's not like you're gonna stop a thread
[1660.48s -> 1662.72s]  Using sig stop and so forth not like you're sending them
[1662.72s -> 1664.36s]  It's not a process in itself, right?
[1664.36s -> 1668.52s]  Most of the things that we did with threads are processes in that sense are not going to be
[1668.92s -> 1672.88s]  Really in the same model of threading. Okay threading is most of the time
[1673.58s -> 1677.24s]  Breaking up a problem into many sub problems to solve kind of independently
[1677.24s -> 1683.10s]  We'll see an example of that in a few minutes and that's where it differs a little bit from from all that processing remember
[1683.40s -> 1686.52s]  Most of the time multi-processing is fork exec
[1686.88s -> 1692.36s]  Fork exact fork exact that's most of the time what we do with processes so that we can launch other programs
[1692.48s -> 1695.48s]  This is now saying everything's gonna be in my one program
[1695.48s -> 1698.40s]  But I'm gonna say I'm gonna make them all kind of happen in parallel
[1698.88s -> 1700.88s]  Yeah, good question
[1701.04s -> 1703.04s]  All right, so that's
[1703.68s -> 1706.72s]  The actual policy. What else can we talk about here?
[1707.44s -> 1714.02s]  This is the important part. We declare an empty thread had the empty thread handles array. That's the important one
[1714.32s -> 1719.76s]  Okay, and then we install the recharge function into temporary threads
[1719.76s -> 1725.64s]  That's just saying thread and then the name of the function and then they get copied over or I should say moved
[1726.04s -> 1727.48s]  into the array
[1727.48s -> 1730.48s]  Okay, that's kind of a new C++ part, all right
[1731.60s -> 1735.72s]  And you can read a little more details about that as you go join method we talked about
[1736.76s -> 1740.00s]  The read the function can be anything we want
[1740.46s -> 1744.92s]  Normally, we just have a void function because we don't actually ever get the return value of it
[1744.92s -> 1751.68s]  It's not you can't really get the return value in the same sense that you you can in wait PID
[1752.40s -> 1755.40s]  But it can be the function could be anything so you'll see lots of functions
