# Detected language: en (p=1.00)

[0.00s -> 2.84s]  All right, so welcome.
[576.68s -> 582.24s]  that signal handler will not get called until we unblock those.
[582.24s -> 584.52s]  Okay, so that's what's happening with this system.
[584.52s -> 588.52s]  We're basically saying, okay, look, now we're saying only unblock
[588.52s -> 593.56s]  after we print out our message, in the parent anyway,
[593.56s -> 596.24s]  after we print out that we've added the job to the job list.
[596.24s -> 598.96s]  Okay, now what I said in lecture the other day was, hey,
[598.96s -> 604.92s]  what happens if the child ends up sending,
[604.92s -> 611.08s]  if the child, let's say, sends a message that says,
[612.00s -> 616.24s]  or the child process does this execs the CVP, where is it here,
[616.24s -> 621.72s]  in the, let's see, I'm missing it here.
[621.72s -> 623.28s]  Oh, you know what, yeah, here it is, down here.
[623.28s -> 627.24s]  Okay, when the child does this, what if that process had its own children,
[627.24s -> 630.72s]  would the child signal handler get called,
[630.72s -> 634.08s]  and will we get this weird job removed from job list
[634.08s -> 636.20s]  when it wasn't even part of our program?
[636.20s -> 637.88s]  And the answer I said was, oh, it depends,
[637.88s -> 640.00s]  and we would have to check it out, and we'd have to block the signal.
[640.00s -> 642.84s]  No, I was wrong on that.
[642.84s -> 644.80s]  Here's what happens, and this is actually critical
[644.80s -> 651.20s]  to understanding the actual, the workings of this system.
[651.20s -> 656.96s]  When you call exe CVP, your entire program that is already running
[656.96s -> 659.84s]  in that child process is destroyed.
[659.84s -> 662.24s]  The new program is what starts running.
[662.24s -> 666.00s]  So there is no longer a signal handler
[666.00s -> 669.96s]  for the actual child process you created,
[669.96s -> 672.56s]  because by the time you do exe CVP,
[672.56s -> 678.16s]  there are no more functions in that original process to begin with.
[678.16s -> 681.60s]  Okay, so it doesn't really matter that the child has children processed.
[681.60s -> 685.72s]  Now, it does matter for blocked signals.
[685.72s -> 690.68s]  The signals get blocked across the exec CVP boundary as well,
[690.68s -> 695.84s]  so we do want to remove the signal right,
[695.84s -> 700.32s]  let's see, we want to unblock when we go into the child,
[700.32s -> 705.72s]  so the child, if the child's program did have its own children,
[705.72s -> 709.84s]  it wouldn't automatically have those children's signal blocked.
[709.84s -> 711.88s]  Does that hopefully clear things up a little bit?
[711.88s -> 716.16s]  The big idea is that exec CVP destroys everything in your original program,
[716.16s -> 719.36s]  so it's not like anything in the original program can get called again.
[719.36s -> 721.48s]  So that's what's happening there.
[721.48s -> 723.36s]  Okay, all right.
[723.40s -> 727.08s]  So, hang on, now my, now my, this won't clear.
[727.08s -> 729.96s]  I think this tablet is not long for this world.
[729.96s -> 733.04s]  Hang on a sec, clear.
[733.04s -> 736.40s]  Okay, we're going to do this, and clear.
[736.40s -> 738.44s]  There we go, okay.
[738.44s -> 741.28s]  All right, back to here.
[741.28s -> 744.28s]  So, we're going to keep talking about some signals, okay?
[744.28s -> 747.72s]  The two signal question, is there, no, yeah.
[747.88s -> 753.72s]  When you call exec CVP, does that trigger the child?
[753.72s -> 757.32s]  When you call exec CVP, that does not trigger the significant child.
[757.32s -> 761.40s]  Oh, and this was a good, that's a good point that I forgot to mention.
[761.40s -> 764.36s]  Somebody on Piazza said, oh, when exec CVP happens,
[764.36s -> 767.36s]  you get a whole new process ID and all that, you don't.
[767.36s -> 771.08s]  It's actually the same process ID that you started with in your child.
[771.08s -> 776.44s]  Okay, so to your question, when exec CVP happens,
[776.44s -> 779.60s]  the child is still alive throughout the running of that program.
[779.60s -> 783.36s]  When that program ends, the child itself ends.
[783.36s -> 785.32s]  Does that help?
[785.32s -> 790.84s]  I thought that when you call exec CVP, it doesn't return, so.
[790.84s -> 794.28s]  When you do exec CVP, it does not return, but it's still the child process.
[794.28s -> 799.08s]  And when that ends, that's when your child handler gets called.
[799.08s -> 801.04s]  Good question.
[801.04s -> 802.92s]  All right, all right.
[803.00s -> 809.60s]  So the other day I did mention two new kinds of system calls called kill and
[809.60s -> 810.92s]  raise.
[810.92s -> 815.68s]  Kill is a way to send a signal to another process, or your own process, but
[815.68s -> 817.56s]  you would use raise for that generally.
[817.56s -> 819.88s]  And you can send all the different signals, and
[819.88s -> 824.12s]  that's how you actually do it to notify the other
[825.96s -> 829.24s]  process that you actually are sending it some signal.
[829.24s -> 831.00s]  You use the kill command.
[831.00s -> 833.88s]  Now, unfortunately, because of the naming,
[833.88s -> 837.00s]  kill is not really named particularly well.
[837.00s -> 841.08s]  But let me just show you an example of how we might do this.
[841.08s -> 842.44s]  Let's do this first.
[842.44s -> 846.48s]  Man to kill, let's see.
[846.48s -> 848.92s]  So it's these two, I always get these wrong.
[851.56s -> 854.56s]  These two handlers right here, okay.
[854.56s -> 859.56s]  And then, or these two includes vim test kill dot.
[859.64s -> 862.92s]  Actually, we'll do test raise, cuz we'll send it to ourself.
[862.92s -> 866.04s]  Let's see, okay, we're gonna do that.
[866.04s -> 875.64s]  And we will also pound include stdio.h, okay, int main.
[875.64s -> 882.04s]  All right, printf, I am about to terminate my own process.
[884.64s -> 887.84s]  Sad face, okay.
[887.84s -> 894.48s]  And then we are going to use the raise command, or the raise system call.
[894.48s -> 896.60s]  The raise system call just takes the signal that you want it.
[896.60s -> 902.76s]  So if we send sig kill, that actually, we can say return zero.
[902.76s -> 903.88s]  But we will never get there,
[903.88s -> 907.72s]  because by the time we get there, this will already be terminated.
[907.72s -> 910.20s]  And that should actually do it.
[910.20s -> 916.92s]  Let's see, make test raise, okay, test raise kill.
[918.04s -> 920.92s]  All right, what happened was we sent a signal to our own process using
[920.92s -> 924.16s]  the raise system call, and it just terminated the process.
[924.16s -> 929.60s]  Okay, we could have done other ones as well, but that one will do that.
[929.60s -> 933.72s]  If we did, for instance, let's try a different one.
[933.72s -> 938.92s]  Sig stop, I think that might be the one.
[938.92s -> 941.72s]  I think that's the one.
[941.72s -> 944.96s]  Make test raise, oop, maybe it's not.
[945.56s -> 951.68s]  Let's see, does it say the different one?
[951.68s -> 955.24s]  Sig, did I spell it wrong?
[955.24s -> 957.32s]  It's not S-T, okay, of course.
[957.32s -> 960.72s]  Of course, I thought maybe they removed that O too.
[960.72s -> 965.56s]  Oop, maybe if I spell it right, how about that?
[965.56s -> 967.28s]  There we go, it's even in red.
[967.36s -> 978.20s]  Okay, so, oops, make test raise.
[978.20s -> 982.68s]  Sometimes the best laid plans, okay, test raise, okay, stop.
[982.68s -> 985.76s]  And then it actually stopped it, so it is still running as it turns out.
[985.76s -> 988.64s]  Well, it's not running anymore because the program actually, well,
[988.64s -> 991.64s]  it will, when I do this, it will actually say, go back into it and
[991.64s -> 996.08s]  end immediately, but sig stop pauses your program, right?
[996.12s -> 998.12s]  And actually, you use that for
[998.12s -> 1002.52s]  the Python program you're using in this week's assignment actually does that.
[1002.52s -> 1006.44s]  So the sig stop, which you can send to yourself, pauses your program
[1007.44s -> 1010.40s]  in temporarily, although I think it's a slightly different one that we're using.
[1010.40s -> 1010.96s]  Yes?
[1010.96s -> 1014.48s]  Why is it that the FG can actually continue to program?
[1014.48s -> 1017.44s]  FG, good question, the question is why does FG continue to program?
[1017.44s -> 1021.00s]  So once you have a background process, you can actually see all the different
[1021.00s -> 1025.32s]  jobs, FG puts one of them back in the foreground for you, FG for foreground.
[1026.24s -> 1032.96s]  Okay, so if we, let's do test raise again, and then it's in there.
[1032.96s -> 1036.12s]  If I type jobs, I believe, yeah, there we go,
[1036.12s -> 1037.96s]  it just tells you there's one stock job.
[1037.96s -> 1043.44s]  I could run the other one too, and then now there's two stock jobs like that.
[1043.44s -> 1045.84s]  And so if I put, I can put one of them back and then put the other one back,
[1045.84s -> 1047.76s]  and now that just starts them back up again.
[1047.76s -> 1048.64s]  Question, Sam?
[1048.64s -> 1051.84s]  Sleep keeps it in the foreground, or sleep also keeps it in the foreground?
[1051.84s -> 1055.88s]  Sleep does keep it in the foreground, so if we type just sleep,
[1056.72s -> 1060.96s]  it will keep it in the foreground and just not be running the program necessarily,
[1060.96s -> 1066.56s]  but not give back the terminal access to it.
[1066.56s -> 1067.80s]  Yeah, good question.
[1067.80s -> 1068.96s]  Okay.
[1068.96s -> 1069.84s]  All right, yes?
[1069.84s -> 1083.12s]  If you, good question, so if you, your question is if I'm like the child,
[1083.12s -> 1084.76s]  and I call SIG stop on the parent,
[1084.76s -> 1087.08s]  does the child, does it affect the child or the exec CVPR?
[1087.08s -> 1088.76s]  No, it doesn't affect that at all.
[1088.76s -> 1091.92s]  Once you have two processes, they can work independently
[1091.92s -> 1094.20s]  of each other almost completely, right?
[1094.20s -> 1096.60s]  Even the parent can end first, the child can end first,
[1096.60s -> 1098.76s]  or completely independently in that sense.
[1098.76s -> 1100.36s]  Yeah, good question.
[1100.36s -> 1101.96s]  Anybody else?
[1101.96s -> 1110.16s]  All right, so that's the kill system call and the raise system call,
[1110.16s -> 1113.56s]  and they just are used to actually send these signals.
[1113.60s -> 1115.52s]  Okay? All right.
[1115.52s -> 1121.48s]  Let's move on to some more signal handling, especially handling things
[1121.48s -> 1125.40s]  like race conditions and another thing called spinning,
[1125.40s -> 1127.72s]  which is what we want to avoid, and I'll show you what
[1127.72s -> 1130.12s]  that means as we get to it.
[1130.12s -> 1132.80s]  So remember the job, well, this is the program we just looked at,
[1132.80s -> 1135.76s]  the job list program that we had.
[1135.76s -> 1139.12s]  The reason we needed the fixed version was to have
[1139.84s -> 1145.48s]  that SIGPROC mask blocking our SIG child until the time
[1145.48s -> 1149.52s]  when we wanted it to actually work, okay?
[1149.52s -> 1157.00s]  The processes, okay, do have some control over SIG child signals,
[1157.00s -> 1162.92s]  and when you use the signal handling, the parent shouldn't need
[1162.92s -> 1168.00s]  to do anything special to like handle children anymore outside
[1168.00s -> 1173.44s]  of the actual signal handler, okay?
[1173.44s -> 1177.96s]  So, and by the way, signals, when you block them,
[1177.96s -> 1180.88s]  you might think to yourself, oh, that sounds draconian and whatever.
[1180.88s -> 1182.20s]  It's all about your process.
[1182.20s -> 1184.56s]  It's not like you're blocking things for other processes.
[1184.56s -> 1187.32s]  I mean, unless you exec CVP and so forth, but potentially
[1187.32s -> 1189.16s]  or ostensibly you know what you're doing
[1189.16s -> 1190.84s]  when you're writing your own program.
[1190.84s -> 1193.80s]  So it does seem somewhat draconian to do this,
[1193.80s -> 1196.36s]  like I'm blocking this whole signal from happening.
[1196.36s -> 1197.76s]  Well, you're writing the program,
[1197.76s -> 1200.92s]  so you get control over that, okay?
[1200.92s -> 1202.44s]  All right, so let's look at,
[1202.44s -> 1205.48s]  remember the simple shell example, and in fact, again,
[1205.48s -> 1209.08s]  you're going to write a much more advanced shell that we had.
[1209.08s -> 1211.08s]  Here's what it looks like, okay?
[1211.08s -> 1213.12s]  I'll blow this up here, all right?
[1213.12s -> 1220.28s]  The simple shell function actually does what?
[1220.28s -> 1225.12s]  It forks off of, there's other stuff in here too,
[1225.12s -> 1226.88s]  but it basically forks off,
[1226.88s -> 1228.20s]  there's code that we don't have in there
[1228.20s -> 1229.64s]  to initialize the command,
[1229.64s -> 1232.96s]  forks off a process that you type in a command for,
[1232.96s -> 1236.52s]  and then if you type the ampersand on it on the end,
[1236.52s -> 1239.52s]  it's in the background, and so it ends up in the background
[1239.52s -> 1241.36s]  and you get your shell prompt back.
[1241.36s -> 1244.52s]  If not, we've got this interesting wait PID in here
[1244.52s -> 1247.00s]  for foreground processes actually,
[1247.00s -> 1250.80s]  because the shell is waiting for the child to end.
[1250.80s -> 1253.32s]  When the child process is in the foreground,
[1253.36s -> 1256.16s]  the parent process wants to wait for it,
[1256.16s -> 1259.56s]  so that's why we have the wait PID here, okay?
[1259.56s -> 1262.80s]  Well, once we have signal handling,
[1262.80s -> 1264.72s]  maybe we want to change this a little bit, okay?
[1264.72s -> 1266.92s]  Because we haven't had signal handling before,
[1266.92s -> 1268.84s]  so we did it in this kind of,
[1268.84s -> 1270.36s]  this method where we've got,
[1270.36s -> 1272.96s]  oh, we're going to just wait PID, and by the way,
[1272.96s -> 1275.92s]  when does the background process
[1275.92s -> 1278.04s]  get cleaned up in this program?
[1278.04s -> 1283.04s]  I'm seeing some heads shaking.
[1284.52s -> 1286.56s]  Yeah, the background process doesn't get cleaned up
[1286.56s -> 1287.76s]  in this program, okay?
[1287.76s -> 1289.88s]  So that's kind of an error on our part.
[1289.88s -> 1291.72s]  We didn't even know how signals work before,
[1291.72s -> 1293.44s]  so we didn't have signal handlers,
[1293.44s -> 1296.16s]  so it was going to be impossible to actually do this.
[1296.16s -> 1299.44s]  But do you see how there is no wait PID
[1299.44s -> 1301.56s]  for the background process?
[1301.56s -> 1305.12s]  The background process prints the command
[1305.12s -> 1306.28s]  that's in the background,
[1306.28s -> 1309.04s]  and then it goes back and prints another terminal,
[1309.04s -> 1313.00s]  and then it never again cleans up that process, okay?
[1313.00s -> 1314.68s]  Which actually means it turns out
[1314.68s -> 1317.36s]  that as long as that shell is running,
[1317.36s -> 1320.04s]  that process is still not cleaned up, okay?
[1320.04s -> 1323.12s]  So it's kind of, I mean, it's kind of an error
[1323.12s -> 1326.20s]  in the sense that it's like not freeing memory
[1326.20s -> 1327.92s]  that should be freed and so forth.
[1327.92s -> 1331.16s]  So we want to avoid that if we can, okay?
[1331.16s -> 1334.08s]  So let's change this, okay?
[1334.08s -> 1338.88s]  So let's actually look at our simple shell program again.
[1338.88s -> 1342.38s]  Simple shell dot C, okay?
[1342.38s -> 1347.38s]  There are, let's see, let's see, do we have the actual,
[1347.88s -> 1350.24s]  yeah, this is the original here, okay?
[1350.24s -> 1352.92s]  And what we're gonna do is we are going to
[1352.92s -> 1355.32s]  add a couple things to this, okay?
[1355.32s -> 1360.32s]  We are going to, actually let me not use this one.
[1360.36s -> 1364.60s]  Let's do simple shell with redundancy,
[1366.12s -> 1367.80s]  which is a, there we go, okay.
[1367.80s -> 1369.88s]  So now we're going to have a reprocess
[1369.88s -> 1371.92s]  for our simple shell, okay?
[1371.92s -> 1376.56s]  And we are going to, actually this is here,
[1376.56s -> 1378.56s]  now gotten all that in there, okay?
[1378.56s -> 1380.90s]  We are gonna change this so that we actually use
[1380.90s -> 1384.72s]  that signal handler in our program, okay?
[1385.56s -> 1388.44s]  So what we want to do, okay,
[1388.44s -> 1393.36s]  is we want to do the same basic thing as before, okay?
[1393.36s -> 1395.84s]  We're gonna fork, okay?
[1395.84s -> 1398.08s]  And we are going to,
[1400.92s -> 1403.00s]  actually we should probably keep track of it,
[1403.00s -> 1406.70s]  PID T PID equals fork, okay?
[1406.70s -> 1411.02s]  We're gonna fork in our process here, okay?
[1411.02s -> 1415.36s]  If we are the child, okay, what are we going to do?
[1415.36s -> 1420.36s]  We are going to exec cvp argv zero and argv.
[1424.28s -> 1426.48s]  Now, by the way, this is not error checking.
[1426.48s -> 1428.00s]  In fact, let's do at least a little bit
[1428.00s -> 1429.40s]  of error checking in here.
[1430.58s -> 1433.82s]  In other words, if the exec cvp command fails,
[1433.82s -> 1436.34s]  which could be just because we typed the wrong command,
[1436.34s -> 1437.84s]  that would be bad, okay?
[1437.84s -> 1441.04s]  But so what we want to do is let's just print f,
[1441.88s -> 1446.88s]  I don't know, percent s, command not found,
[1447.98s -> 1451.12s]  or something like that, okay?
[1451.12s -> 1454.66s]  And then exit zero, and something like that.
[1456.46s -> 1458.12s]  Thank you, I need to tell which book it is.
[1458.12s -> 1463.12s]  Do I, by the way, let's see, argv zero.
[1463.52s -> 1467.68s]  Do I, by the way, need to have some if statement
[1467.68s -> 1469.36s]  in here to see whether or not
[1469.44s -> 1471.44s]  the command was not found.
[1471.44s -> 1472.34s]  Why not?
[1473.68s -> 1476.78s]  Because it'll never get there if exec cvp actually works,
[1476.78s -> 1478.68s]  destroys the entire program, okay.
[1478.68s -> 1480.04s]  So anyway, so that's that.
[1480.04s -> 1484.48s]  All right, now we're gonna have if is background.
[1484.48s -> 1486.28s]  Okay, what we're gonna do is we're gonna
[1486.28s -> 1490.24s]  just do the same thing as before, print f, okay,
[1490.24s -> 1495.24s]  percent d, percent s, n, okay?
[1495.32s -> 1498.88s]  Count PID, command, okay?
[1499.40s -> 1504.28s]  And we are going to do that, okay?
[1504.28s -> 1506.48s]  And this will get handled by the signal handler,
[1506.48s -> 1509.16s]  which we haven't installed yet, okay?
[1509.16s -> 1512.42s]  But what we wanna do is if it's not in the background,
[1512.42s -> 1514.28s]  okay, we wanna call this other function
[1514.28s -> 1518.62s]  called wait for background process.
[1518.62s -> 1521.56s]  And I'll show you how that works in a minute.
[1521.56s -> 1526.56s]  Process PID, and that, okay.
[1526.60s -> 1530.56s]  And then, let's see, do I need one more in here?
[1530.56s -> 1532.36s]  Nope, okay.
[1532.36s -> 1533.52s]  And so that's that.
[1533.52s -> 1534.98s]  Let's install a signal handler.
[1534.98s -> 1536.84s]  We're going to have a signal handler.
[1536.84s -> 1539.08s]  Oh, I got it, I guess I didn't put it up here already.
[1539.08s -> 1542.60s]  We're gonna have a signal handler for reprocesses, okay?
[1542.60s -> 1547.60s]  The reprocesses signal is going to do the following,
[1549.88s -> 1554.58s]  okay, while true, same thing as we've done
[1554.62s -> 1558.10s]  a number of times for these signals, okay?
[1558.10s -> 1563.10s]  While true, PID t PID equals wait PID negative one,
[1563.90s -> 1565.86s]  because we don't know which one we're waiting for.
[1565.86s -> 1570.58s]  W no hang, because we don't want it to actually wait
[1570.58s -> 1572.22s]  for the return, because we don't like it
[1572.22s -> 1574.26s]  when it waits long in a signal handler anyway,
[1574.26s -> 1575.78s]  and we don't have to do this anyway.
[1575.78s -> 1579.76s]  If PID is less than or equal to zero, break,
[1579.76s -> 1582.30s]  that means we either have it still running,
[1582.30s -> 1584.22s]  or something's, a process is still running,
[1584.82s -> 1587.90s]  or we don't have any left, okay?
[1587.90s -> 1592.90s]  And if PID equals, well, we are going to add
[1593.02s -> 1597.54s]  a new variable, okay, to see which,
[1597.54s -> 1599.42s]  if we have our child process, okay?
[1599.42s -> 1602.48s]  I'm gonna call it FGID, okay?
