# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[850.92s -> 852.20s]  I mean, you wouldn't clean up after the child.
[852.20s -> 854.84s]  Nothing else would actually happen in that case.
[854.84s -> 856.36s]  It would still actually work.
[856.36s -> 857.94s]  We can test it if you want, but that's it.
[857.94s -> 858.78s]  Any other questions on that?
[858.78s -> 860.44s]  Let's see if this one works now.
[861.64s -> 863.72s]  I just made it, five children, there we go.
[863.72s -> 866.36s]  Okay, so same thing again, waiting for three seconds
[866.36s -> 869.20s]  and then returns to dad, dad wakes up,
[869.20s -> 870.92s]  two more children are going to end
[870.92s -> 872.78s]  in the next five seconds.
[872.78s -> 877.72s]  And then finally the last two children end
[877.72s -> 880.68s]  and then dad wakes up and then we can say
[880.68s -> 882.12s]  that all children are accounted for.
[882.96s -> 884.40s]  Okay, so that's what's happening.
[884.40s -> 887.68s]  The main parent or the parent function is in that while loop
[887.68s -> 889.56s]  but just sleeping for five seconds
[889.56s -> 892.02s]  and the signal handler is happening
[892.02s -> 895.32s]  and when the dad gets done sleeping,
[895.32s -> 898.12s]  it goes, hey, all my children back, we're leaving.
[898.12s -> 898.96s]  Question.
[904.24s -> 906.20s]  Yes, that's exactly what we did when I didn't write that.
[906.20s -> 907.64s]  The question was, wait, if you didn't write
[907.64s -> 910.88s]  the reap child function, what would happen?
[910.88s -> 911.74s]  The dad would keep waking up
[912.32s -> 914.34s]  and then that global variable wouldn't be updated
[914.34s -> 916.58s]  so it would just stay at zero as it turns out.
[918.10s -> 918.92s]  Yeah.
[918.92s -> 920.76s]  When you call signal reap child,
[920.76s -> 924.30s]  are you giving it a function pointer to reap child?
[924.30s -> 925.56s]  Yeah, very good question.
[925.56s -> 930.08s]  When you call the signal function,
[930.08s -> 933.54s]  you're passing in a function pointer to reap child.
[934.74s -> 938.02s]  Why don't we give it to arguments?
[938.02s -> 940.02s]  Good question, well, you generally don't need
[940.02s -> 941.60s]  to give it arguments, it's a good question
[942.42s -> 945.96s]  but when you say signal, all it needs to know is reap child.
[945.96s -> 949.04s]  There's only one argument that reap child must take
[949.04s -> 951.64s]  and it'd have to be an integer for the signal number.
[951.64s -> 953.24s]  Which is it, yeah, good question.
[953.24s -> 954.06s]  Yeah, Ernie.
[954.06s -> 956.48s]  How does cleaning up after the children
[956.48s -> 959.76s]  like make the dad stop the number?
[959.76s -> 961.68s]  Cleaning up after the children does not do that
[961.68s -> 962.96s]  and a good question, like you're saying,
[962.96s -> 964.80s]  why does cleaning up after the children make it happen?
[964.80s -> 967.16s]  It's this that makes the dad,
[967.16s -> 968.92s]  because it's a global variable
[968.92s -> 972.24s]  that is being updated by the signal handler.
[972.24s -> 973.36s]  Now, if you're thinking, wait a minute,
[973.36s -> 976.18s]  I thought children and parents have different memories
[976.18s -> 977.92s]  and so if I update the global variable here,
[977.92s -> 979.26s]  it's not gonna update the parent.
[979.26s -> 984.26s]  Remember, this function is not happening in the child,
[984.54s -> 986.36s]  this function is happening in the parent
[986.36s -> 988.24s]  when the child ends.
[988.24s -> 990.48s]  So it in fact is the same global variable.
[992.38s -> 996.00s]  All right, so that's what happens here.
[996.00s -> 998.10s]  What if we, I guess I'll just change it here.
[998.14s -> 1000.50s]  What if we change something and say,
[1000.50s -> 1002.72s]  let's let all the children
[1005.22s -> 1008.74s]  sleep for the same amount of time?
[1009.86s -> 1011.38s]  So in other words, they're all gonna go out and play
[1011.38s -> 1012.30s]  and they're all gonna come back
[1012.30s -> 1013.30s]  with the exact same amount of time.
[1013.30s -> 1016.58s]  Let's find out what happens if we do this.
[1020.54s -> 1022.10s]  Five children, okay.
[1022.10s -> 1025.18s]  So now, same thing's gonna happen,
[1025.18s -> 1026.36s]  they all come back at the same time,
[1026.36s -> 1028.06s]  maybe in some other different order
[1028.90s -> 1033.74s]  and then five seconds later, dad wakes up again
[1033.74s -> 1037.46s]  and we got all the children back,
[1037.46s -> 1040.46s]  but somehow numChildrenDone
[1040.46s -> 1043.08s]  must not have been updated correctly.
[1043.08s -> 1045.18s]  Okay, let's actually see what happens.
[1045.18s -> 1047.62s]  Let's look at this again like this.
[1047.62s -> 1048.46s]  Let's do this.
[1048.46s -> 1051.62s]  In the handler, let's just do this,
[1051.62s -> 1056.62s]  printf numChildrenDonePlaying, like that.
[1058.06s -> 1063.06s]  And let's see, that should do it.
[1064.46s -> 1068.22s]  And it is going to be num, I'm gonna try this again.
[1068.22s -> 1069.46s]  Oh, that time it worked.
[1069.46s -> 1071.08s]  Okay, all right.
[1071.08s -> 1073.42s]  And then that should do it.
[1074.66s -> 1079.04s]  Okay, so new, five children, there we go.
[1079.04s -> 1082.32s]  All right, and so let's see what happens.
[1082.32s -> 1085.28s]  Oh, well, it looks like four of them
[1085.28s -> 1088.52s]  seem to have come back all at once
[1088.52s -> 1091.32s]  and called that signal handler once.
[1092.50s -> 1095.32s]  It turns out that if children end
[1095.32s -> 1098.28s]  at roughly the same time, this is by the way,
[1098.28s -> 1100.06s]  this is a kernel race condition
[1100.06s -> 1101.86s]  and this is how the kernel handles it.
[1101.86s -> 1104.80s]  If a bunch of children end at the same time,
[1104.80s -> 1107.82s]  the kernel will just say, fine,
[1107.82s -> 1110.04s]  I am going to call one instance
[1110.04s -> 1112.56s]  of the child handler function.
[1112.56s -> 1114.72s]  You get to deal with whether or not
[1115.48s -> 1117.76s]  what the ramifications of that is.
[1117.76s -> 1119.18s]  Okay, so it's kind of a race condition
[1119.18s -> 1120.84s]  in the sense that, in this case,
[1120.84s -> 1123.58s]  four of them were handled by only one
[1123.58s -> 1126.98s]  child handler process happening at the same time.
[1126.98s -> 1128.96s]  The nice thing about it is that
[1128.96s -> 1132.64s]  if you are already in the signal handler
[1132.64s -> 1134.52s]  and another child ends,
[1134.52s -> 1137.52s]  it will call the signal handler again.
[1137.52s -> 1140.16s]  So it's not that you lose any children,
[1140.16s -> 1141.76s]  it's just that you have to deal with
[1141.80s -> 1145.56s]  all the ones that have ended already immediately.
[1145.56s -> 1148.36s]  Okay, and you have to do that inside the child handler.
[1148.36s -> 1149.44s]  We'll see how that goes.
[1149.44s -> 1150.28s]  Yeah, question.
[1150.28s -> 1152.24s]  Just to make sure I get what you just said.
[1152.24s -> 1155.64s]  It's not that children are interrupting each other
[1155.64s -> 1157.12s]  before it's incremented,
[1157.12s -> 1159.36s]  it's that they're coming in at the same time
[1159.36s -> 1162.60s]  and the kernel says, run it once, increment it once.
[1162.60s -> 1164.08s]  Exactly, so the question,
[1164.08s -> 1165.58s]  the comment, it's a perfect comment.
[1165.58s -> 1168.64s]  The comment was, it's not that the children
[1168.64s -> 1171.20s]  are ending and not being processed
[1171.80s -> 1173.52s]  like the signal handler is not getting called for them.
[1173.52s -> 1175.48s]  It's that they're all coming in at the same time.
[1175.48s -> 1177.84s]  The function is only getting called once
[1177.84s -> 1181.80s]  and therefore when they've already ended
[1181.80s -> 1184.04s]  and that function only ends up incrementing
[1184.04s -> 1186.48s]  num children done once.
[1186.48s -> 1190.36s]  What we can do is we can modify our program
[1190.36s -> 1192.36s]  to actually say, oh, all right,
[1192.36s -> 1196.20s]  well, maybe if all those children are,
[1196.20s -> 1198.04s]  if all those children have ended
[1198.04s -> 1201.16s]  when the signal handler happens, let's do this.
[1202.00s -> 1205.84s]  While true, inside our signal handler,
[1205.84s -> 1207.52s]  I'm gonna get rid of this for now
[1207.52s -> 1210.32s]  just so we don't, because we don't need that right now.
[1210.32s -> 1215.32s]  Okay, when the, while true,
[1216.04s -> 1217.86s]  what we're gonna do is we're gonna wait
[1217.86s -> 1220.64s]  for all of the children.
[1220.64s -> 1223.78s]  Okay, and if the return value for wait PID,
[1223.78s -> 1227.98s]  which normally is the child that was just waited for,
[1227.98s -> 1232.98s]  if it returns negative, or if it returns negative one,
[1233.34s -> 1235.06s]  there were, I guess, a negative number,
[1235.06s -> 1237.62s]  it means that there are no more children waiting
[1237.62s -> 1238.82s]  in that one like thing.
[1238.82s -> 1240.38s]  Now, if another one happens to end,
[1240.38s -> 1242.78s]  it will call the signal handler again.
[1242.78s -> 1244.98s]  Okay, so it's not like you have to kind of keep waiting
[1244.98s -> 1245.82s]  and maybe it's happened.
[1245.82s -> 1247.84s]  There's no more race conditions in that case.
[1247.84s -> 1249.58s]  Okay, so what you need to do in this case
[1249.58s -> 1250.42s]  is you need to say,
[1250.42s -> 1252.66s]  oh, all right, we better capture the PID for this.
[1252.66s -> 1255.78s]  Right, and if PID is less than zero,
[1255.78s -> 1257.30s]  we're just gonna return.
[1257.62s -> 1259.18s]  So we're basically gonna break out of the while loop
[1259.18s -> 1262.26s]  after we've now handled all of the potential children
[1262.26s -> 1264.10s]  that may have ended in that case.
[1265.38s -> 1266.86s]  Okay, question, yeah.
[1266.86s -> 1271.86s]  So why is the PID less than one for the last child?
[1272.90s -> 1274.54s]  It's not less than one for the last child.
[1274.54s -> 1276.14s]  It's that we're recalling,
[1276.14s -> 1278.18s]  we're gonna call wait PID again.
[1278.18s -> 1280.72s]  There are no more children to end.
[1280.72s -> 1282.86s]  Therefore, wait PID says there's no more children
[1282.86s -> 1286.00s]  that have ended now.
[1286.00s -> 1290.28s]  Therefore, we are going to return.
[1291.84s -> 1293.42s]  Why would that help?
[1294.42s -> 1295.84s]  Why would that help?
[1295.84s -> 1297.16s]  I'm not allowed to say anything.
[1297.16s -> 1299.20s]  Well, for every child that's ended
[1299.20s -> 1300.68s]  in this little loop here, right,
[1300.68s -> 1303.36s]  it's going to stay in that loop
[1303.36s -> 1308.00s]  until it says no more children have left.
[1308.00s -> 1309.84s]  That's what's happening here.
[1309.84s -> 1311.16s]  You're not get that?
[1311.16s -> 1313.20s]  Will they finish at the same time still?
[1313.20s -> 1314.44s]  If they finish at the same time, that's okay,
[1314.44s -> 1315.40s]  but then we've got a while loop
[1315.64s -> 1316.48s]  that's gonna get the first one,
[1316.48s -> 1317.32s]  then the second one, then the third one,
[1317.32s -> 1318.92s]  then the fourth one, and it's gonna keep going
[1318.92s -> 1321.04s]  in the while loop and just keep asking them.
[1321.04s -> 1323.24s]  And one of them will end up being the one
[1323.24s -> 1325.12s]  that the wait PID captures.
[1325.12s -> 1327.08s]  We don't know which one, but one of them will.
[1327.08s -> 1328.24s]  Then we'll go through the while loop again,
[1328.24s -> 1329.72s]  and it will return a PID.
[1329.72s -> 1331.26s]  So we'll go, oh, we're not gonna break.
[1331.26s -> 1332.40s]  We're then gonna go do it again
[1332.40s -> 1333.60s]  and do it again and do it again
[1333.60s -> 1336.12s]  until all the children are captured.
