# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[866.36s -> 869.22s]  and then returns to dad, dad wakes up,
[869.22s -> 870.94s]  two more children are going to end
[870.94s -> 872.78s]  in the next five seconds.
[872.78s -> 877.74s]  And then finally the last two children end
[877.74s -> 880.70s]  and then dad wakes up and then we can say
[880.70s -> 882.10s]  that all children are accounted for.
[882.86s -> 883.90s]  Okay, so that's what's happening.
[883.90s -> 886.78s]  The main parent or the parent function
[886.78s -> 888.38s]  is in that while loop, but just sleeping
[888.38s -> 892.02s]  for five seconds and the signal handler is happening.
[892.02s -> 895.30s]  And when the dad gets done sleeping,
[895.30s -> 898.14s]  it goes, hey, all my children back, we're leaving.
[898.14s -> 899.48s]  Question.
[899.48s -> 902.10s]  So if you didn't write the reach out function,
[902.10s -> 904.22s]  dad would just keep waking up?
[904.22s -> 905.30s]  Yes, that's exactly what we did
[905.30s -> 906.18s]  when I didn't write that.
[906.18s -> 907.62s]  The question was, wait, if you didn't write
[907.62s -> 910.86s]  the reach out function, what would happen?
[910.90s -> 913.04s]  Dad would keep waking up and then that global variable
[913.04s -> 915.74s]  wouldn't be updated, so it would just stay at zero
[915.74s -> 918.10s]  as it turns out, yeah.
[918.10s -> 918.92s]  Yeah.
[918.92s -> 920.76s]  When you call signal, read child,
[920.76s -> 922.50s]  are you giving it like a function pointer
[922.50s -> 924.30s]  to read child or like one?
[924.30s -> 925.56s]  Yeah, very good question.
[925.56s -> 930.08s]  When you call the signal function,
[930.08s -> 933.54s]  you are passing in a function pointer to read child.
[934.74s -> 938.02s]  Why don't we need to give it to arguments?
[938.02s -> 940.02s]  Good question, well, you generally don't need
[940.02s -> 941.58s]  to give it arguments, it's a good question,
[941.58s -> 944.62s]  but when you say signal, all it needs to know
[944.62s -> 947.62s]  is read child, there's only one argument
[947.62s -> 949.46s]  that read child must take and it happened
[949.46s -> 951.62s]  to be an integer for the signal number.
[951.62s -> 953.18s]  Which is it, yeah, good question.
[953.18s -> 954.02s]  Yeah, you're in there.
[954.02s -> 956.70s]  How does cleaning up after the children
[956.70s -> 959.74s]  make the dad stop the number?
[959.74s -> 961.66s]  Cleaning up after the children does not do that.
[961.66s -> 962.66s]  And a good question, like you're saying,
[962.66s -> 964.78s]  why does cleaning up after the children make it happen?
[964.78s -> 967.10s]  It's this that makes the dad,
[967.10s -> 969.98s]  because it's a global variable that is being updated
[970.82s -> 972.22s]  by the signal handler.
[972.22s -> 973.36s]  Now, if you're thinking, wait a minute,
[973.36s -> 976.18s]  I thought children and parents have different memories
[976.18s -> 977.90s]  and so if I update the global variable here,
[977.90s -> 979.26s]  it's not gonna update the parent.
[979.26s -> 982.38s]  Remember, it's not, none of these,
[982.38s -> 984.54s]  this function is not happening in the child,
[984.54s -> 986.38s]  this function is happening in the parent
[986.38s -> 988.24s]  when the child ends.
[988.24s -> 990.48s]  So it in fact is the same global variable.
[992.38s -> 995.98s]  All right, so that's what happens here.
[995.98s -> 998.10s]  What if we, so let's change it here.
[998.14s -> 1000.50s]  What if we change something and say,
[1000.50s -> 1002.70s]  let's let all the children
[1005.22s -> 1009.50s]  sleep for the same amount of time?
[1009.50s -> 1011.06s]  Okay, so in other words, they're all gonna go out
[1011.06s -> 1012.30s]  and play and they're all gonna come back
[1012.30s -> 1013.30s]  with the exact same amount of time.
[1013.30s -> 1016.58s]  Let's find out what happens if we do this.
[1020.54s -> 1022.10s]  Five children, okay.
[1022.10s -> 1025.18s]  So now, same thing's gonna happen,
[1025.18s -> 1026.36s]  they all come back at the same time,
[1026.36s -> 1028.06s]  maybe in some other different order,
[1028.90s -> 1032.50s]  right, dad wakes up and then five seconds later,
[1032.50s -> 1037.46s]  dad wakes up again and we got all the children back,
[1037.46s -> 1040.48s]  but somehow numb children done
[1040.48s -> 1043.08s]  must not have been updated correctly.
[1043.08s -> 1045.18s]  Okay, let's actually see what happens.
[1045.18s -> 1047.62s]  Let's look at this again like this.
[1047.62s -> 1050.82s]  Let's do this, in the handler,
[1050.82s -> 1055.82s]  let's just do this, print f numb children done playing,
[1056.82s -> 1061.82s]  like that and let's see, that should do it
[1064.46s -> 1067.10s]  and it is going to be numb.
[1067.10s -> 1068.22s]  I'm gonna try this again.
[1068.22s -> 1070.30s]  Oh, that time it worked, okay.
[1070.30s -> 1073.42s]  All right, and then that should do it.
[1074.66s -> 1079.04s]  Okay, so no, five children, there we go.
[1079.04s -> 1082.30s]  All right, and so let's see what happens.
[1082.30s -> 1085.26s]  Oh, well, it looks like four of them
[1085.26s -> 1088.50s]  seem to have come back all at once
[1088.50s -> 1091.28s]  and called that signal handler once.
[1092.46s -> 1095.30s]  It turns out that if children end
[1095.30s -> 1098.26s]  at roughly the same time, this is by the way,
[1098.26s -> 1100.02s]  this is a kernel race condition
[1100.02s -> 1101.82s]  and this is how the kernel handles it.
[1101.82s -> 1104.76s]  If a bunch of children end at the same time,
[1104.76s -> 1107.78s]  the kernel will just say, fine,
[1107.78s -> 1110.02s]  I am going to call one instance
[1110.02s -> 1112.50s]  of the child handler function.
[1112.50s -> 1114.70s]  You get to deal with whether or not
[1114.70s -> 1117.74s]  like what the ramifications of that is.
[1117.74s -> 1119.18s]  Okay, so it's kind of a race condition
[1119.18s -> 1120.82s]  in the sense that in this case,
[1120.82s -> 1125.06s]  four of them were handled by only one child handler process
[1125.06s -> 1126.98s]  like happening at the same time.
[1126.98s -> 1130.38s]  The nice thing about it is that if you are already
[1130.38s -> 1134.54s]  in the child, that signal handler and another child ends,
[1134.54s -> 1137.52s]  it will call the signal handler again.
[1137.56s -> 1140.20s]  So it's not that you lose any children,
[1140.20s -> 1142.34s]  it's just that you have to deal with all the ones
[1142.34s -> 1145.56s]  that have ended already immediately.
[1145.56s -> 1148.36s]  Okay, and you have to do that inside the child handler.
[1148.36s -> 1149.44s]  We'll see how that goes.
[1149.44s -> 1150.28s]  Yeah, question.
[1150.28s -> 1152.28s]  Just to make sure I get what you just said.
[1152.28s -> 1155.68s]  It's not that children are interrupting each other
[1155.68s -> 1158.52s]  before it's incremented, it's that they're coming in
[1158.52s -> 1160.28s]  at the same time and the kernel says,
[1160.28s -> 1162.08s]  run it once, increment it once.
[1162.08s -> 1162.92s]  It's not like they're trying to.
[1162.92s -> 1164.64s]  Exactly, so the question, the comment,
[1164.64s -> 1165.60s]  it's a perfect comment.
[1165.60s -> 1169.44s]  The comment was, it's not that the children are ending
[1169.44s -> 1171.80s]  and not being processed and not,
[1171.80s -> 1173.54s]  like the signal handler is not getting called for them.
[1173.54s -> 1175.48s]  It's that they're all coming in at the same time.
[1175.48s -> 1177.84s]  The function is only getting called once
[1177.84s -> 1181.80s]  and therefore when, and they've already ended
[1181.80s -> 1184.04s]  and that function only ends up incrementing
[1184.04s -> 1186.48s]  num children done once.
[1186.48s -> 1190.36s]  What we can do is we can modify our program
[1190.36s -> 1192.52s]  to actually say, oh, all right, well,
[1192.56s -> 1196.20s]  maybe if all those children are,
[1196.20s -> 1198.04s]  if all those children have ended
[1198.04s -> 1201.16s]  when the signal handler happens, let's do this.
[1201.16s -> 1205.82s]  While true, inside our signal handler,
[1205.82s -> 1207.52s]  I'm gonna get rid of this for now,
[1207.52s -> 1210.32s]  just so we don't, because we don't need that right now.
[1210.32s -> 1215.32s]  Okay, when the, while true, okay,
[1216.04s -> 1217.86s]  what we're gonna do is we're gonna wait
[1217.86s -> 1221.32s]  for all of the children, okay,
[1221.32s -> 1223.76s]  and if the return value for wait PID,
[1223.76s -> 1227.96s]  which normally is the child that was just waited for,
[1227.96s -> 1232.96s]  if it returns negative, or if it returns negative one,
[1233.32s -> 1235.06s]  there were, I guess, a negative number,
[1235.06s -> 1237.60s]  it means that there are no more children waiting
[1237.60s -> 1238.82s]  in that one like thing.
[1238.82s -> 1240.36s]  Now, if another one happens to end,
[1240.36s -> 1243.04s]  it will call the signal handler again, okay?
[1243.04s -> 1245.00s]  So it's not like you have to kind of keep waiting
[1245.00s -> 1245.84s]  and maybe it's happened.
[1245.84s -> 1248.36s]  There's no more race conditions in that case, okay?
[1248.36s -> 1250.00s]  So what you need to do in this case is you need to say,
[1250.52s -> 1252.84s]  we better capture the PID for this, right?
[1252.84s -> 1257.52s]  And if PID is less than zero, we're just gonna return, okay?
[1257.52s -> 1259.08s]  So we're basically gonna break out of the while loop
[1259.08s -> 1262.18s]  after we've now handled all of the potential children
[1262.18s -> 1266.08s]  that may have ended in that case, okay?
[1266.08s -> 1266.92s]  Question, yeah?
[1266.92s -> 1271.92s]  So why is the PID less than one for the last child?
[1272.80s -> 1274.44s]  It's not less than one for the last child.
[1274.44s -> 1276.08s]  It's that we're recalling,
[1276.08s -> 1278.10s]  we're gonna call wait PID again.
[1278.18s -> 1280.70s]  There are no more children that have to end,
[1280.70s -> 1281.94s]  therefore, wait PID says,
[1281.94s -> 1286.00s]  there's no more children that have ended now,
[1286.00s -> 1290.26s]  therefore, we are going to return.
[1291.74s -> 1292.90s]  Why would that help?
[1294.14s -> 1295.06s]  Why would that help?
[1295.06s -> 1296.62s]  Like, I'm not allowed to make it-
[1296.62s -> 1298.06s]  This will, well, this will,
[1298.06s -> 1300.10s]  for every child that's ended in this little loop here,
[1300.10s -> 1303.34s]  right, it's going to stay in that loop
[1303.34s -> 1307.98s]  until it says no more children are left.
[1307.98s -> 1309.80s]  That's what's happening here.
[1309.80s -> 1310.90s]  You know, I get that?
[1310.90s -> 1314.42s]  If they finish at the same time, that's okay,
[1314.42s -> 1315.38s]  but then we've got a while loop
[1315.38s -> 1316.22s]  that's gonna get the first one,
[1316.22s -> 1317.30s]  then the second one, then the third one,
[1317.30s -> 1318.14s]  then the fourth one,
[1318.14s -> 1319.90s]  and it's gonna keep going in the while loop
[1319.90s -> 1321.02s]  and just keep asking.
[1321.02s -> 1323.22s]  And one of them will end up being the one
[1323.22s -> 1325.10s]  that the wait PID captures.
[1325.10s -> 1327.06s]  We don't know which one, but one of them will.
[1327.06s -> 1328.22s]  Then we'll go through the while loop again
[1328.22s -> 1329.70s]  and it will return a PID.
[1329.70s -> 1331.26s]  So we'll go, oh, we're not gonna break.
[1331.26s -> 1333.06s]  We're then gonna go do it again and do it again
[1333.06s -> 1337.38s]  and do it again until all the children are captured, okay?
[1338.66s -> 1339.94s]  Still don't get it.
[1339.94s -> 1340.78s]  You have a question about it?
[1340.78s -> 1341.62s]  Go ahead.
[1341.62s -> 1342.46s]  Think of a question, yeah.
[1342.46s -> 1345.86s]  Just to clarify, so wait PID is getting called once,
[1345.86s -> 1347.30s]  but that doesn't necessarily,
