# Detected language: en (p=1.00)

[0.00s -> 1.48s]  Hello, hello.
[193.04s -> 195.64s]  Oh, uh-oh, that's not good.
[195.64s -> 197.88s]  Hold on a sec, there we go, okay.
[197.88s -> 198.84s]  There we go, okay.
[199.00s -> 203.44s]  If you type Umask, then it will tell you
[203.44s -> 206.76s]  your default user permissions, right?
[206.76s -> 210.00s]  And in fact, remember, 077,
[210.00s -> 211.80s]  we'll go over the details of this in a minute,
[211.80s -> 215.84s]  means that the zero, the second zero after the zero,
[215.84s -> 217.92s]  meaning it's an octal number,
[217.92s -> 222.36s]  the actual this zero here means that the user
[222.36s -> 224.64s]  can write whatever permissions it wants, okay?
[224.64s -> 226.28s]  So it'll be read, write, execute,
[226.28s -> 228.16s]  whatever permissions the program tries to write,
[228.48s -> 229.32s]  it will be able to write it.
[229.32s -> 232.08s]  The seven in the seven means that the group
[232.08s -> 236.60s]  and any other people, not the owner,
[236.60s -> 239.44s]  cannot write directly to the,
[239.44s -> 243.20s]  or cannot actually have those permissions set, okay?
[243.20s -> 245.04s]  So let me give you an example, all right?
[245.04s -> 248.88s]  If we actually, if I do the following,
[248.88s -> 253.04s]  where I type touch,
[253.04s -> 255.54s]  let's say test1.txt,
[255.54s -> 260.06s]  and then do ls-l test1.txt.
[260.06s -> 263.86s]  Okay, notice that it gave read write permissions.
[263.86s -> 265.46s]  When you do touch, it doesn't do
[265.46s -> 267.06s]  the execute permissions anyway.
[267.06s -> 270.86s]  The touch file, the touch will attempt to do the user,
[270.86s -> 273.94s]  to do the read write for anybody it's allowed to.
[273.94s -> 277.50s]  The Umask, because 077 says you can't do that, okay?
[277.50s -> 282.50s]  But if I changed Umask to zero, okay,
[282.66s -> 286.10s]  well, that would now, now if I just actually check it,
[286.10s -> 288.54s]  right, it's zero, which means that if I tried
[288.54s -> 291.46s]  to set a particular permission for the owner,
[291.46s -> 294.18s]  the, or sorry, the, yeah, the owner,
[294.18s -> 297.72s]  anybody else, and the group, it will now allow me to.
[297.72s -> 301.02s]  So if I do touch test2.txt,
[301.02s -> 303.78s]  let's see if this is different, oops,
[303.78s -> 306.64s]  test2.txt, guess what?
[306.64s -> 308.86s]  It set all the permissions that way, okay?
[308.86s -> 311.02s]  So it's all about the user, you,
[311.06s -> 312.98s]  having control over what gets set,
[312.98s -> 316.46s]  regardless of what the program tries to set, okay?
[316.46s -> 318.70s]  So in other words, the touch program said,
[318.70s -> 321.66s]  set the read write permissions for the owner,
[321.66s -> 323.18s]  the group, and everybody else,
[323.18s -> 327.98s]  and the original Umask blocked out the setting
[327.98s -> 331.78s]  of the permissions for the group and anybody else, okay?
[331.78s -> 333.62s]  Does that make sense about what's going on now?
[333.62s -> 336.30s]  It's basically, the Umask is saying,
[336.30s -> 338.02s]  you as the user get to control this.
[338.02s -> 340.18s]  If another program tries to set the permissions,
[340.22s -> 341.66s]  it won't let it, or it will let it,
[341.66s -> 344.38s]  depending on what your situation is.
[344.38s -> 345.22s]  Yes, question?
[345.22s -> 346.46s]  What is touch?
[346.46s -> 349.40s]  Touch actually creates, like, an empty file.
[349.40s -> 350.90s]  Yeah, that's all, yeah?
[350.90s -> 352.86s]  We only need, like, three octal numbers
[352.86s -> 354.30s]  that you code, like what we want,
[354.30s -> 355.94s]  and what we don't want in our permissions,
[355.94s -> 358.10s]  so what's the first number that's in there?
[358.10s -> 359.54s]  The first one here?
[359.54s -> 360.82s]  In Umask, we did it.
[360.82s -> 363.54s]  Oh, the first one in Umask is the,
[363.54s -> 366.26s]  it's the fact that it is an octal number.
[367.18s -> 368.58s]  Yeah, I believe that's what it is anyway,
[368.94s -> 370.42s]  you put a zero before three digits,
[370.42s -> 373.58s]  and it means it's an octal number in Unix talk.
[373.58s -> 374.74s]  It's really normally what it is.
[374.74s -> 375.58s]  What other question on that?
[375.58s -> 376.40s]  Yeah?
[376.40s -> 378.66s]  So when you have, when you have, like,
[378.66s -> 382.82s]  you just did Umask, and then it was zero, seven, seven.
[382.82s -> 386.06s]  Isn't, isn't it, the way Umask, seven, eight,
[386.06s -> 387.58s]  all three bits are on?
[387.58s -> 389.14s]  Right, so this is a good question.
[389.14s -> 390.38s]  So the question was, wait a minute, wait a minute,
[390.38s -> 393.42s]  I thought all three ones were the bits were on.
[393.42s -> 394.70s]  I'm gonna go over that in a second.
[394.70s -> 396.26s]  Umask is the reverse.
[396.26s -> 397.18s]  Why?
[397.18s -> 398.18s]  I couldn't find out.
[398.70s -> 399.54s]  I'm like, I did all sorts of searching,
[399.54s -> 400.74s]  and I'm like, why would this be the case?
[400.74s -> 401.98s]  Not exactly sure.
[401.98s -> 404.36s]  The way you use it, I'll show you in a second.
[404.36s -> 405.20s]  Very good question.
[405.20s -> 406.02s]  Yeah?
[406.02s -> 407.86s]  So if all of them are on, why aren't they
[407.86s -> 409.98s]  the size of the hex model?
[409.98s -> 413.22s]  These files were created for various other reasons.
[413.22s -> 416.46s]  Like, other programs created these ones, yeah.
[416.46s -> 419.54s]  So, and it's, it's the default for touch,
[419.54s -> 423.18s]  for instance, doesn't ever try to set the executable.
[423.18s -> 424.02s]  So that's that.
[424.02s -> 425.26s]  Okay, let's go over some more details
[425.26s -> 426.90s]  about any other big ones on this one.
[426.90s -> 428.82s]  Again, this is not the most important part of this class,
[428.82s -> 430.50s]  so I don't want to spend an hour
[430.50s -> 431.86s]  kind of going over the nuances of it.
[431.86s -> 434.94s]  Except to say that there are,
[434.94s -> 437.14s]  remember there are three parts to the permissions.
[437.14s -> 439.22s]  There's the owner in red,
[439.22s -> 442.06s]  and sorry for colorblind people, I apologize.
[442.06s -> 446.58s]  There's owner in red, and then I put green for the,
[446.58s -> 450.38s]  for the group, and then blue for the other.
[450.38s -> 452.58s]  Anybody else who's not in your group and not you.
[452.58s -> 453.70s]  And that's what it is.
[453.70s -> 457.62s]  And by the, permissions are just bits, right?
[457.62s -> 459.38s]  So if you have a permissions,
[459.38s -> 463.90s]  if you want permissions rw dash, rw dash, rw dash,
[463.90s -> 467.18s]  that would be one, one, zero, one, one, zero, one, one, zero.
[467.18s -> 471.34s]  Or, well, one, one, zero happens to be octal six,
[471.34s -> 473.58s]  and then octal six, and octal six.
[473.58s -> 477.98s]  Okay, so zero, six, six, six would be the permissions
[477.98s -> 481.50s]  for rw dash, rw dash, rw dash.
[482.18s -> 485.50s]  Now, the mask does the reverse,
[485.50s -> 487.78s]  like it's the reverse, and again,
[487.78s -> 489.66s]  I'm not exactly sure why.
[489.66s -> 490.50s]  I'm also not sure, whoops,
[490.50s -> 493.46s]  I'm also not sure why this little black line,
[493.46s -> 496.26s]  hang on, let me see if I can't get rid of that for a sec.
[497.46s -> 499.30s]  That is kind of weird.
[499.30s -> 502.26s]  Maybe that, hang on, let me try this.
[502.26s -> 505.26s]  Nope, well, okay, it's just gonna stay there for a while.
[507.30s -> 508.66s]  Hang on, yeah, I'm not sure why.
[508.70s -> 513.70s]  Well, anyway, so the U-mask is actually applied as follows.
[515.22s -> 519.78s]  Okay, so if the U-mask is zero, zero, seven,
[519.78s -> 522.94s]  or zero, seven, seven, in other words, octal zero, seven,
[522.94s -> 525.26s]  seven, that would be this U-mask,
[525.26s -> 527.74s]  and it basically says you're not allowed
[527.74s -> 532.74s]  to create permissions for any of the group or the other.
[534.14s -> 535.30s]  That's the bottom line for it.
[535.30s -> 537.90s]  And what it does, and it kind of stinks that this is,
[537.98s -> 539.34s]  I've got this weird black box in here,
[539.34s -> 543.06s]  but it basically does whatever you're attempting to set,
[544.18s -> 547.94s]  bitwise ANDs it with the inverse of the U-mask,
[547.94s -> 549.26s]  and that's how it actually gets
[549.26s -> 551.46s]  the actual permissions that are set.
[551.46s -> 552.54s]  Okay, so that's how it goes,
[552.54s -> 554.16s]  and I did a little example here
[554.16s -> 556.62s]  of if you're trying to set this,
[556.62s -> 559.54s]  RW dash, RW dash, RW dash,
[559.54s -> 564.54s]  and you have a U-mask that's zero and all ones,
[565.06s -> 567.54s]  then it does the inverse of it,
[568.06s -> 568.88s]  ANDs it against that,
[568.88s -> 571.78s]  and you get the permissions out like this.
[571.78s -> 573.40s]  That's all there is to it.
[573.40s -> 575.70s]  What other questions do you have on this stuff?
[576.82s -> 577.66s]  Yep?
[577.66s -> 578.48s]  What does a group mean?
[578.48s -> 579.32s]  So I think you said before
[579.32s -> 581.34s]  that maybe you can be part of multiple groups.
[581.34s -> 583.70s]  So what does a group permission actually mean?
[583.70s -> 587.24s]  Yeah, so let's do, let me show you.
[587.24s -> 588.08s]  That's a good question
[588.08s -> 589.86s]  about what is an actual group here.
[589.86s -> 593.34s]  And again, I wish I could get rid of this little thing.
[593.34s -> 595.90s]  I don't really know why it's even there, but.
[596.46s -> 600.70s]  Oh, ah-ha, I moved it, I moved it, woo-hoo.
[600.70s -> 602.38s]  Okay, it's gone, woo-hoo.
[602.38s -> 604.58s]  All right, what can I say?
[604.58s -> 607.00s]  All right, I don't know why it's there, but.
[607.00s -> 612.00s]  So if you do the following and say groups,
[612.62s -> 614.46s]  these are all the group,
[614.46s -> 617.88s]  I guess the, hang on, I think it's just group.
[617.88s -> 618.88s]  Group, is it?
[618.88s -> 620.42s]  Nope, I thought it was groups.
[620.42s -> 622.66s]  Anyway, you can find out what groups you're in,
[622.66s -> 627.64s]  and if you look at particular files,
[627.64s -> 632.06s]  the second one over here is the actual group
[632.06s -> 635.18s]  that your, that file happens to belong to.
[635.18s -> 637.08s]  So all it is, each file has a user
[637.08s -> 638.86s]  and then has a group that many users
[638.86s -> 640.90s]  may be able to use for it.
[640.90s -> 643.10s]  I'm not sure what the operator one in particular is,
[643.10s -> 644.50s]  but that's the way it is.
[644.50s -> 645.94s]  What other question on this?
[646.94s -> 647.78s]  Anyone else?
[649.06s -> 650.30s]  See more hands, okay.
[650.30s -> 653.06s]  So U-mask is not that important,
[653.06s -> 655.66s]  it's just kind of a nuanced thing I wanted to show you.
[655.66s -> 656.50s]  All right.
[658.80s -> 662.90s]  Okay, so, if you, here's another,
[662.90s -> 664.70s]  just another example, I guess, about this.
[664.70s -> 666.50s]  Basically, if you have the file
[666.50s -> 668.54s]  that we created the other day, right,
[668.54s -> 670.14s]  where it just basically tries
[670.14s -> 674.30s]  to set a certain permissions, in this case, 0644,
[674.30s -> 678.42s]  and your U-mask is, like, if it's zero,
[678.46s -> 681.86s]  it will enable you to set all those permissions correctly.
[681.86s -> 684.34s]  If you change your U-mask, you can,
[684.34s -> 687.46s]  the same program inherits that U-mask
[687.46s -> 690.86s]  and then applies it and will only allow you
[690.86s -> 691.88s]  to set the permissions here.
[691.88s -> 695.56s]  Now, a particular program can modify the U-mask.
[695.56s -> 698.86s]  So if the program modifies the U-mask,
[698.86s -> 700.26s]  then it will be able to write to it,
[700.26s -> 701.46s]  but it's all about defaults,
[701.46s -> 703.62s]  and as long as you know what the program's attempting
[703.62s -> 706.68s]  to do, you as the user can control it.
[706.68s -> 708.18s]  That's the bottom line there.
[709.42s -> 711.62s]  All right, Unix file systems are interesting.
[712.54s -> 715.10s]  Okay, assignment one.
[715.10s -> 717.94s]  How many people have actually looked at it already?
[717.94s -> 720.14s]  Half of you, okay, if that.
[720.14s -> 723.06s]  The first assignment is, well, first of all,
[723.06s -> 725.10s]  we haven't covered enough stuff for you to get,
[725.10s -> 729.22s]  to do new CS110 stuff for the first assignment,
[729.22s -> 731.86s]  but what we wanted to do is give you a refresher
[731.86s -> 736.62s]  on CS106B and CS107, and a little bit more,
[736.70s -> 738.86s]  hey, you gotta go learn some C++ things
[738.86s -> 740.50s]  that you didn't learn in 106B.
[740.50s -> 742.54s]  Okay, so that's what this assignment is all about.
[742.54s -> 746.50s]  All right, the assignment is meant to get you up to speed
[746.50s -> 749.86s]  on all of this coding that you need
[749.86s -> 751.22s]  to be able to do for this class.
[751.22s -> 753.78s]  Okay, so some of you have already emailed me and go,
[753.78s -> 755.74s]  oh my gosh, I haven't taken 107 in like two
[755.74s -> 757.74s]  and a half years and whatever, what am I gonna do?
[757.74s -> 760.02s]  Well, this assignment is gonna get you back up to speed.
[760.02s -> 764.26s]  All right, the assignment itself, okay,
[764.26s -> 766.40s]  is kind of a fun assignment.
[767.04s -> 769.84s]  It's basically called the six degrees of Kevin Bacon,
[769.84s -> 771.08s]  and why is it Kevin Bacon?
[771.08s -> 774.20s]  Well, Kevin Bacon happens to have been in a ton of movies,
[774.20s -> 778.84s]  and so if you try to link Kevin Bacon to another actor,
[778.84s -> 781.80s]  it's very hard to find more than one or two movies
[781.80s -> 783.56s]  where Kevin Bacon was in this movie
[783.56s -> 785.08s]  with a bunch of actors,
[785.08s -> 786.68s]  they were in a bunch of different movies,
[786.68s -> 789.04s]  and then some other actor happened to be in one movie
[789.04s -> 790.56s]  with one of those actors,
[790.56s -> 792.06s]  and you can link them together
[792.06s -> 794.20s]  like with one movie difference, okay?
[794.20s -> 796.96s]  And so that's how the program actually works.
[796.96s -> 800.84s]  You can, you run it by saying dot slash search,
[800.84s -> 803.84s]  which is one of the files you will be working on,
[803.84s -> 805.30s]  and then you type two names in,
[805.30s -> 807.76s]  in this case it's Meryl Streep and Jack Nicholson,
[807.76s -> 810.40s]  and by the way, many actors,
[810.40s -> 813.74s]  because you can have many people with the same name,
[813.74s -> 818.36s]  are in the IMDb, Internet Movie Database system
[818.36s -> 821.16s]  with a little Roman numeral next to their name
[821.16s -> 823.12s]  in parentheses, that just means
[823.16s -> 826.04s]  that there's two or three or more Jack Nickelsons,
[826.04s -> 827.20s]  and you have to type that in.
[827.20s -> 828.60s]  So you have to be a little bit careful.
[828.60s -> 830.32s]  Madonna, for instance, is another one.
[830.32s -> 833.12s]  If you're testing your code for this,
[833.12s -> 834.60s]  before you test a particular name
[834.60s -> 835.48s]  that you haven't tested yet,
[835.48s -> 836.88s]  go in IMDb and look them up,
[836.88s -> 841.08s]  and if they have a little parentheses like that
[841.08s -> 842.88s]  next to their name, you have to type that one in,
[842.88s -> 844.30s]  or the Roman numeral,
[844.30s -> 847.38s]  otherwise it will say Madonna's not in the search,
[847.38s -> 850.32s]  in the files, and you'll think your program's broken
[850.32s -> 852.46s]  when really it's just you didn't type it in wrong.
[853.06s -> 855.02s]  Okay, so that's how it works.
[855.02s -> 858.10s]  You can type dot slash search Meryl Streep and Jack Nicholson,
[858.10s -> 860.06s]  and it works fine.
[860.06s -> 863.84s]  Let's actually do this.
[865.82s -> 867.06s]  Oh no, here we go again.
[867.06s -> 868.86s]  Hang on, there we go, all right.
[870.86s -> 872.02s]  Come on, there we go.
[873.36s -> 876.86s]  All right, let's see, we will do assignments,
[876.86s -> 881.86s]  assignment one, and you can test this out yourself
[882.06s -> 884.14s]  by doing samples, not sound tools,
[884.14s -> 888.98s]  samples slash search, and it's got the search solution,
[888.98s -> 891.98s]  and if you type Meryl Streep,
[891.98s -> 894.70s]  and you type Streep, Streep?
[894.70s -> 896.16s]  There might be a Meryl Streep, I don't know.
[896.16s -> 901.16s]  And then you type Jack Nicholson, parentheses one, right?
[902.46s -> 903.82s]  It should say that Meryl Streep
[903.82s -> 906.42s]  was in close up with Jack Nicholson, okay?
[906.42s -> 907.40s]  Let's try some others.
[907.40s -> 909.18s]  Try to fool the system.
[909.18s -> 911.34s]  Give me two names of actors we might have heard of,
[911.62s -> 914.64s]  just so, but give me two names.
[916.18s -> 918.94s]  Jerry Cain, Jerry Cain, who taught the class before.
[918.94s -> 922.14s]  I think there might be more than one, actually.
[922.14s -> 925.06s]  And then let's try Meryl Streep, why not?
[925.06s -> 927.58s]  He probably wasn't in a, oh, what did I do?
[927.58s -> 928.42s]  Did I forget?
[929.80s -> 932.18s]  Forgot the quotes here, thank you, there we go.
[932.18s -> 934.82s]  Okay, so Jerry Cain was not the lecturer
[934.82s -> 936.80s]  who was here, was in a movie called No Rules
[936.80s -> 938.46s]  with somebody named Don Fry.
[938.46s -> 941.42s]  Don Fry was in the Ant Bully with Meryl Streep, right?
[941.42s -> 943.02s]  It's gonna be really, it's actually really hard
[943.02s -> 945.82s]  to find more than one or two different movies.
[945.82s -> 948.22s]  Give me some other names of people that we've heard of.
[948.22s -> 949.42s]  Michael Jordan.
[949.42s -> 950.26s]  Sorry?
[950.26s -> 951.10s]  Michael Jordan.
[951.10s -> 951.92s]  Michael Jordan.
[951.92s -> 953.14s]  Michael Jordan was in what?
[953.14s -> 954.78s]  Air Jordan, or Michael Jordan?
[954.78s -> 955.62s]  Space Jam.
[955.62s -> 956.86s]  He was in, that's our Space Jam, yeah.
[956.86s -> 958.70s]  Okay, there's probably more than one,
[958.70s -> 960.18s]  but we'll just try this.
[960.18s -> 963.06s]  Jordan, and then anybody else?
[963.06s -> 963.96s]  Keanu Reeves.
[963.96s -> 964.80s]  Keanu Reeves.
[964.80s -> 965.64s]  Keanu.
[965.64s -> 966.46s]  Keanu.
[966.46s -> 967.30s]  Keanu.
[967.30s -> 969.14s]  Did I spell it right?
[969.14s -> 969.98s]  Think so.
[969.98s -> 971.10s]  Okay, couldn't find Michael Jordan
[971.10s -> 972.38s]  because there's probably more than one,
[972.38s -> 976.50s]  so we will do, let's just see if it's the first one.
[976.50s -> 977.34s]  I don't know.
[977.34s -> 979.50s]  There we go, Michael Jordan was in Blink, who knew?
[979.50s -> 981.62s]  With Rick, I don't know how to pronounce that,
[981.62s -> 983.54s]  and that other person with a chain reaction.
[983.54s -> 984.74s]  So it's hard, right?
[984.74s -> 986.18s]  You can go back a long ways.
[986.18s -> 989.62s]  Let's see if Michael Jordan and,
[990.94s -> 994.06s]  let's see, how about Charlie Chaplin?
[994.90s -> 996.38s]  All right, that was a while ago, right?
[996.38s -> 1001.38s]  And, hmm, I don't know, maybe it,
[1001.86s -> 1003.20s]  I wonder if,
[1006.54s -> 1008.18s]  I haven't tried that one yet.
[1008.18s -> 1009.62s]  That's an interesting, that's interesting.
[1009.62s -> 1010.98s]  We'll let it go for another second or so.
[1010.98s -> 1013.30s]  It might be that, hmm, I'm not sure
[1013.30s -> 1014.14s]  what's going on with that.
[1014.14s -> 1016.06s]  Let me try, let me try it, everyone.
[1017.74s -> 1019.42s]  So I should try these things out before,
[1019.42s -> 1023.74s]  but let's just try Meryl Streep, and,
[1024.74s -> 1026.90s]  yeah, that's interesting.
[1026.90s -> 1028.14s]  I wonder if Charlie Chaplin's not,
[1028.14s -> 1031.08s]  well, it shouldn't, hmm, I don't know.
[1031.08s -> 1032.10s]  That's weird.
[1032.10s -> 1033.34s]  How about Ronald Reagan?
[1036.46s -> 1038.56s]  There we go, oh, I think something,
[1038.56s -> 1041.46s]  I think it's the file system, actually, hang on.
[1042.70s -> 1044.46s]  Let's go try again and see if,
[1045.46s -> 1048.10s]  I don't know, I don't know, I don't know, that's weird.
[1048.10s -> 1050.58s]  Well, anyway, you get kind of the idea.
[1050.58s -> 1052.70s]  You can, even though I'm,
[1052.70s -> 1054.10s]  even though it's a little crazy.
[1054.10s -> 1055.70s]  But you can also do things like,
[1055.70s -> 1058.54s]  you can do IMDb test, which you're gonna do first,
[1058.54s -> 1061.38s]  which would be something like just check and see,
[1061.38s -> 1063.14s]  let's just check.
[1063.14s -> 1064.26s]  Oh, you know what, is it Charles?
[1064.26s -> 1065.50s]  No, I think it's IE.
[1067.28s -> 1069.18s]  Might be Charles, ah, there we go.
[1069.18s -> 1070.18s]  Maybe that was the issue before.
[1070.18s -> 1071.94s]  Okay, hold on, hold on, hold on.
[1073.78s -> 1075.50s]  I don't know why it didn't tell us, Charles.
[1075.50s -> 1077.86s]  There we go, okay, well, okay.
[1077.86s -> 1080.10s]  So here's one problem with the IMDb database.
[1080.46s -> 1083.02s]  Charlie Chaplin wasn't alive in 2006.
[1083.02s -> 1085.50s]  He died in like 1970 or something.
[1085.50s -> 1087.54s]  But he was, whenever somebody's in,
[1087.54s -> 1089.68s]  like clips in a movie, they also put him in here, too.
[1089.68s -> 1091.58s]  So it's a little bit trickier.
[1092.90s -> 1093.74s]  Anyway, that's that.
[1093.74s -> 1098.38s]  But you can do IMDb cert test,
[1098.38s -> 1102.74s]  and if we do Charles Chaplin,
[1104.18s -> 1106.26s]  then it will give you the fact
[1106.26s -> 1109.30s]  that he was in thousands and thousands of movies,
[1109.30s -> 1112.10s]  and it will list a bunch of them, not all of them,
[1112.10s -> 1114.62s]  and you can test your program that way.
[1114.62s -> 1119.62s]  So that's kind of the basic idea about how this works.
[1121.14s -> 1123.14s]  Let's talk about a little bit more details.
[1123.14s -> 1125.06s]  There are two big files,
[1125.06s -> 1128.04s]  big being hundreds of thousands of names,
[1128.04s -> 1129.90s]  that are called, one's called the actor file,
[1129.90s -> 1131.74s]  one is called the movie file,
[1131.74s -> 1135.22s]  and they are set up such that
[1135.22s -> 1137.58s]  you can do binary searching on them.
[1137.58s -> 1141.38s]  The actor file has a whole bunch of offsets
[1141.38s -> 1144.46s]  to where various actors are located in this file,
[1144.46s -> 1146.46s]  and then there they have the name of the actor
[1146.46s -> 1148.46s]  and all the movies that the actor was in,
[1148.46s -> 1150.68s]  and the movie database is kind of the reverse.
[1150.68s -> 1153.62s]  It's got a whole bunch of offsets into this file
[1153.62s -> 1154.62s]  that point to movies,
[1154.62s -> 1157.50s]  and then the movies say what actors they were in.
[1157.50s -> 1158.90s]  These files are big enough
[1158.90s -> 1161.46s]  that you do not want to read them all in at once,
[1161.46s -> 1165.02s]  number one, but we've actually put a lot of that
[1165.02s -> 1165.84s]  under the hood for you.
[1165.84s -> 1166.90s]  You don't need to worry about
[1166.94s -> 1168.22s]  the fact that you're not reading these.
[1168.22s -> 1170.38s]  Just know that you're actually jumping
[1170.38s -> 1173.42s]  to a place in the file and reading a little bit.
[1173.42s -> 1175.06s]  But the important part about these files
[1175.06s -> 1177.66s]  is that you can do a binary search on them.
[1177.66s -> 1179.38s]  They are set up in alphabetical order
[1179.38s -> 1181.22s]  such that you can do a binary search.
[1181.22s -> 1183.78s]  Awesome, binary searches, as you know from CS106B,
[1183.78s -> 1187.54s]  are very fast because they break things into chunks
[1187.54s -> 1190.42s]  and divide and conquer, et cetera.
[1190.42s -> 1193.18s]  So you have to figure out how to
[1193.18s -> 1196.10s]  index correctly into this weird file
[1196.14s -> 1197.42s]  that's got all these offsets in it
[1197.42s -> 1201.14s]  with a whole bunch of different kind of nuances to it,
[1201.14s -> 1204.10s]  and that's the CS107 part.
[1204.10s -> 1206.08s]  That's the part where you're gonna be going,
[1206.08s -> 1210.30s]  oh boy, I gotta remember how to do pointer math
[1210.30s -> 1213.84s]  and pointer arithmetic and indexing into things and so forth
[1213.84s -> 1216.12s]  so an off by one errors and all that kind of stuff.
[1216.12s -> 1218.62s]  So that's the CS107 part.
[1218.62s -> 1221.18s]  There's a C++ part where you're going to use
[1221.18s -> 1224.14s]  the standard template library which is similar
[1224.22s -> 1227.10s]  but different from the Stanford library
[1227.10s -> 1230.68s]  which you used in like 106B or even 106A.
[1230.68s -> 1232.42s]  Specifically, you're gonna have to use this function
[1232.42s -> 1235.38s]  called lower bound which is a standard
[1235.38s -> 1237.44s]  template library function which does
[1237.44s -> 1239.10s]  the binary search for you.
[1239.10s -> 1241.14s]  In fact, there was a question on Piazza already
[1241.14s -> 1243.98s]  that said, hey, can we do recursion to do this searching?
[1243.98s -> 1246.94s]  And I said, whoa, no recursion necessary for searching
[1246.94s -> 1250.42s]  because lower bound doesn't do recursion
[1250.42s -> 1253.82s]  but it does the searching, the binary search for you.
[1255.06s -> 1258.98s]  The idea is you set up the lower bound function
[1258.98s -> 1260.42s]  and it searches through your data
[1260.42s -> 1262.22s]  but you have to set it up correctly.
[1262.22s -> 1265.14s]  But that's the kind of 106B plus sort of stuff
[1265.14s -> 1266.70s]  that you're gonna be working on.
[1268.86s -> 1271.46s]  This lower bound function, it's a little bit interesting.
[1271.46s -> 1273.74s]  It returns what we call an iterator
[1273.74s -> 1275.98s]  and an iterator, for our purposes at least
[1275.98s -> 1277.98s]  for this assignment, is a pointer
[1278.02s -> 1280.82s]  because an iterator allows you to add to it
