# Detected language: en (p=1.00)

[0.00s -> 6.00s]  And can everybody see my screen or the whiteboard that I shared?
[165.00s -> 170.00s]  Yeah, I think there may be in, if there's a single list in the case of the K-alloc, that might be the case.
[170.00s -> 174.00s]  I think, you know, the lock-free B-alloc is going to be a little bit more complicated.
[174.00s -> 177.00s]  Yeah, that I'm scared to do.
[177.00s -> 179.00s]  That's the right reaction to have.
[181.00s -> 183.00s]  Anybody else?
[184.00s -> 190.00s]  I found it a bit hard to debug those problems because it's not immediately clear what is happening.
[190.00s -> 196.00s]  So we have to go and sit with GDB and break, break, break.
[196.00s -> 198.00s]  And yeah.
[198.00s -> 205.00s]  Yeah, I think the one reason I'm always scared to get these lock lapses, you know, they're harder to debug.
[205.00s -> 210.00s]  And, you know, the bug might not show up in every run.
[210.00s -> 219.00s]  And, but hopefully it is very educational because like learning or programming locks inside of a kernel is a real thing.
[219.00s -> 223.00s]  But it is definitely a core challenge.
[223.00s -> 233.00s]  One thing about the, maybe this is a node for the, encouraging node, the NextLab actually doesn't involve basically any concurrency.
[233.00s -> 237.00s]  And so hopefully that will be much, much, much more straightforward.
[238.00s -> 240.00s]  Okay.
[240.00s -> 250.00s]  I guess, how do you, how do you efficiently or effectively debug concurrent programs like with all those multiple threads using GDB?
[250.00s -> 253.00s]  I use very basic stuff.
[253.00s -> 256.00s]  I have, I use print statements.
[256.00s -> 265.00s]  But the main thing I rely on is I sort of try to write down or assertions for invariants that I think should be true at every point.
[265.00s -> 272.00s]  And if the assertion goes off, then I know that, you know, there was something wrong in my thinking or the assertion was wrong.
[272.00s -> 279.00s]  And then I think for a while and try to decide what it is and then go from there.
[279.00s -> 289.00s]  The normal, for many other settings, there are race detectors that can help you.
[289.00s -> 299.00s]  And again, basically flag code that looks like it might be having problems or is prone to race conditions.
[299.00s -> 304.00s]  But that's a whole set of other tools that we're not using.
[304.00s -> 311.00s]  And it's not that good, but there's a little bit of a big step to actually get that all up and going and running.
[311.00s -> 317.00s]  So that's the other mechanism that people use, race detectors.
[317.00s -> 324.00s]  And basically flag any any shared variable that is updated or read without actually holding a lock.
[324.00s -> 331.00s]  That doesn't help you with deadlocks, for example, in this lab, in the block, you know, you get deadlocks.
[331.00s -> 344.00s]  Deadlocks tend to be easier to debug, correct? Because you can you get the panic and then you can look at the backtrace and see actually what was involved in the deadlock.
[344.00s -> 350.00s]  Does that make sense? Thank you.
[350.00s -> 359.00s]  OK, another suggestion, actually, somebody posted on the feedback is, you know, the class attendance is getting a little bit lower than in the beginning of the semester.
[359.00s -> 366.00s]  And I think we might be small enough for the size that it may be perfectly fine to actually have cameras on.
[366.00s -> 372.00s]  And so maybe I want to encourage you to ask a question, to turn on your camera and, you know,
[372.00s -> 380.00s]  hopefully improve our experience as if it's in the classroom as opposed to in a virtual meeting.
[380.00s -> 385.00s]  And you don't have to look at me. OK.
[385.00s -> 393.00s]  So, OK, today's lecture. So today's lecture is going to be about crash safety, crash safety in file systems.
[393.00s -> 402.00s]  And this is not crash safety in more general form. I'm actually really focusing on a particular problem.
[402.00s -> 412.00s]  Or a specific problem, namely a crash or a power failure can meet.
[412.00s -> 424.00s]  On this cloud system. To be in an inconsistent state for an incorrect state.
[424.00s -> 435.00s]  And what I mean with an incorrect state is, for example, a data block belongs to two files or an iNote is allocated to two different files.
[435.00s -> 444.00s]  And so the scenario where this problem might appear is, let's say, you know, you're running make, make a pretty file system,
[444.00s -> 454.00s]  interacts with the file system, reads and writes files. And somewhere during that thing, a power failure happens.
[454.00s -> 465.00s]  You know, your laptop run out of battery, you know, maybe the power just dropped or to your house and you reboot.
[465.00s -> 471.00s]  The power comes back on at some point, you reboot the machine or the machine comes back up.
[471.00s -> 479.00s]  And then, you know, you get a prompt again, you run LS and you hope basically that your file system is in a good state.
[479.00s -> 488.00s]  In a state that actually can still use it. And so the particular failures or crashes that we're concerned about are basically power failures during file system operations.
[488.00s -> 494.00s]  Or the kernel panics, you know, while running some file system operation.
[494.00s -> 502.00s]  Xv6 is panics, most kernels are panics. You know, maybe there's some kernel bug that causes a panic and suddenly your system just fails.
[502.00s -> 506.00s]  What you'd like to be the case is that after reboot, you know, you can actually do something.
[506.00s -> 511.00s]  Or you can still use the file system. And this might be something where you're thinking, well, how could that not be?
[511.00s -> 515.00s]  Right, because the file system is stored on a persistent storage medium.
[515.00s -> 519.00s]  And so if the power fails, you know, the medium should be good.
[519.00s -> 523.00s]  And then so one machine comes back up, you know, all the blocks that you've written should be there.
[523.00s -> 531.00s]  And we'll see that the tricky case is that many file system operations have multi-step operations.
[531.00s -> 544.00s]  And really what is important in those multi, and if we crash just in the wrong place in these multi-step operations, the file system actually may end up being on disk inconsistent for that short period of time.
[544.00s -> 548.00s]  And if the power failure just happened there, you know, something bad could happen.
[548.00s -> 553.00s]  And so that is sort of the problem that we're focusing on today.
[553.00s -> 560.00s]  And so this is different from the problem that, for example, whatever, you know, there's a power failure and your disk caught fire.
[560.00s -> 568.00s]  And so there is nothing there anymore. And so you need to, in that case, you know, you need to, you need to, there's a completely different problem that has different solutions.
[568.00s -> 575.00s]  You know, for example, you have to go back to a backup of your file system or reinstall your file system, et cetera, et cetera.
[575.00s -> 586.00s]  So that's the problem we're not worried about. We're really worried about the specific problem of a failure happening right during a multi-step operation.
[586.00s -> 593.00s]  OK, and the solution for that specific problem that we're going to be exploring is something that is called logging.
[593.00s -> 606.00s]  This is a very popular solution originally coming out of the database world, but a lot of file systems use logging these days.
[606.00s -> 612.00s]  We're going to, it's a very, one reason it's popular is because it's a very principled solution.
[612.00s -> 616.00s]  And we're going to see the instantiation of logging in xv6.
[616.00s -> 626.00s]  And of course, xv6 has a very simple implementation, like a bare minimal implementation of logging, just to demonstrate the key ideas.
[626.00s -> 633.00s]  And even that very bare bone log implementation actually has some subtle issues that we're going to be talking about.
[633.00s -> 636.00s]  And that's why it's worth studying it.
[636.00s -> 646.00s]  One downside is we'll see if the xv6 solution is because of its simplicity, its performance is also not so great, even though logging systems in principle can get good performance.
[646.00s -> 660.00s]  And so what we'll do next week is actually look how to implement a high performance logging system by studying the logging system that the Linux ext3 file system uses.
[660.00s -> 662.00s]  But that's next week.
[662.00s -> 669.00s]  Another maybe small point I want to make today is that this is our last xv6 lecture.
[669.00s -> 685.00s]  And from now on, we're going to be switching to papers, because in some ways, what we've done is we sort of covered the basic concepts, and we can start looking at more advanced operating system ideas by reading papers.
[685.00s -> 687.00s]  Okay.
[687.00s -> 694.00s]  Any questions so far?
[694.00s -> 698.00s]  We're all good?
[698.00s -> 699.00s]  Okay.
[699.00s -> 707.00s]  So let me go back a little bit about the scenario that we're focusing about in this lecture.
[707.00s -> 727.00s]  So file systems or file system operations, like creating a file, writing a file, are multi-step disk operations.
[727.00s -> 744.00s]  And, you know, we saw that last week, or Monday, we talked about how create is implemented, like creating a file or writing to a file, we often see that, you know, the sequence of events is something of the sequence of steps are, you know, allocate an inode or mark the inode allocated on disk, then, you know, write the directory block that contains that inode.
[744.00s -> 747.00s]  So those are the multi-steps that I'm talking about.
[747.00s -> 765.00s]  And if we get a crash between two of these steps, that crash can leave, may leave the file system invariance violated.
[765.00s -> 777.00s]  And the invariance I'm talking about are invariance of the form, you know, every block is either free or allocated to one file and not to two files.
[777.00s -> 787.00s]  And, you know, we want to make sure that this happens despite, you know, these failures right between these operations.
[787.00s -> 798.00s]  And the risk is, if these invariance are violated, then, you know, bad things can happen after reboot.
[798.00s -> 813.00s]  You know, you might crash again immediately, because, you know, there's some data structure that the file system is now in a state that the file system actually can't really deal with, you know, on this data structure in such a shape that the file system really can't process them anymore.
[813.00s -> 821.00s]  Or more likely, you're not crash, no crash, but, you know, data may get lost.
[821.00s -> 833.00s]  Or you read or write incorrect data.
[833.00s -> 836.00s]  And we'll see a couple of examples to make it more clear.
[836.00s -> 842.00s]  But so this is sort of the risk that we're worried about.
[842.00s -> 858.00s]  I don't know of anybody actually ever in personal life or like in your daily life using computers actually has experienced this problem where basically you had a failure in the file system or you had a failure, you had a power failure, you know, your machine rebooted or your phone restarted.
[858.00s -> 862.00s]  And that basically was unusable afterwards.
[862.00s -> 877.00s]  And one reason that might be unusual because the file system just didn't recover correctly.
[877.00s -> 883.00s]  Okay, so to make it more clear, let's look at an example in the context of XV.
[883.00s -> 892.00s]  To make this risk a little bit more concrete, let's look at an example in the context of XV6 and to see what actually could go wrong.
[892.00s -> 901.00s]  So remember, from Monday the XV6 file system, very simple file system, has a simple disk layout.
[901.00s -> 908.00s]  You know, the super block, there's the log that we're going to be talking about a lot today that we didn't talk about on Monday.
[908.00s -> 914.00s]  There are inodes, you know, a set of blocks that actually contain each and each block may contain multiple inodes.
[914.00s -> 918.00s]  Bitmap block to record which blocks are free and which are not free.
[918.00s -> 924.00s]  And then the data blocks that actually contain the actual data of the file system.
[924.00s -> 931.00s]  And remember from Monday's lecture, I reproduced the trace here, you know, we looked at actually how a file is created.
[931.00s -> 946.00s]  And, you know, we see that the creation of a single file, the creation of a single file consists of multiple operations.
[946.00s -> 958.00s]  So for example, like in this particular scenario that I have here on the slide, we see that, you know, an inode is allocated.
[958.00s -> 962.00s]  And, you know, we know this because this block 33 is being written.
[962.00s -> 967.00s]  We see that the inode is being initialized and then written again to block 33.
[967.00s -> 970.00s]  Then we see the block 46 is written.
[970.00s -> 979.00s]  And the reason it's written is presumably because, you know, the directory block that actually contains X and the inode number for X is written to the disk.
[979.00s -> 988.00s]  Then the root inode is updated to reflect that the directory has grown in size to contain this particular file X.
[988.00s -> 991.00s]  And then, you know, the inode is updated.
[991.00s -> 998.00s]  And so what we want to now understand is like what happens, like what could possibly go wrong?
[998.00s -> 1005.00s]  And so let's say, you know, we have a power failure like right here.
[1005.00s -> 1010.00s]  So here is a power failure or kernel crash.
[1010.00s -> 1014.00s]  And so what happens after the power failure?
[1014.00s -> 1024.00s]  All the in-memory state is lost because that in-memory state, the data that's actually in RAM, like all the processes, all the file descriptors,
[1024.00s -> 1029.00s]  all the in-memory caches are gone because, you know, memory is not persistent.
[1029.00s -> 1033.00s]  And the only thing that we have left is what actually is on the disk.
[1033.00s -> 1046.00s]  So only the data structures and the bits and bytes that are actually sitting on the disk survive the power failure because that actually medium is, you know, persistence.
[1046.00s -> 1048.00s]  It has durability.
[1048.00s -> 1050.00s]  And so we want to know, like, we understand.
[1050.00s -> 1060.00s]  So if we crash here and we have no additional mechanisms or we have no logging, as I've said, that we're going to be talking about, but we have no additional mechanisms.
[1060.00s -> 1063.00s]  How bad is it?
[1063.00s -> 1073.00s]  What risk are we running here?
[1073.00s -> 1077.00s]  Anybody?
[1077.00s -> 1083.00s]  So basically, you know, we've written block 33 to record that the inode has been allocated.
[1083.00s -> 1092.00s]  Then we had a power failure and then we come back up.
[1092.00s -> 1093.00s]  Go ahead, Brandon.
[1093.00s -> 1098.00s]  Does that mean we lose the lose this block?
[1098.00s -> 1102.00s]  It's like it seems like it's populated, but it's actually not.
[1102.00s -> 1114.00s]  Yeah, I think we're losing the whole block, but we use the inode X, the inode X or the inode for X that was allocated or the mark was allocated is allocated on disk.
[1114.00s -> 1121.00s]  But we have not put it in any we've not succeeded in putting it in any directory.
[1121.00s -> 1126.00s]  So basically on the disk, you know, there's an inode allocated, but it doesn't appear in any directory.
[1126.00s -> 1128.00s]  So we can't even remove it.
[1128.00s -> 1137.00s]  And so basically what will this cause us to happen is we lose an inode.
[1137.00s -> 1141.00s]  Does that make sense?
[1141.00s -> 1145.00s]  So you might think, well, maybe what I should do is like maybe I should reorder the writes.
[1145.00s -> 1149.00s]  And in a way, you know, then hopefully, you know, this, you know, we don't lose the inode.
[1149.00s -> 1158.00s]  So for example, another thing we could try doing is say, well, what we'll do is we'll write 46 first.
[1158.00s -> 1176.00s]  If we update the inode, update the directory, write the directory inode, write 32, and then we'll actually mark the inode as allocated on disk to mark it as allocated.
[1176.00s -> 1185.00s]  So we do the same set of operations in a slightly different order in the hope that we should avoid this losing of the inode problem.
[1185.00s -> 1191.00s]  And would this work?
[1191.00s -> 1195.00s]  Well, the thing that we should do to ask ourselves, like, you know, let's think about this point in time.
[1195.00s -> 1202.00s]  Let's say a crash happens like right here or our failure happens right between updating the directory, basically.
[1202.00s -> 1210.00s]  But before we allocated the inode on disk. And now, you know, power fails, machine comes back up, and we look at the file system.
[1210.00s -> 1215.00s]  You know, what state will the file system be in?
[1215.00s -> 1219.00s]  It'll still think it's a free inode.
[1219.00s -> 1230.00s]  Yeah, but what would happen if, for example, we read the file X in the directory, in the root directory, because it is in there now, correcting the data block.
[1230.00s -> 1235.00s]  We're going to be reading the inode that actually is not even allocated, correct, it's marked unallocated.
[1235.00s -> 1242.00s]  And worse, what could happen is, correct, that inode might be allocated again, or it might actually really be allocated,
[1242.00s -> 1247.00s]  because the mark is unallocated to actually, in fact, a different file.
[1247.00s -> 1255.00s]  And so now we have two files that might actually, two files that actually share, even though they're completely different, they share the same inode.
[1255.00s -> 1263.00s]  And so, for example, if one file would be owned by user 1 and one by user 2, then basically user 2 could read user 1's data, correct?
[1263.00s -> 1271.00s]  So that's no good either, correct?
[1271.00s -> 1274.00s]  Does that make sense?
[1274.00s -> 1279.00s]  So basically, switching the order is not really going to solve our problem.
[1279.00s -> 1283.00s]  You would just basically get a different problem than we had before.
[1283.00s -> 1286.00s]  Okay, let's look at one more example.
[1286.00s -> 1295.00s]  Here's the example of writing through the file X.
[1295.00s -> 1300.00s]  So once we have the files allocated, let's say that all succeeded, and now we're executing the write system call.
[1300.00s -> 1305.00s]  And the write system call also does multiple writes operations, as we saw on Monday.
[1305.00s -> 1309.00s]  For example, it will allocate a block, in this case, block 45.
[1309.00s -> 1312.00s]  So it sets a bit in the pre-map.
[1312.00s -> 1318.00s]  The block 45 is the bitmap block, so it allocates a block in the bitmap.
[1318.00s -> 1324.00s]  It allocates a bit in the bitmap block to indicate that block has now been allocated.
[1324.00s -> 1327.00s]  That block turns out to be, I guess, 595.
[1327.00s -> 1334.00s]  And then we write the character H to 595, and then the character I, and then we update the inode.
[1334.00s -> 1342.00s]  And then we can ask ourselves the same question, like what will happen if we crash?
[1342.00s -> 1349.00s]  So for example, let's say we allocate a crash like right here between writing the bitmap block
[1349.00s -> 1354.00s]  before we actually write the inode.
[1354.00s -> 1360.00s]  So crash here.
[1360.00s -> 1370.00s]  And so we reboot, we come back up, and the disk is in a particular state, and what is the risk?
[1370.00s -> 1374.00s]  We use a data block, but we lose it.
[1374.00s -> 1379.00s]  Yeah, we lose it again, correct? Because the block is allocated, but it doesn't show up in any file.
[1379.00s -> 1388.00s]  Because it hasn't been written into any inode, so we lose a data block.
[1388.00s -> 1392.00s]  So you might think, okay, well, maybe just because we wrote them in the wrong order,
[1392.00s -> 1397.00s]  what we should have done is, what we should have done is first write it in the inode.
[1397.00s -> 1407.00s]  So first write 33 with 595 as either an indirect block or a direct block.
[1407.00s -> 1412.00s]  And then actually we will mark the inode, the block is allocated.
[1412.00s -> 1417.00s]  So then we'll write 45.
[1417.00s -> 1423.00s]  So we change the order because we want to avoid these lost data blocks, and we change the order in this way.
[1423.00s -> 1430.00s]  And now let's consider the case if there's a failure right here.
[1430.00s -> 1437.00s]  What is the risk?
[1437.00s -> 1444.00s]  The size of the file is not compatible with actually how many data blocks are allocated?
[1444.00s -> 1451.00s]  That might be, although I think in the right of 33, you actually update both the size and the block number, correct?
[1451.00s -> 1453.00s]  Oh, yeah.
[1453.00s -> 1456.00s]  So that might work out okay.
[1456.00s -> 1460.00s]  If there were two separate writes in the inode, that would be a problem.
[1460.00s -> 1467.00s]  But there's some bigger problem here.
[1467.00s -> 1485.00s]  It's that the file has the data block, but the data block is marked as unallocated, and other files can also use it.
[1485.00s -> 1486.00s]  Yeah, correct.
[1486.00s -> 1494.00s]  That's the real big problem here is that the inode thinks the block 595 belongs to that file.
[1494.00s -> 1498.00s]  But actually on disk, it's still marked as unallocated.
[1498.00s -> 1505.00s]  And so when later another file was created, that block actually might be used for that other file.
[1505.00s -> 1510.00s]  And so now certainly one file thinks it owns 595, but actually another file does.
[1510.00s -> 1517.00s]  And in fact, both files will have 595 in their block numbers for their inode.
[1517.00s -> 1525.00s]  And basically, you know, if one user owns that file and the other user owns the other file, the connection reader writes each other's data.
[1525.00s -> 1528.00s]  It's clearly not what we want.
[1528.00s -> 1537.00s]  You know, the file system should guarantee that every block only belongs in one file and no other file or is free.
[1537.00s -> 1549.00s]  OK, so this could lead to security problems, but basically block is shared among multiple files.
[1549.00s -> 1555.00s]  And that's definitely wrong.
[1555.00s -> 1564.00s]  Does that make sense in terms of the problems that can appear? And again, you know, the real issue here is not to watch the ordering of the writes,
[1564.00s -> 1579.00s]  but the real underlying problem here is that we're just doing multiple writes and then basically have to sort of show up on disk as an atomic operation.
[1579.00s -> 1588.00s]  OK, so the solution that we're going to explore in this lecture is logging.
[1588.00s -> 1597.00s]  And as I said before, this is a common solution used in file systems and originating actually out of the database literature.
[1597.00s -> 1607.00s]  And it actually has a couple of good properties. One, it's going to make basically system calls or file system calls atomic.
[1607.00s -> 1618.00s]  With that I mean, so if a create file or you call create or you call write, basically all the effects of that system call all appear all together or none of them.
[1618.00s -> 1627.00s]  So that avoids this problem of only some subset of the writes actually showing up on disk.
[1627.00s -> 1632.00s]  The second good property it has, it allows for fast recovery.
[1633.00s -> 1641.00s]  So after reboot, it turns out we don't actually have to do a lot of work to repair the file system, a very minimal amount of work.
[1641.00s -> 1648.00s]  And this is in contrast to some other solution that I'm not talking about, which is basically you go and inspect the file system.
[1648.00s -> 1653.00s]  Maybe you read all the blocks of the file system or read all the Inode blocks, read all the bitmap blocks.
[1653.00s -> 1659.00s]  And so check out whether the file system is still in the correct shape and maybe repair things.
[1659.00s -> 1667.00s]  Logging has this nice property that actually the recovery is fast. And then finally, in principle, it can be actually very high performance.
[1667.00s -> 1673.00s]  Although the one we're going to be looking in the context of XP6 is not high performance.
[1673.00s -> 1681.00s]  So we're going to look at that next week. We'll see actually how to build logging system that has atomic file system calls, fast recovery and high performance.
[1681.00s -> 1685.00s]  Today, we're going to be just focusing on the first two.
[1685.00s -> 1692.00s]  OK, the basic idea of logging is actually straightforward.
[1692.00s -> 1696.00s]  And so basically what you do is you divide the disk into two pieces.
[1696.00s -> 1700.00s]  One is the log, one is the file system.
[1700.00s -> 1704.00s]  And the file system might be a bunch bigger than the log.
[1704.00s -> 1717.00s]  And when you need to update the file system, so update, let's say, block 33 or update the bitmap block, we're actually not going to update the file system blocks.
[1717.00s -> 1719.00s]  We're not going to update the bitmap block directly.
[1719.00s -> 1724.00s]  Instead, the only thing we're going to do on the right is, so here's our memory.
[1724.00s -> 1728.00s]  We have a block in memory, let's say the bitmap block.
[1728.00s -> 1735.00s]  That's 45. And instead of writing it to 45, what we normally would have done, what we're going to do is actually we're going to write it into the log.
[1735.00s -> 1741.00s]  So we're going to stick it here. And remember that actually should go to 45.
[1741.00s -> 1744.00s]  We're going to put it there. And we do that with all the other writes too.
[1744.00s -> 1748.00s]  So, for example, we'll put our inode block there.
[1748.00s -> 1752.00s]  You know, that was like maybe 33, I think, if I remember correctly.
[1752.00s -> 1758.00s]  And we'll stick it in there. And, you know, remember that it actually has to go to 33.
[1758.00s -> 1764.00s]  So basically what we do, any write is first logged.
[1764.00s -> 1770.00s]  And so we don't write directly to the home location of the block, but we just put it always in the log.
[1770.00s -> 1781.00s]  Then at some point, you know, when the file system operation is done, you know, for example, it has these four or five writes that we saw in the previous slides are in the log, we commit the operation.
[1782.00s -> 1795.00s]  And basically what it means is somewhere in the log, we just record a record, you know, in the fixed location that basically says, OK, well, you know, there are like five blocks in the log.
[1795.00s -> 1801.00s]  And that is, you know, the log set of log writes.
[1801.00s -> 1807.00s]  And then, you know, when we have all the writes stably on disk, we're going to actually install them.
[1807.00s -> 1815.00s]  It's called the installation phase. And really what that means is we're going to move these logs from the log to their home location.
[1815.00s -> 1823.00s]  So we know this one has to go to 45. So we put it at 45. This one has to go to 33, you know, report it to 33, et cetera, et cetera.
[1823.00s -> 1834.00s]  And once we're done, you know, basically we can clean the log. And cleaning the log is basically you're rewriting, you know, basically setting this five to zero.
[1834.00s -> 1846.00s]  And that is the basic plan. And why is this plan good? Well, let's think about it. Let's say we crash before here.
[1846.00s -> 1857.00s]  What would happen? So let me hold that question. Let me actually talk about one thing before asking the question.
[1857.00s -> 1867.00s]  Let's say we crash. And so we reboot. And on the reboot, there's basically what the file system does.
[1867.00s -> 1878.00s]  It looks at the commit record, sees what the value of the commit record is. If it is zero, you know, do nothing in our simple scheme.
[1878.00s -> 1884.00s]  And if it's bigger than zero, we know that there are basically blocks in the log that need to be actually installed.
[1884.00s -> 1890.00s]  And we apparently didn't finish the installation. We crashed after the commit, but before cleaning the log.
[1890.00s -> 1904.00s]  So basically we reinstall. And after we reinstall, we clean the log.
[1904.00s -> 1916.00s]  OK. And this scheme is good because it actually ensures that no matter where a crash happens, we either install all the blocks of the rights or reinstall none of them.
[1916.00s -> 1923.00s]  We were never in a situation where we installed some of the rights, but not all of them.
[1923.00s -> 1928.00s]  And just to see why this is true, let's consider a couple of cases where things could crash.
[1928.00s -> 1937.00s]  So things could crash between one and two. What will happen?
[1937.00s -> 1943.00s]  What situation do we end up?
[1943.00s -> 1952.00s]  The situation in which on recovery we do nothing. And that's OK, because nothing has been written to the file system yet.
[1952.00s -> 1956.00s]  Exactly. So this is the case where basically we just do nothing.
[1956.00s -> 1964.00s]  You know, as if the system basically never executed. As if the failure happened slightly earlier, right before the file system call started.
[1964.00s -> 1978.00s]  And so that's perfectly OK. That's acceptable. OK, what happens if we crash between after committing before reinstalling?
[1978.00s -> 1984.00s]  Then you'll just redo all the installs. So you'll kind of restore the correct state. Yeah, so exactly.
[1984.00s -> 1989.00s]  So at that point, all we have, we know there are all the blocks are in the log.
[1989.00s -> 1994.00s]  They're all written because we committed. So it must be the case that the whole file system operation finished.
[1994.00s -> 2000.00s]  And so we can basically put them in their location where they should be. And then we're all in good shape.
[2000.00s -> 2010.00s]  And so in this case, you know, all the files, you know, in this case, what we end up is as if the file system call actually complete just before the crash.
[2010.00s -> 2021.00s]  There's like no difference. OK, so what happens if we crash during reinstall or like in install or during install before we're cleaning the crash here?
[2021.00s -> 2031.00s]  In this case, in this case, and I will do the third case, we'll install during installation or before install after installing, but before cleaning.
[2031.00s -> 2038.00s]  What what what will happen then? On the.
[2038.00s -> 2045.00s]  Oh, sorry. On the next restart, nothing has really changed in terms of the recovery process.
[2045.00s -> 2054.00s]  And so we're just going to redo the log. Yeah, we're going to redo the log again and we can copy basically the content again to the locations where it may be.
[2054.00s -> 2064.00s]  In fact, we might do it multiple times. Is that OK?
[2064.00s -> 2078.00s]  Yes, because those are just writes and it's there to a specific location that we don't change, like it's written in the log, so we know where we should write every time.
[2078.00s -> 2088.00s]  Yeah, basically every time we'll do the same right. Correct. So let's say in block 45, you know, there's the value 10 and we're going to write 10 to location 45 every time.
[2088.00s -> 2094.00s]  And that's exactly what it should be. And like and repeating that right multiple times doesn't really do any harm.
[2094.00s -> 2103.00s]  Because we're writing the same value that actually should be there anyway. And so it's perfectly fine for us to do reinstallation multiple times.
[2103.00s -> 2109.00s]  Of course, we shouldn't serve any other files and calls at this particular point in time. We should do this before we restart the file system.
[2109.00s -> 2116.00s]  But while, you know, during reboot or during recovery, you know, we can just do this.
[2116.00s -> 2125.00s]  Another way of saying that is that installation is basically idempotent. You can just execute it many, many, many times and we'll have the same effect at the end.
[2125.00s -> 2129.00s]  A question about that. Yeah.
[2129.00s -> 2136.00s]  Because the interface is just read and write, if we had an append, this would not be safe, right?
[2136.00s -> 2146.00s]  Yeah. You can make append safe to more fancy logging schemes. But for this particular logging scheme, you know, we don't have to worry about that.
[2146.00s -> 2158.00s]  In fact, like in some sense, append is a file system level operation. And at that level, we can make it atomic using the logging scheme that we have here.
[2158.00s -> 2159.00s]  I see. Thank you.
[2160.00s -> 2161.00s]  I also have a question.
[2161.00s -> 2162.00s]  Yep. Go ahead.
[2162.00s -> 2171.00s]  What would happen if the file system crashed while you were committing? So you want to like execute multiple writes, and then you only commit like half of them.
[2171.00s -> 2174.00s]  Yeah. Okay. So can you speak up a little bit more? Because your volume is low.
[2174.00s -> 2191.00s]  Oh, yes. Sorry. So if you wanted to like commit multiple writes at once, like in an atomic way, but your system crashes in the middle of committing, so you are only able to commit like half of the writes, what would happen in that instance?
[2191.00s -> 2208.00s]  Okay. So this is a very important point. I'm glad you asked the question. So first of all, you commit, you know, writing this commit operation here, correct? This step two, you only execute that commit operation after you already logged all the writes that you were planning to execute, right?
[2208.00s -> 2213.00s]  So at the point you do to commit, all the writes are in the log.
[2213.00s -> 2218.00s]  And so the commit operation itself is an interesting question, like what happens there?
[2218.00s -> 2227.00s]  So the way I sort of indicated this on the slide, the commit operation writes a single block, like a single sector on the disk.
[2227.00s -> 2237.00s]  And the standard assumption that file systems make is that a single block write or single sector write is an atomic operation.
[2237.00s -> 2242.00s]  Meaning that if you write it, the whole sector will be written where none of the sector will be written.
[2242.00s -> 2249.00s]  So the sector will never be written partially. And so there's always, you know, clearly valid data in that particular sector.
[2249.00s -> 2257.00s]  And so basically this operation, that commit operation, writing the log header is, or writing the commit record is the real commit operation.
[2257.00s -> 2268.00s]  Like if that succeeds and there's basically say a five in commit header, you know, we know that there are five blocks in the log and we have to reinstall those five blocks.
[2268.00s -> 2278.00s]  If the commit header didn't make it to disk, then the value would still be zero and we'll just treat it as if the transaction never happened.
[2278.00s -> 2280.00s]  Thank you.
[2280.00s -> 2288.00s]  The key rule that you're sort of hinting at that has to be true is something that's called the write ahead rule,
[2288.00s -> 2300.00s]  which means that a logging system cannot install writes until all the writes are in the log.
