# Detected language: en (p=1.00)

[0.00s -> 6.00s]  All right, I'd like to get started. Can anyone hear me?
[279.00s -> 284.00s]  If you buy two computers, then they don't share memory.
[284.00s -> 292.00s]  Right? So that's one way to do it. If you buy two separate computers, then they won't share memory and we wouldn't have any of these problems.
[292.00s -> 300.00s]  It's just that the way processor chips look these days, there's always multiple cores on a single processor chip.
[300.00s -> 309.00s]  And so the hardware just is built to have multiple cores sharing the same memory system.
[309.00s -> 313.00s]  I see. Thanks.
[313.00s -> 318.00s]  OK. So that's one point.
[318.00s -> 333.00s]  Another point, which I don't think I've mentioned yet, has to do with the fact that in XV6, a process is not allowed to hold any other lock when it calls switch.
[333.00s -> 341.00s]  A process is required to hold P arrow lock when it calls switch, but is forbidden to hold any other lock when it calls switch.
[341.00s -> 347.00s]  So this is another important constraint on the design of many things, including how sleep is going to work.
[347.00s -> 359.00s]  So let me lay out the reasoning for this. So it's no other locks.
[359.00s -> 364.00s]  When you call switch.
[364.00s -> 368.00s]  A scenario sort of illustrating why this is this rule has to be enforced.
[368.00s -> 380.00s]  And this is a rule that, you know, if you're extending, you know, if you're a programmer developing the XV6 kernel, you have to follow this rule along with many other rules.
[380.00s -> 389.00s]  So the justification for this rule, supposing we have process one or, you know, the kernel thread for process one and it requires some lock.
[389.00s -> 398.00s]  Not its process lock, but just some lock. Maybe it's using the disk or using the UART console and, you know, requires some lock.
[398.00s -> 407.00s]  And supposing it did then give up the CPU by calling switch or yield or sked or something while still holding this lock.
[407.00s -> 412.00s]  So now P1 holds a lock. This lock's held, but it's not running.
[412.00s -> 417.00s]  And imagine also for a moment that we're on a machine with just a single core.
[417.00s -> 422.00s]  So there's only one core. The process one calls switch, which transfers to the scheduler.
[422.00s -> 426.00s]  The scheduler sees, aha, process two's kernel thread is waiting to run.
[426.00s -> 431.00s]  And so the scheduler switches to process, starts running process two, switches to process two.
[431.00s -> 436.00s]  And supposing process two, for whatever reason, maybe it also wants to use the disk or use the UART or something.
[436.00s -> 443.00s]  And it calls acquire on the same lock.
[443.00s -> 449.00s]  So we have a second acquire of this lock. It's the same, the same lock.
[449.00s -> 454.00s]  Of course, the lock's already held, so this acquire can't get it. And these are spin locks.
[454.00s -> 463.00s]  So what this actually causes to happen is that process two inside acquire will just sit in a loop, spinning, waiting for the lock to be released.
[463.00s -> 472.00s]  And acquire won't return. And since acquire doesn't return, process two can't, doesn't have a chance, even though it may be willing to yield the CPU when it's done later on.
[472.00s -> 477.00s]  It doesn't get a chance to because acquire doesn't return until the lock's released.
[477.00s -> 482.00s]  But the only way the lock could be released is if process one resumes execution.
[482.00s -> 488.00s]  And presumably later, if it's correctly, it doesn't have terrible bugs in it.
[488.00s -> 493.00s]  It was going to call, it was intending to release this lock. Right.
[493.00s -> 498.00s]  But it hasn't happened yet because it called switch and process two is spinning, waiting for the lock.
[498.00s -> 502.00s]  So this is a deadlock. Right.
[502.00s -> 510.00s]  And it will just cause the system to freeze.
[510.00s -> 515.00s]  And while I describe this in the context of a machine with a single CPU, a single core,
[515.00s -> 525.00s]  you can construct scenarios that using multiple locks would cause the same kind of deadlock on a machine with multiple cores.
[526.00s -> 537.00s]  And so as a result, we have a general prohibition in xv6 that you're not allowed to hold spin locks across the switch.
[537.00s -> 542.00s]  Any questions about this rule?
[542.00s -> 544.00s]  There's a question in the chat, Robert.
[544.00s -> 549.00s]  Oh, wouldn't you have a timer interrupt switch to P1, which resolves the deadlock?
[549.00s -> 554.00s]  OK, so, yeah, it does turn out, so we're running both, all this stuff's running in the kernel.
[554.00s -> 558.00s]  Right. You know, acquire, release, switch, you know, is only, it's all kernel code.
[558.00s -> 563.00s]  So we're not running in user space. But indeed, a timer interrupt could occur.
[563.00s -> 573.00s]  And xv6 is actually and allows timer interrupts to happen in while running kernel code, system call code.
[573.00s -> 578.00s]  And in fact, if you look at the kernel trap code or whatever it is in trap.c,
[578.00s -> 585.00s]  you'll see that if a timer interrupt happens while executing the kernel, it will call yield.
[585.00s -> 595.00s]  So if a timer interrupt could happen while we're running acquire here, then actually we would be saved because call yield,
[595.00s -> 599.00s]  yield would switch back here and hopefully P1 would then resume and eventually release the lock.
[599.00s -> 609.00s]  However, for reasons that were explained in a previous lecture, acquire turns off interrupts before it starts to wait for the lock,
[609.00s -> 616.00s]  because we absolutely, for other reasons, cannot afford to have an interrupt happen while we're holding a lock,
[616.00s -> 623.00s]  because that would cause a different kind of deadlock if the interrupt handler needed to use,
[623.00s -> 630.00s]  needed to acquire the lock that this acquire had possibly just acquired.
[630.00s -> 636.00s]  So if you look at the code for acquire in xv6, you'll see the first thing it does is turn off interrupts and then spins.
[636.00s -> 640.00s]  And you may wonder, geez, why doesn't it spin and then turn off interrupts?
[640.00s -> 647.00s]  And the reason is that would allow a short period of time to occur in which the lock is held, but interrupts weren't disabled.
[647.00s -> 651.00s]  And again, a device interrupt at that time might cause a deadlock.
[651.00s -> 657.00s]  So unfortunately, this other requirement that we leave interrupts off while we're spinning, waiting for a lock,
[657.00s -> 664.00s]  prevents the timer interrupt from going off and therefore prevents process two from yielding back to process one.
[664.00s -> 667.00s]  It's a good question.
[667.00s -> 675.00s]  Because another question, can I repeat how deadlocks are avoided?
[675.00s -> 680.00s]  Oh, deadlocks are avoided in xv6 by prohibiting this.
[680.00s -> 687.00s]  The xv6 code is not allowed to acquire any lock other than P arrow lock and then call switch.
[687.00s -> 696.00s]  And if you look at the code for switch, there's actually some checks in switch that are equivalent to checking that no locks are held other than P arrow lock.
[696.00s -> 703.00s]  So the problem with this is this code, if it occurred in the xv6 kernel, would be illegal and could easily cause a deadlock.
[703.00s -> 706.00s]  So it's forbidden.
[706.00s -> 708.00s]  Does that answer the question?
[708.00s -> 710.00s]  OK.
[710.00s -> 717.00s]  Other questions?
[717.00s -> 724.00s]  OK, so keep this rule and the previous need to hold P arrow lock across switch in mind,
[724.00s -> 731.00s]  because they'll come up again in our discussion of how sleep and wake up work.
[731.00s -> 738.00s]  All right, new topic.
[738.00s -> 745.00s]  Coordination.
[745.00s -> 756.00s]  Which really means sleep.
[756.00s -> 766.00s]  We've heard a lot about locks and locks are fantastic for situations where different threads really want to not be aware and not have to worry about or think about what other threads are up to.
[766.00s -> 774.00s]  We hold locks and share data. That means we just never have to worry about the possibility that some other lock is or maybe not using that data,
[774.00s -> 778.00s]  because the lock causes things to happen one at a time.
[778.00s -> 790.00s]  But when you're writing threaded code, there are also situations where you explicitly want to wait for some specific event, where you want different threads to interact.
[790.00s -> 796.00s]  So, for example, supposing we have pipes and we got a reader and a writer, right?
[796.00s -> 804.00s]  If I'm reading a pipe and there's nothing currently to read in the pipe, I want to be able to wait for any other process to write data to the pipes.
[805.00s -> 809.00s]  I want to wait for this sort of pipe is not empty event.
[809.00s -> 817.00s]  Similarly, if I'm reading the disk or writing the disk.
[817.00s -> 823.00s]  If I'm reading the disk, then I want to be able to tell the disk controller, look, please read a particular block on the disk.
[823.00s -> 832.00s]  It may take a long time, milliseconds, long, long time before the disk finally finishes the read, especially if it has to seek and rotate.
[832.00s -> 836.00s]  And the process is doing the read needs to be able to wait for that specific event.
[836.00s -> 841.00s]  You want to wait for the disk read to complete.
[841.00s -> 849.00s]  Similarly, you may have noticed when you're programming that a Unix program can make the wait system call.
[849.00s -> 854.00s]  And what wait does is it causes the calling process to wait until any of its children exit.
[854.00s -> 861.00s]  So here we have the parent process intentionally waiting for some event sort of caused by another process.
[861.00s -> 866.00s]  So these are all situations where a process needs to wait for a specific event,
[866.00s -> 875.00s]  either typically IO or another process sort of declaring that something specific has happened.
[875.00s -> 884.00s]  And coordination is the sort of tool that helps us solve these kind of problems or implement these kind of requirements.
[884.00s -> 888.00s]  And coordination is totally fundamental, just like with locks.
[888.00s -> 895.00s]  Coordination is another fundamental tool for writing threaded programs and it comes up all the time.
[895.00s -> 904.00s]  All right. So how could we have a process or a thread wait for this kind of event?
[904.00s -> 911.00s]  So one possibility, which is an extremely straightforward one, is just a busy wait to loop.
[911.00s -> 919.00s]  So you could imagine, and we'll discard this as a bad idea in a moment, but let's say we want to read from a pipe.
[919.00s -> 930.00s]  We just write a loop in the pipe read function that says, you know, while the pipe buffer is empty,
[930.00s -> 934.00s]  we're going to do absolutely nothing.
[934.00s -> 943.00s]  Right. And we're going to sit in this loop going round and round in this loop until maybe some other thread or another core writes into the buffer and makes it not empty.
[943.00s -> 952.00s]  And then this loop will finish and then we'll return the data or whatever it is to do with the data.
[952.00s -> 958.00s]  So you'd imagine writing code like this, and actually there is a little bit of, there may be small amounts of code like this.
[958.00s -> 969.00s]  Like if you know that the thing you're waiting for is extremely likely to happen and a tenth of a microsecond, let's say, this may be the best way to wait for it.
[969.00s -> 976.00s]  So typically this is done with some kinds of device hardware where you ask the device hardware to do something,
[976.00s -> 981.00s]  you know, it will always complete that task in a tiny amount of time.
[981.00s -> 985.00s]  Just sitting in a short loop can be the right answer.
[985.00s -> 990.00s]  But if this might take a long time, milliseconds, or you just don't know how long, right?
[990.00s -> 996.00s]  Maybe it's going to be 10 minutes before whatever process is writing the pipe actually writes anything.
[996.00s -> 1004.00s]  Then we don't want to spin there and waste CPU time, which could be used to find more digits of pi or something else useful.
[1004.00s -> 1009.00s]  We want to give up the CPU instead.
[1009.00s -> 1016.00s]  And only, we want some way to give up the CPU like switch, but actually regain the CPU when the event we care about has actually occurred.
[1016.00s -> 1027.00s]  And it's that that coordination is all about techniques to give up the CPU until the condition, the event that we're waiting for has actually occurred.
[1027.00s -> 1030.00s]  And again, sleep and wake up.
[1030.00s -> 1036.00s]  There's actually, there's a number of different coordination primitives that people have invented over the years.
[1036.00s -> 1043.00s]  And XV6, in common with many flavors of Unix, uses something called sleep and wake up.
[1043.00s -> 1059.00s]  OK. All right, with this background, I'd like to switch to looking at the code in XV6.
[1059.00s -> 1066.00s]  All right, so I've just shared my screen. Let me know if the screen share did not work.
[1066.00s -> 1074.00s]  OK, I have, in preparation for this lecture, rewritten some of the code in the UART driver.
[1074.00s -> 1081.00s]  That's the serial driver that XV6 uses to read and write characters from the console.
[1081.00s -> 1090.00s]  And so I have this function UART write, which when a program like the shell prints its prompt or produces any other output that makes a write system call,
[1090.00s -> 1098.00s]  and in my slightly modified version of XV6, that write system call ends up with a call to UART write in the UART driver,
[1098.00s -> 1107.00s]  which actually writes the characters in this loop one by one to the UART hardware.
[1107.00s -> 1118.00s]  And this is written in a sort of classic device driver style. You'll see code like this in many device drivers.
[1118.00s -> 1126.00s]  OK, so one of the things that's going on here is that the UART hardware can only accept one character for transmission at a time.
[1126.00s -> 1131.00s]  And so the way this code has to look, you know, typically you have lots of characters you want to write.
[1131.00s -> 1137.00s]  It can write a character to the UART hardware and it needs to wait for the UART hardware to say, yes, I finished sending that character.
[1137.00s -> 1144.00s]  I'm ready for a new one. And then the driver can write a new one, a new character, the next character to output,
[1144.00s -> 1150.00s]  because this hardware can operate very slowly, like maybe only a thousand characters per second.
[1150.00s -> 1157.00s]  The amount of time we have to wait between characters can be very long, like a millisecond is a long, long time on modern computer.
[1157.00s -> 1163.00s]  It's, you know, a billion cycles, a million cycles maybe, which a huge amount of work could be done.
[1163.00s -> 1170.00s]  So we'd really prefer not to just spin waiting for the UART to finish sending each character.
[1170.00s -> 1178.00s]  We'd like to have a better way. And so, in fact, XV6 has a better way, like most operating systems.
[1178.00s -> 1184.00s]  The UART hardware will raise an interrupt after it's finished sending each character.
[1184.00s -> 1189.00s]  And so we have not just this write routine, we also have the UART driver has an interrupt routine,
[1189.00s -> 1196.00s]  which I think trap.c calls when the UART hardware raises an interrupt to say that it's finished.
[1196.00s -> 1203.00s]  And the interrupt routine checks the UART, reads one of the memory map registers in the UART hardware,
[1203.00s -> 1209.00s]  to look for the flag that says I'm done transmitting, which is this LSRTX idle flag.
[1209.00s -> 1219.00s]  And if that flag's set, then the interrupt routine actually sets this flag in memory and makes this wakeup call,
[1219.00s -> 1230.00s]  which will cause the UART write, whatever thread is in UART write, to return from its sleep here and attempt to send a new character.
[1230.00s -> 1235.00s]  So the game is that if a thread needs to wait for something, and here we are,
[1235.00s -> 1245.00s]  we need to wait for the UART hardware to be willing to accept a new character, it'll call sleep, waiting for a specific condition, usually.
[1245.00s -> 1252.00s]  And when the condition is fulfilled, code that realizes the condition is fulfilled will call wakeup.
[1252.00s -> 1257.00s]  So these sleeps and wakeups are paired. And sleep will look at the implementation by and by,
[1257.00s -> 1264.00s]  but sleep does a number of things and then calls switch in order to give up the CPU.
[1265.00s -> 1270.00s]  One thing to notice is that the wakeup and the sleep have to be linked together somehow.
[1270.00s -> 1278.00s]  That is, when we call wakeup, we really only want to wake up threads that are waiting for the specific event that we realize has happened.
[1278.00s -> 1283.00s]  And so sleep and wakeup take this argument, which is called the sleep channel.
[1283.00s -> 1290.00s]  So wakeup supplies the very same value here that we're passing to sleep.
[1290.00s -> 1297.00s]  Sleep and wakeup actually don't really look, don't care what these, they just take 64-bit values here.
[1297.00s -> 1299.00s]  They don't care what they are really.
[1299.00s -> 1311.00s]  The only thing that's going on is that when if we sleep on a particular sleep channel, particular weight channel,
[1312.00s -> 1319.00s]  we want the wakeup to pass the very same value here in order to show that it indicates which sleepers it wants to wake up.
[1322.00s -> 1324.00s]  Any questions about this interface?
[1324.00s -> 1325.00s]  Okay.
[1327.00s -> 1333.00s]  So there's a question, just to clarify, the process is not woken up for every character that's written.
[1334.00s -> 1337.00s]  Okay, let's see.
[1337.00s -> 1345.00s]  In this driver that I've specially hacked for demonstration purposes, there's an interrupt per character.
[1345.00s -> 1354.00s]  So the way UART write works is that for each character, that is, in this while loop, for each character in the buffer characters we're supposed to write,
[1354.00s -> 1360.00s]  we wait here in this loop until the UART is ready to accept one more character.
[1361.00s -> 1363.00s]  We write one more character.
[1363.00s -> 1371.00s]  We set this done flag to zero and go back and wait typically in sleep until the done flag is one.
[1371.00s -> 1379.00s]  And then after the UART finishes sending this character, it'll interrupt and the interrupt routine will set done to one and do the wakeup.
[1379.00s -> 1386.00s]  So in fact, there is a wakeup, a sleep and a wakeup and an iteration of the loop for every single character.
[1387.00s -> 1396.00s]  The UART is actually capable of sending some number like four, 16 or something characters at a time.
[1396.00s -> 1404.00s]  So a more efficient driver would hand 16 characters to the UART per iteration of this loop.
[1404.00s -> 1406.00s]  And there'd be an interrupt every 16 characters.
[1406.00s -> 1414.00s]  And higher speed devices, you know, typically like Ethernet drivers, typically accept many more bytes than that per interrupt.
[1416.00s -> 1418.00s]  All right.
[1418.00s -> 1426.00s]  OK, so this is just an illustration of what the interface looks like.
[1426.00s -> 1431.00s]  Sleep and wakeup are nice because one reason they're nice is they're relatively flexible.
[1431.00s -> 1435.00s]  Sleep and wakeup don't really care what it is you're up to.
[1435.00s -> 1439.00s]  You don't have to tell sleep what you're waiting for.
[1439.00s -> 1441.00s]  You don't have to tell wakeup what event happened.
[1441.00s -> 1447.00s]  You just need to have these matching sleep channel 64 bit values.
[1447.00s -> 1454.00s]  However, there's one interesting property of the sleep interface. We have to pass it a lock here.
[1454.00s -> 1458.00s]  There's this second argument, this lock argument.
[1458.00s -> 1466.00s]  And there's a big story behind why sleep takes this second argument.
[1466.00s -> 1469.00s]  And I'm going to explain what's going on.
[1469.00s -> 1486.00s]  But the high level picture is that it doesn't seem to be possible to design a sleep that is completely ignorant of what it is you're trying to wait for.
[1486.00s -> 1492.00s]  It's hard to write a sort of general purpose sleep that simply sleeps waiting for some specific event.
[1493.00s -> 1502.00s]  And this is danger, which we'll see in a moment, called lost wakeups that just about every coordination mechanism has to grapple with somehow and deal with somehow.
[1502.00s -> 1512.00s]  And in the sleep interface, this fact that we have to pass a lock is sort of a little bit of ugly implementation leaking through into the interface.
[1512.00s -> 1518.00s]  In a way, I'll explain in just a moment.
[1518.00s -> 1524.00s]  Yeah, I'll explain. There's a question, why do we need the done flag and the sleep channel? I will hold on to that question.
[1524.00s -> 1529.00s]  I'll explain that in five or 10 minutes.
[1529.00s -> 1534.00s]  OK, so before explaining why it is what it is that sleep is doing with this lock,
[1534.00s -> 1547.00s]  I actually want to talk a bit about what the implications would be if we had a simpler sleep that didn't have didn't take that extra lock argument.
[1547.00s -> 1555.00s]  So.
[1555.00s -> 1561.00s]  Right, so.
[1561.00s -> 1568.00s]  And the topic here is lost wakeups.
[1568.00s -> 1573.00s]  That's the problem I'm going to describe now.
[1573.00s -> 1581.00s]  So suppose that the interface was just sleep.
[1581.00s -> 1588.00s]  On this arbitrary channel value with no second argument.
[1588.00s -> 1593.00s]  You can't make this work, so I'm actually going to call this broken sleep.
[1593.00s -> 1604.00s]  And you could imagine if we didn't know better that a sleep like this could simply set the state of the.
[1604.00s -> 1611.00s]  Process. To this special sleeping value, which says I don't want to run anymore, I'm waiting for a specific event.
[1611.00s -> 1617.00s]  And then if you look at the actually sixes implementation of sleep, you'll see it does this among other things.
[1617.00s -> 1629.00s]  We need to record this special sleep channel value so that a future call to wake up can realize that we're actually waiting for the thing that the.
[1629.00s -> 1635.00s]  Wake up is waking us up for. So you could imagine a sleep and it would be broken that really just did this.
[1635.00s -> 1642.00s]  I guess you'd have to take acquire this processes lock also.
[1642.00s -> 1650.00s]  And then, of course, when you wake up.
[1650.00s -> 1658.00s]  And this really is pretty much how wake up works. We want to wake up all the threads that are waiting on that have called sleep with this particular channel value.
[1658.00s -> 1668.00s]  So we're just going to say, you know, for each. P in the process table.
[1668.00s -> 1671.00s]  If.
[1671.00s -> 1677.00s]  The state if it's sleeping.
[1677.00s -> 1690.00s]  And it's sleeping on the channel that we're waking up.
[1690.00s -> 1693.00s]  Then set the state to.
[1693.00s -> 1698.00s]  Runnable.
[1698.00s -> 1705.00s]  And actually modular locks, this is pretty much what wake up does.
[1705.00s -> 1713.00s]  OK, so some alternate universe boy, it would be nice if sleep and wake up were this simple.
[1713.00s -> 1716.00s]  Let me demonstrate, though.
[1716.00s -> 1721.00s]  Well.
[1721.00s -> 1730.00s]  Let me demonstrate.
[1730.00s -> 1739.00s]  Well, before I go back to the actual code, let me just outline how you would use this sleep and wake up in the driver.
[1739.00s -> 1747.00s]  This is sort of a repeat of what we've already seen, but using this slightly simpler interface you would have.
[1747.00s -> 1752.00s]  And indeed, the driver does this. You'd have this done flag.
[1752.00s -> 1760.00s]  And then you are right.
[1760.00s -> 1769.00s]  You know, it would say for each. Character in the buffer.
[1769.00s -> 1777.00s]  And then it would check this done flag, just say while not done.
[1777.00s -> 1780.00s]  Going to sleep.
[1780.00s -> 1787.00s]  And then pass that channel, whatever was Txchan or something.
[1787.00s -> 1791.00s]  Doesn't really matter. OK, and then we're going to send C.
[1791.00s -> 1796.00s]  To the UART and said done equals.
[1796.00s -> 1799.00s]  Zero right.
[1799.00s -> 1804.00s]  And then the interrupt routine.
[1804.00s -> 1809.00s]  Just sets it on flag is equal to true and calls wake up.
[1809.00s -> 1813.00s]  So this is how we could use.
[1813.00s -> 1819.00s]  The simplified broken sleep, right, so this is really broken sleep.
[1819.00s -> 1824.00s]  What this is missing, though, is locking.
[1824.00s -> 1833.00s]  So actually, both the both of these routines here, both the right routine and the interrupt routine absolutely have to lock.
[1833.00s -> 1841.00s]  And one reason is that this done flag, anytime we have shared data, we really need to put a lock around the shared data.
[1841.00s -> 1844.00s]  And the other reason is that actually I didn't put it in here,
[1844.00s -> 1851.00s]  but both the interrupt routine and the right routine need to access the hardware, the UART hardware itself.
[1851.00s -> 1855.00s]  And typically it's an error unless you're very, very clever.
[1855.00s -> 1862.00s]  It's an error to have two threads concurrently try to read and write the memory mapped hardware registers.
[1862.00s -> 1868.00s]  So we need a lock around in both of these subroutines in order to.
[1868.00s -> 1877.00s]  Avoid both recent racing accesses done and racing accesses to the hardware hardware.
[1877.00s -> 1881.00s]  And so the question is, where should we put the locks in?
[1881.00s -> 1887.00s]  It's it's easy in the interrupt routine. We're going to lock our lock at the beginning.
[1887.00s -> 1892.00s]  Whatever the lock, I think it's called UART TX lock or something, and we're going to unlock at the end.
[1892.00s -> 1896.00s]  So the interrupt routine just takes the lock and releases it.
[1896.00s -> 1901.00s]  The puzzle is where to put the locks in the UART routine.
[1901.00s -> 1910.00s]  One possibility is that UART write could hold the lock for the entire sequence of trying to send a character, each character.
[1910.00s -> 1917.00s]  So we could acquire the lock here.
[1917.00s -> 1922.00s]  And unlock here.
[1922.00s -> 1927.00s]  So lock and unlock at the beginning and very end, processing each character.
[1927.00s -> 1938.00s]  So why, why does this definitely not work?
[1939.00s -> 1946.00s]  One reason is that the only way we can get out of this loop is if the interrupt routine sets done to one.
[1946.00s -> 1953.00s]  But if we hold this lock for this entire sequence in it, the interrupt routine also needs the lock.
[1953.00s -> 1961.00s]  And so it will sit here spinning, waiting for the lock, because we hold the lock and aren't going to release it until done is set.
[1961.00s -> 1965.00s]  But done can only be set when the interrupt routine is actually able to get the lock.
[1965.00s -> 1976.00s]  So we cannot just simply hold the lock across the entire sequence of sending each character.
[1976.00s -> 1988.00s]  All right. So another possibility of the sort of nasty problem here is that we, the UART write was holding a lock at the time when it expected the interrupt routine to execute, which is right here.
[1988.00s -> 1993.00s]  The only time when we really need the interrupt routine to execute is at this point here.
[1993.00s -> 2003.00s]  Otherwise it's OK to hold the lock. So another possibility would be to acquire the lock at the beginning, because we need to protect our access to this shared variable done.
[2003.00s -> 2008.00s]  But release it.
[2008.00s -> 2019.00s]  Before the call to sleep, that gives the interrupt routine a chance to execute and set done to one, and then we'll just reacquire it after sleep returns.
[2019.00s -> 2026.00s]  So that when we go back up to the top and check done again, we have a lock again.
[2026.00s -> 2035.00s]  All right, so let me actually modify my driver to do this.
[2035.00s -> 2042.00s]  We'll see what the consequences are.
[2042.00s -> 2052.00s]  All right, so the sleep we're talking about, where we want to, you can see this code actually does acquire the lock at the very beginning and release it at the end.
[2052.00s -> 2058.00s]  And the interrupt routine also acquires and releases. And the proposal is that we do two things.
[2058.00s -> 2070.00s]  One is we're going to, what we're exploring is why my broken sleep idea that only takes a single argument, why that doesn't work.
[2070.00s -> 2089.00s]  So the idea is that in order to make the locking work out right, we're going to call broken sleep all right, but we're going to release the lock here and reacquire it after sleep returns.
[2089.00s -> 2105.00s]  And literally all this broken sleep does is exactly what I wrote on my little whiteboard, namely it sets the state to sleeping, it sets the channel to this Txchan argument, then it calls switch.
[2105.00s -> 2116.00s]  All right, let's see what happens.
[2117.00s -> 2129.00s]  Oh, well, look at that. It actually managed to, init is printing out its init starting message, and it actually managed to write a few characters, and now it seems to have hung.
[2129.00s -> 2134.00s]  And it turns out that if I type a character, I'm going to type a period.
[2134.00s -> 2141.00s]  If I type a period, output restarts.
[2141.00s -> 2145.00s]  Maybe make some more output, I'll run ls.
[2145.00s -> 2158.00s]  ls also emitted a few characters and then stopped, but if I type something, I'm going to type x, it'll restart ls and it'll keep going.
[2158.00s -> 2164.00s]  So, what do we think is going on here?
[2164.00s -> 2177.00s]  Does anybody want to propose a theory?
[2177.00s -> 2189.00s]  The problem definitely has to do with the code that I just changed. So, what's happening?
[2190.00s -> 2205.00s]  All right, so what's going on here is that my new code releases the lock, releases this lock at this point, and then right here, the interrupt happens.
[2205.00s -> 2211.00s]  Because as soon as you release a lock, first of all, the interrupts are re-enabled, so on this CPU, interrupts could happen.
[2211.00s -> 2217.00s]  This is a multi-core machine, so actually interrupts can be taken on any core.
[2217.00s -> 2235.00s]  So, almost certainly, what's going on at this point that I've marked in the code is that on some other core, the UART interrupt is executing and it's sitting in a choir waiting for this lock on some other core.
[2235.00s -> 2245.00s]  And so, as soon as I release it, that other core is going to acquire the lock, it's going to see that the UART has completed sending the character.
[2245.00s -> 2250.00s]  And it's going to set this transmit done flag to one, which is great.
[2250.00s -> 2265.00s]  And then it's going to call wake up on TX-chan, which is also fine, except because the writing thread is still executing between the release and the broken sleep, the writing thread hasn't gone to sleep yet.
[2265.00s -> 2274.00s]  So, the wake up that the interrupt routine calls doesn't actually wake up anything up because nothing's yet gone to sleep on that channel.
[2274.00s -> 2289.00s]  And then, the writing thread will proceed to call its broken sleep, which will set the state to sleeping and set the sleep channel, but the interrupt has already happened and the wake up has already been called.
[2289.00s -> 2296.00s]  So, this sleep, nothing will ever wake it up because the wake up already happened.
[2296.00s -> 2301.00s]  This is called the lost wake up problem.
[2301.00s -> 2315.00s]  Any questions about why or how this arises?
[2315.00s -> 2329.00s]  Yeah. Is it always going to be the case that once something gets lost, once a wake up gets lost that on the next time everything that's been buffered is just going to get dumped?
[2329.00s -> 2344.00s]  Well, it completely depends on the details of what's going on. In this case, it's actually just sort of accidental that me typing something caused the output to resume.
[2344.00s -> 2349.00s]  So, me typing input caused the output to get fixed.
[2349.00s -> 2353.00s]  And the reason for that is that the UART has only one kind of interrupt it makes.
